,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,OMC200320C00070000,2020-02-21 11:08AM EST,70.0,8.12,3.2,3.7,0.0,-,1,1,26.61,22
1,OMC200320C00072500,2020-02-25 1:04PM EST,72.5,2.9,1.75,1.9,0.0,-,6,0,23.05,22
2,OMC200320C00075000,2020-02-26 1:12PM EST,75.0,1.16,0.75,0.95,-0.34,-22.67%,4,64,24.12,22
3,OMC200320C00077500,2020-02-26 11:07AM EST,77.5,0.45,0.25,0.45,-0.05,-10.00%,8,0,25.39,22
4,OMC200320C00080000,2020-02-25 12:49PM EST,80.0,0.15,0.05,0.15,0.0,-,3,143,24.71,22
5,OMC200320C00082500,2020-02-19 12:14PM EST,82.5,0.37,0.0,0.1,0.0,-,1,0,28.32,22
6,OMC200320C00085000,2020-02-25 2:40PM EST,85.0,0.05,0.0,0.1,0.0,-,177,228,33.59,22
7,OMC200320C00087500,2020-01-23 9:30AM EST,87.5,0.25,0.0,0.05,0.0,-,-,0,34.57,22
0,OMC200417C00060000,2019-12-23 9:56AM EST,60.0,21.47,16.3,20.4,0.0,-,1,0,108.19,50
1,OMC200417C00065000,2020-02-21 2:54PM EST,65.0,13.07,7.8,8.5,0.0,-,10,0,30.01,50
2,OMC200417C00067500,2020-01-22 12:40PM EST,67.5,12.7,10.0,12.6,0.0,-,2,0,79.32,50
3,OMC200417C00070000,2020-02-12 3:00PM EST,70.0,9.2,3.6,4.4,0.0,-,6,317,25.44,50
4,OMC200417C00072500,2020-02-11 1:47PM EST,72.5,5.64,2.55,2.95,0.0,-,10,0,25.28,50
5,OMC200417C00075000,2020-02-19 3:16PM EST,75.0,4.63,1.35,1.8,0.0,-,1,0,24.61,50
6,OMC200417C00077500,2020-02-25 2:40PM EST,77.5,1.1,0.7,1.05,0.0,-,177,971,24.51,50
7,OMC200417C00080000,2020-02-24 1:22PM EST,80.0,0.8,0.4,0.55,0.0,-,7,0,24.12,50
8,OMC200417C00082500,2020-02-25 1:03PM EST,82.5,0.29,0.1,0.35,0.0,-,1,0,25.59,50
9,OMC200417C00085000,2020-02-25 12:15PM EST,85.0,0.2,0.0,0.25,0.0,-,20,0,27.54,50
10,OMC200417C00090000,2020-02-13 2:48PM EST,90.0,0.05,0.0,0.55,0.0,-,30,0,42.14,50
11,OMC200417C00095000,2019-12-16 12:03AM EST,95.0,0.35,0.0,0.75,0.0,-,-,0,53.69,50
0,OMC200717C00065000,2020-02-12 9:42AM EST,65.0,13.82,8.8,9.2,0.0,-,4,0,24.0,141
1,OMC200717C00070000,2020-02-19 3:25PM EST,70.0,9.5,5.2,5.5,0.0,-,4,7,21.86,141
