,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,ORCL200228C00047500,2020-02-25 6:58PM EST,47.5,4.8,5.15,5.35,0.0,-,-,-,82.81,1
1,ORCL200228C00048000,2020-02-18 12:05AM EST,48.0,7.35,4.5,4.65,0.0,-,-,18,59.38,1
2,ORCL200228C00048500,2020-02-25 3:53PM EST,48.5,2.56,4.0,4.15,0.0,-,7,0,53.91,1
3,ORCL200228C00049000,2020-02-25 3:30PM EST,49.0,2.19,3.45,3.65,0.0,-,-,4,48.44,1
4,ORCL200228C00049500,2020-02-25 2:08PM EST,49.5,2.19,3.15,3.3,0.0,-,-,-,53.52,1
5,ORCL200228C00050000,2020-02-25 2:28PM EST,50.0,1.62,2.7,2.85,0.0,-,-,-,52.15,1
6,ORCL200228C00050500,2020-02-25 2:43PM EST,50.5,2.29,2.08,2.22,1.13,+97.41%,4,-,39.84,1
7,ORCL200228C00051000,2020-02-25 2:33PM EST,51.0,1.2,1.74,1.83,0.47,+64.38%,15,0,41.8,1
8,ORCL200228C00051500,2020-02-26 11:35AM EST,51.5,1.61,1.23,1.28,1.1,+215.69%,176,0,30.27,1
9,ORCL200228C00052000,2020-02-26 12:52PM EST,52.0,1.04,0.96,1.0,0.73,+235.48%,374,102,34.77,1
10,ORCL200228C00052500,2020-02-26 1:39PM EST,52.5,0.63,0.64,0.68,0.45,+250.00%,1130,197,33.11,1
11,ORCL200228C00053000,2020-02-26 1:07PM EST,53.0,0.5,0.39,0.44,0.37,+284.62%,1691,0,32.42,1
12,ORCL200228C00053500,2020-02-26 12:51PM EST,53.5,0.28,0.23,0.27,0.2,+250.00%,374,0,32.23,1
13,ORCL200228C00054000,2020-02-26 1:12PM EST,54.0,0.15,0.12,0.16,0.06,+66.67%,21,0,32.42,1
14,ORCL200228C00054500,2020-02-26 1:26PM EST,54.5,0.08,0.06,0.08,0.02,+33.33%,32,669,31.64,1
15,ORCL200228C00055000,2020-02-26 1:27PM EST,55.0,0.04,0.03,0.04,0.02,+100.00%,46,735,31.64,1
16,ORCL200228C00055500,2020-02-25 1:37PM EST,55.5,0.04,0.0,0.03,0.02,+100.00%,11,0,34.38,1
