,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,ORCL200228P00046500,2020-02-25 1:24PM EST,46.5,0.02,-,0.06,0.0,-,-,-,78.52,1
1,ORCL200228P00047000,2020-02-25 2:41PM EST,47.0,0.04,0.00,0.04,0.0,-,5,124,60.16,1
2,ORCL200228P00047500,2020-02-21 10:06AM EST,47.5,0.02,0.00,0.06,0.0,-,-,30,59.38,1
3,ORCL200228P00048500,2020-02-25 10:52AM EST,48.5,0.03,0.00,0.05,0.0,-,23,46,53.91,1
4,ORCL200228P00049000,2020-01-31 2:04PM EST,49.0,0.25,0.00,0.03,0.0,-,22,22,43.75,1
5,ORCL200228P00049500,2020-02-26 1:36PM EST,49.5,0.03,0.03,0.05,-0.24,-88.89%,17,23,42.97,1
6,ORCL200228P00050000,2020-02-26 12:39PM EST,50.0,0.05,0.05,0.08,-0.36,-87.80%,24,0,41.6,1
7,ORCL200228P00050500,2020-02-26 12:24PM EST,50.5,0.11,0.08,0.11,-0.44,-80.00%,1052,75,38.67,1
8,ORCL200228P00051000,2020-02-26 1:22PM EST,51.0,0.16,0.16,0.18,-0.55,-77.46%,139,200,37.99,1
9,ORCL200228P00051500,2020-02-26 11:55AM EST,51.5,0.23,0.27,0.32,-0.78,-77.23%,752,74,39.55,1
10,ORCL200228P00052000,2020-02-26 1:36PM EST,52.0,0.36,0.42,0.45,-1.01,-73.72%,87,132,37.5,1
11,ORCL200228P00052500,2020-02-26 1:39PM EST,52.5,0.58,0.66,0.69,-0.82,-58.57%,666,308,38.87,1
12,ORCL200228P00053000,2020-02-26 12:32PM EST,53.0,0.71,0.86,0.96,-1.2,-62.83%,40,602,38.87,1
13,ORCL200228P00053500,2020-02-26 12:16PM EST,53.5,1.06,1.22,1.29,-1.32,-55.46%,43,0,39.45,1
14,ORCL200228P00054000,2020-02-26 10:31AM EST,54.0,1.45,1.55,1.63,-1.25,-46.30%,354,221,37.6,1
15,ORCL200228P00054500,2020-02-26 10:15AM EST,54.5,1.82,2.08,2.15,-1.59,-46.63%,16,0,46.29,1
16,ORCL200228P00055000,2020-02-26 12:48PM EST,55.0,2.31,2.46,2.56,-1.59,-40.77%,12,199,45.7,1
17,ORCL200228P00055500,2020-02-26 12:48PM EST,55.5,2.76,2.96,3.05,-1.74,-38.67%,57,0,50.78,1
18,ORCL200228P00056000,2020-02-25 2:27PM EST,56.0,4.7,3.45,3.6,0.0,-,15,0,53.91,1
19,ORCL200228P00056500,2020-02-21 12:38PM EST,56.5,3.85,3.95,4.1,0.73,+23.40%,4,0,59.38,1
20,ORCL200228P00057000,2020-02-19 1:48PM EST,57.0,4.55,4.35,4.5,0.0,-,6,0,61.33,1
21,ORCL200228P00057500,2020-02-24 9:40AM EST,57.5,6.0,4.95,5.1,0.0,-,4,1,69.73,1
22,ORCL200228P00058000,2020-02-20 2:30PM EST,58.0,2.62,5.40,5.6,0.0,-,1,0,71.09,1
0,ORCL200306P00046500,2020-02-24 10:12AM EST,46.5,0.16,0.07,0.13,0.0,-,1,25,50.59,8
1,ORCL200306P00047000,2020-02-25 6:58PM EST,47.0,0.17,0.04,0.06,0.0,-,-,-,40.04,8
2,ORCL200306P00048000,2020-02-10 10:25AM EST,48.0,0.18,0.14,0.16,0.15,+500.00%,2,12,42.48,8
3,ORCL200306P00048500,2020-02-26 12:33PM EST,48.5,0.13,0.17,0.2,-0.24,-64.86%,911,134,41.41,8
4,ORCL200306P00049000,2020-02-26 12:54PM EST,49.0,0.2,0.22,0.25,-0.25,-55.56%,20,0,40.33,8
5,ORCL200306P00049500,2020-02-26 9:53AM EST,49.5,0.23,0.27,0.32,-0.13,-36.11%,14,120,39.65,8
6,ORCL200306P00050000,2020-02-26 12:09PM EST,50.0,0.3,0.36,0.4,-0.48,-61.54%,33,52,38.67,8
7,ORCL200306P00050500,2020-02-26 12:42PM EST,50.5,0.37,0.47,0.5,-0.5,-57.47%,7,0,37.79,8
8,ORCL200306P00051000,2020-02-26 12:42PM EST,51.0,0.57,0.56,0.64,-0.5,-46.73%,358,0,37.6,8
9,ORCL200306P00051500,2020-02-26 12:54PM EST,51.5,0.57,0.72,0.76,-0.34,-37.36%,33,0,35.89,8
10,ORCL200306P00052000,2020-02-26 1:18PM EST,52.0,0.72,0.86,0.97,-0.38,-34.55%,41,0,36.13,8
11,ORCL200306P00052500,2020-02-26 1:39PM EST,52.5,1.06,1.12,1.18,-1.03,-49.28%,96,0,35.45,8
12,ORCL200306P00053000,2020-02-26 10:33AM EST,53.0,1.14,1.35,1.41,0.11,+10.68%,3,301,34.42,8
13,ORCL200306P00053500,2020-02-21 3:37PM EST,53.5,2.62,1.62,1.68,0.0,-,41,0,33.59,8
