,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,PAYX200320C00065000,2020-01-14 9:44AM EST,65.0,21.65,22.8,25.0,0.0,-,1,0,172.73,22
1,PAYX200320C00070000,2020-01-30 1:58PM EST,70.0,16.8,12.4,13.5,0.0,-,9,0,50.83,22
2,PAYX200320C00072500,2019-12-19 12:40PM EST,72.5,12.7,13.9,18.2,0.0,-,3,1,124.95,22
3,PAYX200320C00075000,2020-01-16 11:06AM EST,75.0,12.9,13.4,15.0,0.0,-,1,1,119.8,22
4,PAYX200320C00077500,2020-01-30 3:12PM EST,77.5,10.2,6.0,6.1,0.0,-,2,0,28.52,22
5,PAYX200320C00080000,2020-02-26 11:57AM EST,80.0,4.8,3.9,4.2,-0.3,-5.88%,7,695,28.32,22
6,PAYX200320C00082500,2020-02-24 1:34PM EST,82.5,3.68,2.2,2.35,-1.72,-31.85%,2,0,24.29,22
7,PAYX200320C00085000,2020-02-26 1:51PM EST,85.0,1.27,1.05,1.2,-0.38,-23.03%,66,1499,23.54,22
8,PAYX200320C00087500,2020-02-26 11:15AM EST,87.5,0.55,0.4,0.55,-0.15,-21.43%,174,0,23.49,22
9,PAYX200320C00090000,2020-02-26 11:53AM EST,90.0,0.2,0.1,0.2,-0.05,-20.00%,9,2380,22.9,22
10,PAYX200320C00092500,2020-02-25 1:42PM EST,92.5,0.12,0.05,0.1,0.02,+20.00%,1,1813,24.61,22
11,PAYX200320C00095000,2020-02-26 10:37AM EST,95.0,0.05,0.0,0.1,0.0,-,24,1681,29.4,22
12,PAYX200320C00097500,2020-02-21 2:46PM EST,97.5,0.05,0.0,0.05,0.0,-,1,1,30.27,22
13,PAYX200320C00100000,2019-11-26 3:34PM EST,100.0,0.1,0.0,0.1,0.0,-,2,22,38.18,22
14,PAYX200320C00105000,2019-08-09 9:31AM EST,105.0,0.2,0.0,0.0,0.0,-,10,10,25.0,22
0,PAYX200417C00087500,2020-02-26 12:40PM EST,87.5,1.3,0.95,1.15,-1.7,-56.67%,23,1,22.07,50
1,PAYX200417C00090000,2020-02-25 12:40PM EST,90.0,1.07,0.80,0.95,0.0,-,-,-,25.59,50
2,PAYX200417C00092500,2020-02-24 10:52AM EST,92.5,0.65,0.20,0.35,0.0,-,1,2,22.27,50
3,PAYX200417C00095000,2020-02-24 11:14AM EST,95.0,0.4,0.05,0.2,0.0,-,-,2,22.95,50
4,PAYX200417C00100000,2020-02-24 3:11PM EST,100.0,0.06,-,0.1,0.0,-,-,-,25.98,50
0,PAYX200619C00070000,2020-01-30 9:47AM EST,70.0,16.94,13.4,14.0,0.0,-,1,0,29.03,113
1,PAYX200619C00077500,2020-01-30 10:36AM EST,77.5,9.77,7.1,7.7,0.0,-,1,15,24.32,113
2,PAYX200619C00080000,2020-02-25 11:15AM EST,80.0,8.0,5.3,5.8,0.0,-,2,41,22.4,113
3,PAYX200619C00082500,2020-02-19 11:06AM EST,82.5,8.56,3.8,4.2,0.0,-,1,68,21.12,113
4,PAYX200619C00085000,2020-02-26 1:29PM EST,85.0,3.18,2.6,2.85,-2.05,-39.20%,3,898,19.89,113
5,PAYX200619C00087500,2020-02-24 2:27PM EST,87.5,1.75,1.75,2.05,-0.75,-30.00%,18,0,20.29,113
6,PAYX200619C00090000,2020-02-24 3:46PM EST,90.0,2.42,0.95,1.2,0.0,-,27,0,18.97,113
7,PAYX200619C00092500,2020-02-25 3:57PM EST,92.5,0.7,0.55,0.75,0.0,-,50,0,18.87,113
8,PAYX200619C00095000,2020-02-25 3:02PM EST,95.0,0.6,0.25,0.4,0.0,-,10,1331,18.19,113
9,PAYX200619C00097500,2020-02-20 10:54AM EST,97.5,0.6,0.1,0.25,0.0,-,101,0,18.53,113
10,PAYX200619C00100000,2020-02-24 12:14PM EST,100.0,0.2,0.0,0.15,0.0,-,15,0,18.75,113
11,PAYX200619C00105000,2020-01-29 11:20AM EST,105.0,0.05,0.05,0.05,0.0,-,-,45,19.04,113
12,PAYX200619C00110000,2020-02-04 3:34PM EST,110.0,0.03,0.0,0.05,0.0,-,20,0,22.27,113
0,PAYX200918C00080000,2020-02-20 3:02PM EST,80.0,11.3,6.2,6.7,0.0,-,2,190,20.57,204
1,PAYX200918C00082500,2020-01-30 1:32PM EST,82.5,6.7,4.6,5.4,0.0,-,-,34,20.63,204
2,PAYX200918C00087500,2020-02-24 10:21AM EST,87.5,4.7,2.4,2.9,0.0,-,6,116,18.78,204
