,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,PAYX200320P00060000,2019-09-13 2:15PM EST,60.0,0.5,0.1,0.6,0.0,-,1,201,80.18,22
1,PAYX200320P00065000,2020-01-28 9:52AM EST,65.0,0.05,0.0,0.1,0.0,-,1,27,50.0,22
2,PAYX200320P00070000,2020-02-25 2:02PM EST,70.0,0.1,0.0,0.2,0.0,-,8,50,42.19,22
3,PAYX200320P00072500,2020-02-13 3:46PM EST,72.5,0.08,0.15,0.3,0.0,-,3,0,38.67,22
4,PAYX200320P00075000,2020-02-18 9:47AM EST,75.0,0.05,0.3,0.5,0.0,-,5,77,36.13,22
5,PAYX200320P00077500,2020-02-25 2:56PM EST,77.5,0.67,0.7,0.8,0.0,-,96,1057,33.2,22
6,PAYX200320P00080000,2020-02-25 3:22PM EST,80.0,0.75,1.15,1.3,-0.23,-23.47%,1,0,30.49,22
7,PAYX200320P00082500,2020-02-26 1:39PM EST,82.5,2.0,2.0,2.2,0.25,+14.29%,27,0,29.18,22
8,PAYX200320P00085000,2020-02-26 12:13PM EST,85.0,2.83,3.2,3.5,0.53,+23.04%,4,821,28.0,22
9,PAYX200320P00087500,2020-02-25 2:11PM EST,87.5,3.95,5.0,5.4,-0.08,-1.99%,2,190,29.81,22
10,PAYX200320P00090000,2020-02-26 12:39PM EST,90.0,6.4,7.2,7.7,2.69,+72.51%,4,137,34.55,22
11,PAYX200320P00092500,2020-02-20 10:48AM EST,92.5,6.95,8.9,10.2,0.0,-,1,47,41.5,22
12,PAYX200320P00095000,2020-02-20 10:46AM EST,95.0,5.89,10.6,13.3,0.0,-,2,0,58.72,22
0,PAYX200417P00075000,2020-02-25 2:31PM EST,75.0,0.85,0.9,1.05,0.0,-,1,10,31.93,50
1,PAYX200417P00080000,2020-02-25 2:11PM EST,80.0,1.61,1.2,1.4,0.0,-,-,-,21.63,50
