,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,PBCT200320P00014000,2020-01-29 11:09AM EST,14.0,0.08,0.0,0.15,0.0,-,-,0,36.52,22
1,PBCT200320P00015000,2020-02-25 2:57PM EST,15.0,0.25,0.3,0.4,0.01,+4.17%,1,0,30.96,22
2,PBCT200320P00016000,2020-02-24 2:42PM EST,16.0,0.7,0.85,1.0,-0.06,-7.89%,4,0,29.3,22
3,PBCT200320P00017000,2020-02-24 9:37AM EST,17.0,1.3,1.75,1.95,0.0,-,1,14,40.43,22
4,PBCT200320P00018000,2020-02-25 2:54PM EST,18.0,2.5,2.75,2.9,0.0,-,1,-,46.09,22
0,PBCT200515P00014000,2020-01-27 9:30AM EST,14.0,0.25,0.05,0.2,0.0,-,2,49,22.56,78
1,PBCT200515P00015000,2020-02-24 1:24PM EST,15.0,0.35,0.55,0.7,0.0,-,7,136,27.69,78
2,PBCT200515P00016000,2020-02-26 11:07AM EST,16.0,1.0,1.15,1.3,0.3,+42.86%,25,189,28.03,78
3,PBCT200515P00017000,2020-02-03 3:04PM EST,17.0,1.8,1.95,2.15,0.35,+24.14%,10,0,32.23,78
0,PBCT200821P00013000,2020-02-18 9:30AM EST,13.0,0.25,0.25,0.35,0.0,-,5,0,28.47,176
1,PBCT200821P00014000,2020-02-25 2:03PM EST,14.0,0.49,0.45,0.65,0.0,-,1,0,28.08,176
2,PBCT200821P00015000,2020-02-13 11:10AM EST,15.0,0.5,0.9,1.05,0.0,-,4,0,26.95,176
3,PBCT200821P00016000,2020-02-03 3:04PM EST,16.0,1.0,1.5,1.6,0.0,-,28,0,26.17,176
4,PBCT200821P00017000,2020-02-20 9:58AM EST,17.0,1.48,2.2,2.35,0.0,-,-,5,27.25,176
