,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,PEAK200320P00030000,2020-02-20 9:52AM EST,30.0,0.05,0.0,0.15,0.0,-,4,0,46.39,22
1,PEAK200320P00035000,2020-02-26 1:33PM EST,35.0,0.75,0.75,0.95,0.05,+7.14%,1041,5049,30.71,22
0,PEAK200417P00025000,2020-01-22 9:35AM EST,25.0,0.05,0.0,0.25,0.0,-,5,0,55.27,50
1,PEAK200417P00027500,2020-02-13 9:40AM EST,27.5,0.05,0.05,0.2,0.0,-,-,103,47.17,50
2,PEAK200417P00030000,2020-02-25 3:33PM EST,30.0,0.2,0.1,0.25,0.0,-,1,0,36.13,50
3,PEAK200417P00032500,2020-02-25 3:33PM EST,32.5,0.45,0.35,0.55,0.0,-,3,0,30.91,50
4,PEAK200417P00035000,2020-02-26 12:22PM EST,35.0,0.9,1.1,1.25,0.05,+5.88%,47,327,26.56,50
5,PEAK200417P00037500,2020-02-21 10:44AM EST,37.5,1.5,2.4,2.7,0.0,-,7,0,24.49,50
6,PEAK200417P00040000,2020-02-12 3:23PM EST,40.0,3.82,4.5,5.2,0.0,-,5,11,36.72,50
0,PEAK200717P00030000,2020-02-24 12:29PM EST,30.0,0.5,0.45,0.8,0.0,-,333,0,32.69,141
1,PEAK200717P00035000,2020-02-24 2:48PM EST,35.0,1.02,1.85,2.35,0.0,-,4,0,28.61,141
2,PEAK200717P00040000,2020-02-14 3:55PM EST,40.0,3.48,5.2,5.6,0.0,-,4,14,28.03,141
0,PEAK201016P00035000,2020-02-24 3:53PM EST,35.0,1.65,2.15,2.35,0.0,-,-,-,22.39,232
