,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,PFE200228C00032000,2020-02-25 2:47PM EST,32.0,1.9,2.73,2.83,0.0,-,33,0,61.33,1
4,PFE200228C00034000,2020-02-26 1:55PM EST,34.0,0.96,0.87,0.92,0.53,+123.26%,166,0,34.18,1
5,PFE200228C00034500,2020-02-26 1:28PM EST,34.5,0.69,0.45,0.5,0.44,+176.00%,367,0,27.54,1
6,PFE200228C00035000,2020-02-26 1:58PM EST,35.0,0.27,0.25,0.28,0.16,+145.45%,1046,0,30.27,1
7,PFE200228C00035500,2020-02-26 1:32PM EST,35.5,0.1,0.08,0.12,0.06,+150.00%,1398,1067,29.69,1
8,PFE200228C00036000,2020-02-26 1:07PM EST,36.0,0.07,0.04,0.04,0.04,+133.33%,1430,0,28.91,1
9,PFE200228C00036500,2020-02-26 1:32PM EST,36.5,0.02,0.01,0.02,0.01,+100.00%,96,0,32.03,1
10,PFE200228C00037000,2020-02-26 1:15PM EST,37.0,0.01,0.0,0.01,0.0,-,14,0,34.38,1
11,PFE200228C00037500,2020-02-24 2:08PM EST,37.5,0.01,0.0,0.01,0.0,-,7,0,40.63,1
12,PFE200228C00038000,2020-02-25 3:39PM EST,38.0,0.01,0.0,0.01,0.0,-,8,0,46.88,1
13,PFE200228C00038500,2020-02-24 2:35PM EST,38.5,0.01,0.0,0.01,0.0,-,1,0,52.34,1
14,PFE200228C00039000,2020-02-25 9:54AM EST,39.0,0.01,0.0,0.01,0.0,-,3,0,53.13,1
15,PFE200228C00039500,2020-02-25 12:03PM EST,39.5,0.01,0.0,0.02,0.0,-,4,0,64.06,1
16,PFE200228C00040000,2020-02-21 2:07PM EST,40.0,0.01,0.0,0.01,0.0,-,1,0,62.5,1
17,PFE200228C00040500,2020-02-25 12:10PM EST,40.5,0.01,0.0,0.01,0.0,-,4,673,68.75,1
18,PFE200228C00041000,2020-02-25 12:09PM EST,41.0,0.01,0.0,0.02,0.0,-,31,0,78.13,1
19,PFE200228C00041500,2020-02-19 1:52PM EST,41.5,0.02,0.0,0.01,0.01,+100.00%,1,0,78.13,1
20,PFE200228C00042000,2020-02-11 12:26PM EST,42.0,0.02,0.0,0.01,0.0,-,1,0,81.25,1
21,PFE200228C00042500,2020-01-29 12:13PM EST,42.5,0.03,0.0,0.02,0.0,-,-,0,93.75,1
22,PFE200228C00043000,2020-02-07 1:43PM EST,43.0,0.01,0.0,0.01,0.0,-,21,0,90.63,1
23,PFE200228C00043500,2020-01-28 1:41PM EST,43.5,0.01,0.0,0.02,0.0,-,-,0,103.13,1
24,PFE200228C00044000,2020-01-27 12:17PM EST,44.0,0.05,0.0,0.02,0.0,-,-,0,107.81,1
25,PFE200228C00044500,2020-01-27 12:24PM EST,44.5,0.04,0.0,0.02,0.0,-,-,0,112.5,1
0,PFE200306C00030000,2020-02-26 10:16AM EST,30.0,4.55,4.65,4.9,-0.3,-6.19%,4,0,64.26,8
1,PFE200306C00030500,2020-02-24 11:53AM EST,30.5,4.5,4.1,4.3,0.0,-,-,7,42.97,8
3,PFE200306C00032500,2020-02-26 9:59AM EST,32.5,2.03,2.29,2.41,0.3,+17.34%,2,0,36.91,8
4,PFE200306C00033000,2020-02-26 11:14AM EST,33.0,1.92,1.92,1.99,0.61,+46.56%,4,0,36.52,8
5,PFE200306C00033500,2020-02-26 1:25PM EST,33.5,1.73,1.44,1.49,0.54,+45.38%,111,0,29.88,8
6,PFE200306C00034000,2020-02-26 12:37PM EST,34.0,1.3,1.09,1.13,0.66,+103.12%,103,0,29.79,8
7,PFE200306C00034500,2020-02-26 1:17PM EST,34.5,0.86,0.78,0.83,0.4,+86.96%,248,0,29.98,8
8,PFE200306C00035000,2020-02-26 1:33PM EST,35.0,0.62,0.52,0.56,0.36,+138.46%,215,0,29.0,8
9,PFE200306C00035500,2020-02-26 1:15PM EST,35.5,0.45,0.31,0.33,0.29,+181.25%,442,0,27.15,8
10,PFE200306C00036000,2020-02-26 1:43PM EST,36.0,0.21,0.18,0.2,0.12,+133.33%,214,0,27.15,8
11,PFE200306C00036500,2020-02-26 1:22PM EST,36.5,0.15,0.08,0.11,0.1,+200.00%,126,0,26.76,8
12,PFE200306C00037000,2020-02-26 1:18PM EST,37.0,0.08,0.04,0.06,0.06,+300.00%,379,0,26.95,8
13,PFE200306C00037500,2020-02-26 12:25PM EST,37.5,0.02,0.02,0.03,0.0,-,5,0,26.95,8
14,PFE200306C00038000,2020-02-21 11:02AM EST,38.0,0.01,0.01,0.03,0.0,-,114,0,30.86,8
15,PFE200306C00038500,2020-02-21 1:55PM EST,38.5,0.01,0.0,0.02,-0.01,-50.00%,5,352,32.03,8
16,PFE200306C00039000,2020-02-25 11:52AM EST,39.0,0.01,0.0,0.04,0.0,-,1,0,39.84,8
