,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,PFG200320C00045000,2020-02-25 6:51PM EST,45.0,4.7,4.0,4.4,0.0,-,-,-,33.15,22
1,PFG200320C00050000,2020-02-26 11:08AM EST,50.0,1.25,0.9,1.1,-0.05,-3.85%,14,0,29.93,22
2,PFG200320C00055000,2020-02-25 10:57AM EST,55.0,0.15,0.05,0.1,0.0,-,27,0,28.71,22
3,PFG200320C00060000,2020-02-19 11:15AM EST,60.0,0.15,0.0,0.1,0.0,-,3,66,44.73,22
0,PFG200417C00030000,2020-02-24 12:12PM EST,30.0,21.72,16.9,21.4,0.0,-,-,0,63.87,50
1,PFG200417C00045000,2020-02-25 6:51PM EST,45.0,6.2,4.5,5.8,0.0,-,-,-,47.73,50
2,PFG200417C00050000,2020-02-26 11:20AM EST,50.0,1.95,1.5,1.65,-0.95,-32.76%,135,0,27.86,50
3,PFG200417C00055000,2020-02-26 9:58AM EST,55.0,0.35,0.25,0.35,-0.05,-12.50%,3,0,27.0,50
4,PFG200417C00060000,2020-02-25 2:08PM EST,60.0,0.1,0.05,0.2,0.0,-,73,1015,34.96,50
5,PFG200417C00065000,2019-12-16 1:22PM EST,65.0,0.2,0.1,0.2,0.0,-,1,0,45.22,50
6,PFG200417C00070000,2019-12-12 11:26AM EST,70.0,0.05,0.0,0.75,0.0,-,21,0,61.62,50
0,PFG200717C00045000,2020-02-18 11:35AM EST,45.0,10.3,5.3,5.7,0.0,-,3,0,27.81,141
1,PFG200717C00050000,2020-02-25 11:57AM EST,50.0,3.31,2.5,2.85,0.0,-,3,0,26.61,141
2,PFG200717C00055000,2020-02-26 9:52AM EST,55.0,1.06,0.85,1.1,0.01,+0.95%,19,0,24.93,141
3,PFG200717C00060000,2020-02-26 10:52AM EST,60.0,0.35,0.25,0.4,-0.1,-22.22%,50,0,25.0,141
4,PFG200717C00065000,2020-02-24 2:51PM EST,65.0,0.15,0.0,1.9,0.0,-,5,0,51.39,141
5,PFG200717C00070000,2020-02-18 12:13AM EST,70.0,0.15,0.05,0.4,0.0,-,-,0,37.7,141
0,PFG201016C00045000,2020-02-24 2:20PM EST,45.0,7.65,5.7,7.1,0.0,-,-,-,31.95,232
1,PFG201016C00050000,2020-02-26 11:53AM EST,50.0,3.43,3.1,3.5,-0.01,-0.29%,25,0,24.95,232
