,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,PG200228P00105000,2020-02-18 2:30PM EST,105.0,0.02,0.0,0.03,0.0,-,100,0,61.72,1
1,PG200228P00110000,2020-02-12 12:55PM EST,110.0,0.03,0.0,0.12,0.0,-,10,0,52.54,1
2,PG200228P00111000,2020-01-10 1:16PM EST,111.0,0.45,0.0,0.03,0.0,-,1,0,42.97,1
3,PG200228P00113000,2020-02-14 3:00PM EST,113.0,0.02,0.04,0.07,0.0,-,-,1,40.23,1
4,PG200228P00114000,2020-02-12 12:47PM EST,114.0,0.02,0.08,0.1,0.0,-,4,0,38.48,1
5,PG200228P00115000,2020-02-24 1:38PM EST,115.0,0.01,0.12,0.13,0.0,-,2,0,35.65,1
6,PG200228P00116000,2020-02-25 11:24AM EST,116.0,0.11,0.15,0.18,0.02,+22.22%,39,0,33.2,1
7,PG200228P00117000,2020-02-26 12:55PM EST,117.0,0.17,0.23,0.27,0.05,+41.67%,5,68,31.35,1
8,PG200228P00118000,2020-02-26 2:00PM EST,118.0,0.45,0.43,0.47,-0.03,-6.25%,329,0,31.45,1
9,PG200228P00119000,2020-02-26 2:00PM EST,119.0,0.71,0.6,0.65,0.08,+12.70%,53,0,28.61,1
10,PG200228P00120000,2020-02-26 1:35PM EST,120.0,0.79,0.95,1.05,-0.04,-4.82%,148,0,28.91,1
11,PG200228P00121000,2020-02-26 1:18PM EST,121.0,1.19,1.43,1.57,0.06,+5.31%,249,784,29.1,1
12,PG200228P00122000,2020-02-26 1:46PM EST,122.0,1.77,2.3,2.61,-0.13,-6.84%,20,0,39.21,1
13,PG200228P00123000,2020-02-25 3:47PM EST,123.0,2.37,3.05,3.15,0.17,+7.73%,21,0,35.06,1
14,PG200228P00124000,2020-02-26 9:56AM EST,124.0,3.05,4.0,4.1,0.21,+7.39%,15,0,40.33,1
15,PG200228P00125000,2020-02-26 12:54PM EST,125.0,4.09,4.55,5.1,0.59,+16.86%,8,0,46.58,1
16,PG200228P00126000,2020-02-26 11:26AM EST,126.0,5.88,5.95,6.3,1.28,+27.83%,6,0,53.42,1
17,PG200228P00127000,2020-02-26 12:26PM EST,127.0,6.39,6.75,7.15,0.99,+18.33%,4,0,52.39,1
18,PG200228P00128000,2020-02-26 1:53PM EST,128.0,7.38,7.8,8.35,1.53,+26.15%,10,0,62.79,1
19,PG200228P00129000,2020-02-24 10:19AM EST,129.0,4.3,8.4,10.0,0.0,-,35,99,73.05,1
20,PG200228P00130000,2020-02-25 1:31PM EST,130.0,7.9,9.35,10.85,0.0,-,1,0,74.32,1
21,PG200228P00131000,2020-02-24 12:17PM EST,131.0,6.9,10.15,12.05,0.0,-,1,0,79.3,1
22,PG200228P00132000,2020-02-21 10:15AM EST,132.0,4.55,11.15,13.0,0.0,-,101,0,83.11,1
23,PG200228P00134000,2020-02-20 9:51AM EST,134.0,8.24,13.0,14.9,0.0,-,1,0,86.04,1
24,PG200228P00135000,2020-02-20 9:51AM EST,135.0,9.22,14.3,15.8,0.0,-,-,0,95.9,1
0,PG200313P00110000,2020-02-25 3:37PM EST,110.0,0.17,0.13,0.21,-0.16,-48.48%,3,-,28.22,15
1,PG200313P00111000,2020-02-25 6:52PM EST,111.0,0.15,0.16,0.21,0.0,-,-,-,25.98,15
2,PG200313P00112000,2020-02-26 12:15PM EST,112.0,0.31,0.37,0.44,-0.08,-20.51%,13,7,28.96,15
3,PG200313P00113000,2020-02-03 11:29AM EST,113.0,0.3,0.42,0.63,0.0,-,-,0,29.71,15
4,PG200313P00114000,2020-02-24 1:06PM EST,114.0,0.48,0.52,0.76,0.22,+84.62%,5,0,28.91,15
5,PG200313P00115000,2020-02-25 2:37PM EST,115.0,0.75,0.65,0.86,0.0,-,11,0,27.34,15
6,PG200313P00116000,2020-02-26 12:07PM EST,116.0,0.66,0.83,0.99,0.08,+13.79%,20,0,25.9,15
7,PG200313P00117000,2020-02-26 12:07PM EST,117.0,0.93,1.1,1.21,-0.06,-6.06%,23,46,25.17,15
8,PG200313P00118000,2020-02-26 1:31PM EST,118.0,1.25,1.36,1.49,0.47,+60.26%,22,0,24.61,15
9,PG200313P00119000,2020-02-26 10:24AM EST,119.0,1.05,1.7,1.81,0.11,+11.70%,10,70,23.9,15
10,PG200313P00120000,2020-02-26 1:23PM EST,120.0,1.87,2.12,2.27,0.12,+6.86%,65,0,24.0,15
11,PG200313P00121000,2020-02-26 1:03PM EST,121.0,2.14,2.56,2.71,0.51,+31.29%,16,0,23.29,15
12,PG200313P00122000,2020-02-25 3:16PM EST,122.0,2.4,3.05,3.3,-0.08,-3.23%,1,0,23.39,15
13,PG200313P00123000,2020-02-26 10:12AM EST,123.0,3.11,3.85,4.0,-0.31,-9.06%,19,0,24.01,15
14,PG200313P00124000,2020-02-24 1:24PM EST,124.0,3.15,4.4,4.65,-0.43,-12.01%,1,0,23.51,15
15,PG200313P00125000,2020-02-26 2:00PM EST,125.0,5.45,5.15,5.55,0.72,+15.22%,19,0,25.32,15
