,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
1,PHM200228C00040000,2020-01-14 11:04AM EST,40.0,1.91,6.4,7.35,0.0,-,1,0,374.22,1
2,PHM200228C00040500,2020-01-16 11:28AM EST,40.5,2.03,4.7,6.75,0.0,-,1,0,312.6,1
3,PHM200228C00041000,2020-01-15 2:30PM EST,41.0,1.76,5.1,6.55,0.0,-,1,1,336.33,1
4,PHM200228C00041500,2020-01-24 1:08PM EST,41.5,2.8,4.8,5.45,0.0,-,1,0,305.47,1
5,PHM200228C00043000,2020-02-03 11:04AM EST,43.0,2.25,0.26,0.43,0.0,-,3,0,42.77,1
6,PHM200228C00043500,2020-02-26 1:29PM EST,43.5,0.36,0.14,0.21,-1.42,-79.78%,34,0,37.7,1
7,PHM200228C00044000,2020-02-26 11:39AM EST,44.0,0.15,0.03,0.16,-1.5,-90.91%,14,0,42.38,1
8,PHM200228C00044500,2020-02-26 11:17AM EST,44.5,0.17,0.0,0.06,-0.15,-46.87%,30,0,37.89,1
9,PHM200228C00045000,2020-02-26 11:39AM EST,45.0,0.08,0.0,0.05,-0.11,-57.89%,2,0,42.58,1
10,PHM200228C00045500,2020-02-25 1:07PM EST,45.5,0.19,0.0,0.04,0.0,-,15,0,46.48,1
11,PHM200228C00046000,2020-02-25 1:26PM EST,46.0,0.1,0.0,0.03,0.0,-,4,45,49.61,1
12,PHM200228C00046500,2020-02-25 3:20PM EST,46.5,0.04,0.0,0.04,0.0,-,2,0,51.56,1
13,PHM200228C00047000,2020-02-26 11:49AM EST,47.0,0.04,0.0,0.03,-0.01,-20.00%,1,0,53.91,1
14,PHM200228C00047500,2020-02-24 3:02PM EST,47.5,0.04,0.0,0.01,0.0,-,57,61,50.0,1
15,PHM200228C00048500,2020-02-24 1:45PM EST,48.5,0.03,0.0,0.01,0.0,-,10,0,59.38,1
16,PHM200228C00049000,2020-02-03 10:32AM EST,49.0,0.07,0.0,0.27,0.0,-,79,0,106.64,1
17,PHM200228C00050000,2020-01-30 11:04PM EST,50.0,0.3,0.01,0.03,-0.05,-14.29%,5,0,84.38,1
18,PHM200228C00050500,2020-01-28 3:36PM EST,50.5,0.18,0.0,0.32,0.0,-,-,0,128.13,1
0,PHM200306C00039000,2020-02-05 2:48PM EST,39.0,6.21,3.55,4.25,0.0,-,-,0,59.57,8
1,PHM200306C00040000,2020-01-28 10:50AM EST,40.0,4.5,2.59,2.97,0.0,-,2,0,51.56,8
2,PHM200306C00043500,2020-02-26 11:30AM EST,43.5,1.0,0.41,0.61,-0.1,-9.09%,4,0,36.82,8
3,PHM200306C00044000,2020-02-07 10:55AM EST,44.0,2.76,0.29,0.36,0.0,-,1,0,32.62,8
4,PHM200306C00044500,2020-02-24 3:35PM EST,44.5,0.46,0.18,0.35,-1.03,-69.13%,1,0,37.4,8
5,PHM200306C00045000,2020-02-26 1:25PM EST,45.0,0.25,0.1,0.22,-0.8,-76.19%,3,0,35.45,8
6,PHM200306C00045500,2020-02-21 2:26PM EST,45.5,1.63,0.09,0.14,0.0,-,3,0,34.57,8
7,PHM200306C00046000,2020-02-24 2:51PM EST,46.0,0.67,0.0,0.11,0.0,-,31,35,35.94,8
8,PHM200306C00046500,2020-02-24 11:27AM EST,46.5,0.49,0.0,0.08,0.0,-,14,0,36.72,8
9,PHM200306C00047000,2020-02-24 3:07PM EST,47.0,0.21,0.0,0.06,0.0,-,1,0,37.5,8
10,PHM200306C00047500,2020-02-26 11:33AM EST,47.5,0.05,0.0,0.04,-0.17,-77.27%,2,0,37.5,8
11,PHM200306C00048000,2020-02-21 2:38PM EST,48.0,0.32,0.0,0.13,0.0,-,2,0,51.56,8
12,PHM200306C00049000,2020-02-18 12:14AM EST,49.0,0.29,0.0,0.2,0.0,-,-,0,54.69,8
13,PHM200306C00049500,2020-02-18 12:14AM EST,49.5,0.28,0.0,2.06,0.0,-,-,0,114.65,8
14,PHM200306C00050000,2020-02-18 12:14AM EST,50.0,0.05,0.0,0.17,0.0,-,3,0,58.59,8
15,PHM200306C00050500,2020-01-29 9:30AM EST,50.5,0.29,0.0,0.33,0.0,-,-,3,70.51,8
0,PHM200313C00044000,2020-02-26 10:28AM EST,44.0,0.65,0.45,0.65,-1.3,-66.67%,4,0,34.18,15
1,PHM200313C00044500,2020-02-18 12:14AM EST,44.5,3.0,0.27,0.5,0.0,-,-,0,33.79,15
2,PHM200313C00045000,2020-02-10 3:22PM EST,45.0,2.37,0.23,0.4,0.0,-,2,0,34.28,15
3,PHM200313C00046000,2020-02-25 12:41PM EST,46.0,0.38,0.1,0.18,0.0,-,26,0,31.64,15
4,PHM200313C00046500,2020-02-26 11:33AM EST,46.5,0.2,0.04,0.15,-0.3,-60.00%,2,8,32.81,15
5,PHM200313C00047000,2020-02-20 9:30AM EST,47.0,0.8,0.04,0.11,0.0,-,1,0,33.01,15
6,PHM200313C00048000,2020-02-21 3:14PM EST,48.0,0.22,0.02,0.07,0.0,-,1,0,34.38,15
7,PHM200313C00048500,2020-02-19 11:21AM EST,48.5,0.09,0.01,0.05,0.0,-,-,0,34.38,15
8,PHM200313C00050000,2020-02-18 12:14AM EST,50.0,0.19,0.0,0.04,0.0,-,-,0,39.06,15
9,PHM200313C00051000,2020-02-20 9:30AM EST,51.0,0.04,0.0,0.04,0.0,-,-,0,42.97,15
0,PHM200320C00037000,2020-01-22 11:02AM EST,37.0,6.3,9.6,10.3,0.0,-,-,0,170.12,22
1,PHM200320C00038000,2020-01-29 10:59AM EST,38.0,7.66,4.55,4.75,0.0,-,-,0,38.28,22
2,PHM200320C00040000,2020-02-19 3:27PM EST,40.0,6.25,3.05,3.3,0.0,-,1,0,42.14,22
3,PHM200320C00041000,2020-02-21 2:09PM EST,41.0,5.7,2.13,2.84,0.0,-,2,0,46.88,22
4,PHM200320C00042000,2020-02-20 12:05PM EST,42.0,4.35,1.52,1.66,0.0,-,1,0,32.3,22
5,PHM200320C00043000,2020-02-25 1:13PM EST,43.0,2.12,0.98,1.12,0.0,-,1,85,31.01,22
6,PHM200320C00043500,2020-02-25 3:42PM EST,43.5,1.47,0.79,0.88,0.0,-,4,0,30.03,22
7,PHM200320C00044000,2020-02-26 10:57AM EST,44.0,0.81,0.6,0.67,-0.43,-34.68%,37,0,29.0,22
8,PHM200320C00045000,2020-02-26 11:34AM EST,45.0,0.64,0.34,0.5,-0.18,-21.95%,4,0,31.54,22
9,PHM200320C00045500,2020-02-25 1:42PM EST,45.5,0.71,0.38,0.41,0.0,-,-,-,31.98,22
10,PHM200320C00046000,2020-02-26 2:00PM EST,46.0,0.2,0.19,0.24,-0.36,-64.29%,5,431,28.91,22
11,PHM200320C00046500,2020-02-25 11:50AM EST,46.5,0.52,0.18,0.41,0.0,-,-,-,37.79,22
12,PHM200320C00047000,2020-02-25 11:50AM EST,47.0,0.36,0.08,0.16,0.0,-,20,0,30.27,22
13,PHM200320C00047500,2020-02-24 9:56AM EST,47.5,0.5,0.05,0.11,0.0,-,-,0,29.69,22
14,PHM200320C00048000,2020-02-25 9:38AM EST,48.0,0.24,0.02,0.09,0.0,-,3,0,30.47,22
15,PHM200320C00049000,2020-02-24 11:04AM EST,49.0,0.05,0.01,0.06,0.02,+66.67%,1,0,31.64,22
16,PHM200320C00050000,2020-02-25 12:06PM EST,50.0,0.05,0.0,0.05,0.0,-,20,132,34.18,22
17,PHM200320C00055000,2020-02-21 1:12PM EST,55.0,0.02,0.0,0.03,0.0,-,25,0,46.09,22
18,PHM200320C00060000,2020-02-11 11:42AM EST,60.0,0.02,0.0,0.03,0.0,-,-,5,53.91,22
0,PHM200327C00044000,2020-02-21 12:14PM EST,44.0,1.89,0.69,1.04,0.0,-,5,5,33.52,29
1,PHM200327C00045000,2020-02-19 9:32AM EST,45.0,2.8,0.39,0.65,0.0,-,2,0,31.45,29
2,PHM200327C00045500,2020-02-10 12:01AM EST,45.5,1.7,0.35,0.5,0.0,-,-,0,30.57,29
3,PHM200327C00046500,2020-02-24 9:40AM EST,46.5,0.73,0.18,0.33,0.0,-,3,0,30.76,29
4,PHM200327C00047000,2020-02-24 2:28PM EST,47.0,0.78,0.15,0.26,0.0,-,3,0,30.66,29
5,PHM200327C00047500,2020-02-19 3:01PM EST,47.5,1.0,0.06,0.19,0.0,-,-,0,29.98,29
6,PHM200327C00048000,2020-02-24 10:12AM EST,48.0,0.52,0.1,0.2,0.0,-,-,-,32.42,29
7,PHM200327C00049000,2020-02-21 1:14PM EST,49.0,0.53,0.01,0.11,0.0,-,3,0,31.54,29
8,PHM200327C00050500,2020-02-24 9:40AM EST,50.5,0.5,0.0,0.2,0.0,-,3,0,41.8,29
9,PHM200327C00051000,2020-02-11 2:14PM EST,51.0,0.26,0.0,0.06,0.0,-,-,30,33.99,29
10,PHM200327C00051500,2020-02-18 12:14AM EST,51.5,0.19,0.0,0.06,0.0,-,-,0,35.55,29
5,PHM200417C00031000,2020-01-16 10:15AM EST,31.0,10.7,15.3,16.35,0.0,-,1,32,165.19,50
6,PHM200417C00032000,2020-01-27 11:33AM EST,32.0,12.11,10.25,10.9,0.0,-,1,0,59.28,50
7,PHM200417C00033000,2020-01-09 3:32PM EST,33.0,7.15,13.0,13.6,0.0,-,2,15,136.38,50
8,PHM200417C00034000,2020-02-24 11:40AM EST,34.0,11.7,8.35,8.95,0.0,-,1,0,51.17,50
9,PHM200417C00035000,2020-02-19 9:33AM EST,35.0,12.08,7.4,8.1,0.0,-,1,0,50.78,50
10,PHM200417C00036000,2020-02-24 11:54AM EST,36.0,9.25,6.6,7.1,0.0,-,20,0,45.61,50
11,PHM200417C00037000,2020-01-27 11:31AM EST,37.0,8.7,5.75,6.0,0.0,-,6,0,37.89,50
12,PHM200417C00038000,2020-02-25 11:48AM EST,38.0,7.05,4.8,5.25,0.0,-,3,259,38.75,50
13,PHM200417C00039000,2020-02-26 12:00PM EST,39.0,4.81,4.05,4.25,-2.84,-37.12%,5,211,33.28,50
14,PHM200417C00040000,2020-02-26 1:03PM EST,40.0,3.9,3.3,3.55,-2.1,-35.00%,7,0,33.25,50
15,PHM200417C00041000,2020-02-26 1:35PM EST,41.0,3.05,2.66,2.79,-0.65,-17.57%,6,0,31.01,50
16,PHM200417C00042000,2020-02-19 3:01PM EST,42.0,4.25,2.02,2.46,0.0,-,2,0,34.62,50
17,PHM200417C00043000,2020-02-26 11:22AM EST,43.0,1.71,1.52,1.65,-1.64,-48.96%,12,165,29.37,50
18,PHM200417C00044000,2020-02-26 10:49AM EST,44.0,1.53,1.09,1.19,-0.42,-21.54%,19,0,28.32,50
19,PHM200417C00045000,2020-02-26 12:24PM EST,45.0,0.99,0.76,0.83,-0.26,-20.80%,18,0,27.54,50
20,PHM200417C00046000,2020-02-26 1:59PM EST,46.0,0.58,0.55,0.6,-0.27,-31.76%,7,0,27.74,50
21,PHM200417C00047000,2020-02-26 1:03PM EST,47.0,0.47,0.35,0.4,-0.11,-18.97%,12,0,27.3,50
22,PHM200417C00048000,2020-02-21 3:44PM EST,48.0,0.36,0.21,0.27,-0.16,-30.77%,6,0,27.25,50
23,PHM200417C00049000,2020-02-21 3:57PM EST,49.0,0.34,0.14,0.22,0.0,-,17,0,28.76,50
24,PHM200417C00050000,2020-02-26 11:48AM EST,50.0,0.15,0.08,0.13,-0.13,-46.43%,15,0,27.93,50
25,PHM200417C00055000,2020-02-13 2:10PM EST,55.0,0.03,0.0,0.11,0.0,-,-,0,38.67,50
1,PHM200717C00030000,2020-02-07 10:44AM EST,30.0,16.5,12.5,13.3,0.0,-,5,0,51.2,141
3,PHM200717C00034000,2020-01-31 1:45PM EST,34.0,11.15,8.95,9.55,0.0,-,1,0,41.28,141
4,PHM200717C00035000,2020-02-24 11:56AM EST,35.0,11.0,7.95,8.5,0.0,-,4,0,37.01,141
5,PHM200717C00036000,2020-01-22 11:44AM EST,36.0,7.9,10.35,11.05,0.0,-,3,0,71.9,141
6,PHM200717C00037000,2020-02-21 11:45AM EST,37.0,10.4,6.5,6.75,0.0,-,5,0,33.3,141
7,PHM200717C00038000,2020-02-25 12:50PM EST,38.0,6.2,5.7,5.95,-1.3,-17.33%,1,0,32.03,141
8,PHM200717C00039000,2020-02-06 9:30AM EST,39.0,7.46,5.0,5.25,0.0,-,10,61,31.52,141
9,PHM200717C00040000,2020-02-24 2:58PM EST,40.0,4.75,4.3,4.55,-1.97,-29.32%,10,0,30.57,141
10,PHM200717C00041000,2020-02-11 9:30AM EST,41.0,4.8,3.7,4.05,0.0,-,10,0,31.18,141
11,PHM200717C00042000,2020-02-24 10:34AM EST,42.0,3.1,3.1,3.45,-0.9,-22.50%,1,0,30.31,141
12,PHM200717C00043000,2020-02-24 9:30AM EST,43.0,4.62,2.66,2.97,0.0,-,10,0,30.15,141
13,PHM200717C00044000,2020-02-24 10:21AM EST,44.0,3.7,2.14,2.45,0.0,-,15,150,29.14,141
14,PHM200717C00045000,2020-02-25 2:16PM EST,45.0,2.47,1.77,2.12,0.0,-,25,0,29.49,141
15,PHM200717C00046000,2020-02-24 3:54PM EST,46.0,2.63,1.42,1.72,0.0,-,29,0,28.71,141
16,PHM200717C00047000,2020-02-24 12:26PM EST,47.0,2.32,1.13,1.37,0.0,-,20,68,27.95,141
17,PHM200717C00048000,2020-02-24 10:15AM EST,48.0,1.15,0.87,1.01,-0.7,-37.84%,10,0,26.51,141
18,PHM200717C00049000,2020-02-21 12:55PM EST,49.0,0.85,0.69,0.92,-1.14,-57.29%,1,0,27.76,141
19,PHM200717C00050000,2020-02-26 10:57AM EST,50.0,0.72,0.57,0.71,-0.58,-44.62%,2,0,27.2,141
20,PHM200717C00055000,2020-02-20 11:32AM EST,55.0,0.4,0.11,0.22,0.0,-,2,0,26.86,141
21,PHM200717C00060000,2020-02-18 12:14AM EST,60.0,0.1,0.0,0.22,0.0,-,2,0,33.5,141
0,PHM201016C00039000,2020-02-24 11:40AM EST,39.0,8.2,6.05,6.5,0.0,-,-,-,34.99,232
1,PHM201016C00040000,2020-02-25 3:32PM EST,40.0,6.0,5.05,5.45,0.0,-,1,0,31.03,232
2,PHM201016C00042000,2020-02-24 12:11PM EST,42.0,6.0,4.3,4.55,0.0,-,-,-,31.91,232
7,PHM210115C00030000,2020-02-14 12:09PM EST,30.0,17.4,13.0,14.35,0.0,-,100,0,46.19,323
8,PHM210115C00032000,2020-02-07 9:59AM EST,32.0,13.51,11.3,12.55,0.0,-,8,0,42.36,323
9,PHM210115C00035000,2020-02-12 3:15PM EST,35.0,12.72,8.9,10.2,0.0,-,6,0,39.26,323
10,PHM210115C00037000,2020-02-11 11:34AM EST,37.0,11.22,7.65,8.25,0.0,-,1,0,33.79,323
11,PHM210115C00040000,2020-02-26 11:35AM EST,40.0,6.6,5.55,6.25,-1.05,-13.73%,20,859,31.67,323
12,PHM210115C00045000,2020-02-25 3:30PM EST,45.0,3.91,3.25,3.9,-0.1,-2.49%,18,0,30.79,323
13,PHM210115C00050000,2020-02-24 9:30AM EST,50.0,2.61,1.52,2.11,0.0,-,10,0,28.8,323
14,PHM210115C00055000,2020-02-14 11:02AM EST,55.0,1.52,0.63,1.22,0.0,-,11,0,28.98,323
15,PHM210115C00060000,2020-02-26 11:07AM EST,60.0,0.75,0.26,0.65,0.05,+7.14%,2,0,28.64,323
0,PHM220121C00020000,2020-01-06 12:03AM EST,20.0,19.43,24.15,28.8,0.0,-,-,10,76.49,694
2,PHM220121C00025000,2020-01-13 12:42PM EST,25.0,16.57,19.6,23.95,0.0,-,-,0,61.52,694
3,PHM220121C00028000,2020-02-21 12:34PM EST,28.0,20.4,15.3,16.7,0.0,-,1,1,38.34,694
4,PHM220121C00033000,2020-02-26 9:56AM EST,33.0,12.08,12.0,13.35,-0.43,-3.44%,20,0,37.54,694
