,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,PHM200228P00038500,2020-02-03 10:27AM EST,38.5,0.09,0.0,0.27,0.0,-,58,0,82.62,1
1,PHM200228P00040500,2020-02-06 10:55AM EST,40.5,0.09,0.07,0.13,0.0,-,-,18,48.44,1
2,PHM200228P00042000,2020-02-13 10:20AM EST,42.0,0.24,0.37,0.44,0.14,+140.00%,7,0,42.38,1
3,PHM200228P00042500,2020-02-26 2:02PM EST,42.5,0.58,0.55,0.71,0.16,+38.10%,453,0,45.22,1
4,PHM200228P00043500,2020-02-26 11:09AM EST,43.5,0.49,1.0,1.33,0.38,+345.45%,2,0,44.92,1
5,PHM200228P00044000,2020-02-25 1:33PM EST,44.0,0.59,1.05,1.79,0.0,-,6,0,51.37,1
6,PHM200228P00044500,2020-02-24 3:55PM EST,44.5,0.81,1.49,2.22,0.0,-,24,0,53.71,1
7,PHM200228P00045000,2020-02-25 3:37PM EST,45.0,1.7,2.45,2.78,0.0,-,246,174,67.77,1
8,PHM200228P00045500,2020-02-25 11:54AM EST,45.5,2.38,2.86,3.25,0.52,+27.96%,50,0,72.66,1
9,PHM200228P00046000,2020-02-18 3:50PM EST,46.0,0.46,2.84,4.0,0.0,-,2,0,104.88,1
10,PHM200228P00046500,2020-02-25 10:26AM EST,46.5,3.58,3.9,4.35,0.51,+16.61%,6,0,69.53,1
11,PHM200228P00047000,2020-02-24 12:01PM EST,47.0,2.25,4.45,4.9,0.0,-,1,0,83.98,1
0,PHM200306P00038500,2020-01-31 11:05AM EST,38.5,0.12,0.1,0.16,0.0,-,-,0,47.46,8
1,PHM200306P00040000,2020-02-05 9:30AM EST,40.0,0.24,0.24,0.35,0.0,-,-,0,44.14,8
2,PHM200306P00041000,2020-02-03 12:09AM EST,41.0,0.27,0.43,0.54,0.0,-,-,0,40.82,8
3,PHM200306P00041500,2020-01-29 1:14PM EST,41.5,0.69,0.56,0.69,0.35,+102.94%,2,0,39.94,8
4,PHM200306P00042500,2020-02-26 9:50AM EST,42.5,1.25,0.6,0.75,0.96,+331.03%,2,-,26.17,8
5,PHM200306P00043000,2020-02-05 12:27PM EST,43.0,0.8,1.14,1.39,0.28,+53.85%,2,0,39.16,8
6,PHM200306P00043500,2020-02-24 11:19AM EST,43.5,0.31,1.46,1.69,0.0,-,16,0,38.72,8
7,PHM200306P00044000,2020-02-24 11:27AM EST,44.0,0.39,1.62,2.08,0.0,-,6,0,40.53,8
8,PHM200306P00045000,2020-02-24 10:31AM EST,45.0,0.68,2.16,2.85,0.0,-,1,0,40.82,8
9,PHM200306P00045500,2020-02-11 2:53PM EST,45.5,0.87,2.47,3.3,0.0,-,1,0,42.68,8
10,PHM200306P00046000,2020-02-21 1:49PM EST,46.0,0.62,2.84,3.85,0.0,-,1,0,49.71,8
11,PHM200306P00046500,2020-02-21 3:35PM EST,46.5,0.93,3.8,4.05,0.0,-,5,0,28.13,8
12,PHM200306P00047000,2020-02-21 11:59AM EST,47.0,0.87,4.35,4.8,0.0,-,22,0,54.88,8
13,PHM200306P00047500,2020-01-31 3:05PM EST,47.5,3.04,4.45,5.2,0.0,-,1,0,51.56,8
0,PHM200313P00045000,2020-02-19 3:55PM EST,45.0,0.52,2.43,3.0,0.0,-,-,0,36.72,15
1,PHM200313P00046000,2020-02-07 11:39AM EST,46.0,1.57,3.6,3.9,0.0,-,3,0,40.14,15
2,PHM200313P00047500,2020-02-24 3:55PM EST,47.5,2.6,3.15,5.85,0.0,-,-,1,67.19,15
0,PHM200320P00037000,2020-01-27 12:01AM EST,37.0,0.25,0.17,0.24,0.0,-,-,0,44.14,22
1,PHM200320P00038000,2020-02-04 3:05PM EST,38.0,0.19,0.23,0.32,0.0,-,2,0,41.41,22
2,PHM200320P00039000,2020-01-29 10:40AM EST,39.0,0.18,0.35,0.44,0.0,-,-,3,39.01,22
3,PHM200320P00040000,2020-02-25 2:32PM EST,40.0,0.47,0.53,0.63,0.0,-,11,0,37.31,22
4,PHM200320P00040500,2020-02-24 3:48PM EST,40.5,0.21,0.48,0.56,0.0,-,-,-,31.25,22
5,PHM200320P00041000,2020-02-14 1:36PM EST,41.0,0.13,0.8,0.87,0.0,-,2,18,35.21,22
6,PHM200320P00042000,2020-02-26 9:54AM EST,42.0,0.92,1.17,1.24,0.03,+3.37%,23,0,34.18,22
7,PHM200320P00042500,2020-02-26 10:44AM EST,42.5,0.97,1.35,1.49,0.0,-,16,10,34.28,22
8,PHM200320P00043000,2020-02-24 3:58PM EST,43.0,0.56,1.59,1.76,0.0,-,5,52,34.23,22
9,PHM200320P00043500,2020-02-25 3:42PM EST,43.5,1.47,1.49,1.55,0.0,-,-,-,22.02,22
10,PHM200320P00044000,2020-02-25 1:33PM EST,44.0,2.3,2.23,2.35,0.6,+35.29%,2,0,33.5,22
11,PHM200320P00044500,2020-02-25 9:56AM EST,44.5,2.87,2.07,2.18,1.72,+149.57%,-,-,18.46,22
12,PHM200320P00045000,2020-02-26 9:51AM EST,45.0,3.35,2.92,3.15,2.28,+213.08%,40,0,35.74,22
13,PHM200320P00045500,2020-02-24 3:27PM EST,45.5,1.34,2.79,3.25,0.0,-,-,-,26.61,22
14,PHM200320P00046000,2020-02-26 9:35AM EST,46.0,3.65,3.7,3.95,1.01,+38.26%,1,0,36.23,22
15,PHM200320P00047000,2020-02-24 10:20AM EST,47.0,2.22,4.6,4.95,0.0,-,1,65,41.9,22
16,PHM200320P00048000,2020-01-29 2:02PM EST,48.0,2.96,5.25,6.7,0.0,-,-,0,70.02,22
0,PHM200327P00045000,2020-02-21 3:35PM EST,45.0,0.89,2.59,3.3,0.0,-,1,0,34.96,29
0,PHM200417P00022000,2019-09-12 12:12PM EST,22.0,0.19,0.04,0.45,0.0,-,15,55,105.47,50
1,PHM200417P00023000,2019-09-15 11:11PM EST,23.0,0.25,0.04,0.45,0.0,-,-,22,99.22,50
2,PHM200417P00024000,2019-11-04 2:10PM EST,24.0,0.22,0.02,0.16,0.0,-,4,0,77.73,50
3,PHM200417P00025000,2020-02-11 12:52PM EST,25.0,0.03,0.0,0.04,0.0,-,6,0,58.59,50
4,PHM200417P00026000,2019-11-05 10:13AM EST,26.0,0.29,0.1,0.16,0.0,-,4,585,72.46,50
5,PHM200417P00027000,2020-02-19 9:31AM EST,27.0,0.01,0.0,0.1,0.0,-,20,0,57.81,50
6,PHM200417P00028000,2020-02-19 9:31AM EST,28.0,0.03,0.0,0.14,0.0,-,10,0,56.64,50
7,PHM200417P00029000,2019-11-29 12:19PM EST,29.0,0.27,0.12,0.22,0.0,-,10,0,61.52,50
8,PHM200417P00030000,2020-02-19 9:32AM EST,30.0,0.02,0.01,0.24,0.0,-,10,118,53.61,50
9,PHM200417P00031000,2020-02-19 9:32AM EST,31.0,0.03,0.04,0.15,0.0,-,10,0,51.17,50
10,PHM200417P00032000,2020-01-22 10:46AM EST,32.0,0.09,0.0,0.13,0.0,-,10,358,45.51,50
11,PHM200417P00033000,2020-01-14 1:38PM EST,33.0,0.23,0.0,0.18,0.0,-,10,0,44.43,50
12,PHM200417P00034000,2019-11-05 10:15AM EST,34.0,1.33,0.63,0.72,0.0,-,5,0,58.3,50
13,PHM200417P00035000,2020-02-14 3:51PM EST,35.0,0.08,0.23,0.31,0.0,-,1,0,41.41,50
14,PHM200417P00036000,2020-02-13 11:43AM EST,36.0,0.11,0.31,0.4,0.0,-,1,0,39.84,50
15,PHM200417P00037000,2020-02-13 11:43AM EST,37.0,0.15,0.4,0.5,0.0,-,3,33,37.89,50
16,PHM200417P00038000,2020-01-28 3:28PM EST,38.0,0.15,0.53,0.62,0.0,-,8,0,35.79,50
17,PHM200417P00039000,2020-02-20 11:12AM EST,39.0,0.2,0.67,0.82,0.0,-,4,0,34.72,50
18,PHM200417P00040000,2020-02-24 11:15AM EST,40.0,0.39,0.86,1.06,0.0,-,26,0,33.45,50
19,PHM200417P00041000,2020-02-11 10:45AM EST,41.0,0.4,1.15,1.37,0.0,-,7,0,32.37,50
20,PHM200417P00042000,2020-02-25 2:00PM EST,42.0,1.71,1.61,1.74,0.55,+47.41%,2,0,31.15,50
21,PHM200417P00043000,2020-02-04 11:03AM EST,43.0,1.76,2.0,2.25,0.0,-,10,0,30.93,50
22,PHM200417P00044000,2020-02-25 1:08PM EST,44.0,2.24,2.59,2.84,0.56,+33.33%,6,0,30.76,50
23,PHM200417P00045000,2020-02-25 2:00PM EST,45.0,3.51,2.95,3.5,1.1,+45.64%,2,0,30.49,50
24,PHM200417P00046000,2020-02-20 12:26PM EST,46.0,2.5,4.0,4.25,0.0,-,8,0,30.66,50
25,PHM200417P00047000,2020-02-25 3:34PM EST,47.0,4.15,4.7,5.1,0.0,-,1,0,31.79,50
26,PHM200417P00048000,2020-02-18 12:14AM EST,48.0,2.51,5.55,5.75,0.0,-,-,0,26.66,50
