,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,PKG200320P00080000,2020-02-24 12:19PM EST,80.0,0.13,0.3,0.45,0.0,-,1,2,49.02,22
1,PKG200320P00085000,2020-02-24 12:35PM EST,85.0,0.3,0.8,1.0,0.0,-,6,0,45.68,22
2,PKG200320P00090000,2020-02-25 12:13PM EST,90.0,1.05,1.75,2.05,0.0,-,4,0,42.24,22
3,PKG200320P00095000,2020-02-26 11:52AM EST,95.0,2.7,3.5,3.9,-0.3,-10.00%,5,0,39.0,22
4,PKG200320P00100000,2020-02-26 12:44PM EST,100.0,6.0,6.6,7.3,-0.61,-9.23%,11,0,41.94,22
5,PKG200320P00105000,2020-02-20 10:11AM EST,105.0,6.55,10.7,12.0,0.0,-,2,0,53.1,22
6,PKG200320P00110000,2020-02-18 10:20AM EST,110.0,11.75,15.2,17.5,0.0,-,2,0,55.76,22
0,PKG200417P00065000,2019-10-21 1:53PM EST,65.0,0.2,0.0,2.65,0.0,-,-,0,82.42,50
1,PKG200417P00070000,2019-10-09 12:43PM EST,70.0,1.09,0.1,4.9,0.0,-,-,0,86.3,50
2,PKG200417P00075000,2019-11-18 2:03PM EST,75.0,0.64,0.0,0.8,0.0,-,26,85,49.66,50
3,PKG200417P00080000,2019-12-03 3:12PM EST,80.0,0.6,0.2,4.6,0.0,-,-,0,58.11,50
4,PKG200417P00085000,2020-02-07 2:02PM EST,85.0,1.56,1.4,1.65,0.0,-,1,0,37.89,50
5,PKG200417P00090000,2020-02-25 3:52PM EST,90.0,2.86,2.5,2.9,0.0,-,13,0,35.41,50
6,PKG200417P00095000,2020-02-26 11:37AM EST,95.0,3.7,4.5,5.0,-0.82,-18.14%,11,0,34.22,50
7,PKG200417P00100000,2020-02-26 12:28PM EST,100.0,6.94,7.4,8.0,-1.06,-13.25%,1,0,33.8,50
8,PKG200417P00105000,2020-02-19 12:53PM EST,105.0,8.2,11.0,12.1,0.0,-,10,0,36.96,50
9,PKG200417P00110000,2020-02-05 12:35PM EST,110.0,9.02,15.2,16.9,0.0,-,1,0,43.65,50
0,PKG200717P00065000,2019-11-18 2:05PM EST,65.0,0.25,0.0,1.6,0.0,-,-,36,52.54,141
1,PKG200717P00070000,2020-01-30 11:59AM EST,70.0,0.5,0.7,1.15,0.0,-,-,0,40.36,141
2,PKG200717P00075000,2020-01-30 11:45AM EST,75.0,0.75,1.2,1.7,0.0,-,-,0,37.88,141
3,PKG200717P00080000,2020-02-24 12:07PM EST,80.0,1.31,1.95,2.45,0.0,-,18,0,35.35,141
4,PKG200717P00085000,2020-02-07 12:48PM EST,85.0,1.58,3.1,3.9,0.0,-,6,0,35.02,141
5,PKG200717P00090000,2020-02-19 2:33PM EST,90.0,2.9,4.9,5.3,0.0,-,5,0,32.34,141
6,PKG200717P00095000,2020-02-24 10:03AM EST,95.0,3.8,7.2,7.7,0.0,-,5,0,32.07,141
7,PKG200717P00100000,2020-02-24 11:30AM EST,100.0,6.9,9.7,10.5,0.0,-,1,0,31.32,141
8,PKG200717P00115000,2020-02-20 3:35PM EST,115.0,18.0,21.5,22.6,0.0,-,30,0,35.08,141
0,PKG201016P00075000,2020-02-25 10:55AM EST,75.0,1.85,1.8,2.1,0.0,-,-,-,31.97,232
