,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,PLD200320P00080000,2020-02-24 10:20AM EST,80.0,0.2,0.15,0.35,0.0,-,13,15,38.53,22
1,PLD200320P00085000,2020-02-26 10:43AM EST,85.0,0.45,0.6,0.8,0.31,+221.43%,15,0,32.72,22
2,PLD200320P00090000,2020-02-26 12:48PM EST,90.0,1.37,1.95,2.1,-0.33,-19.41%,67,0,29.35,22
3,PLD200320P00095000,2020-02-25 3:52PM EST,95.0,3.9,4.7,5.2,-0.6,-13.33%,22,0,31.84,22
4,PLD200320P00100000,2020-02-24 9:30AM EST,100.0,3.1,8.8,9.8,0.0,-,2,0,41.99,22
0,PLD200417P00085000,2020-02-25 12:33PM EST,85.0,0.8,1.25,1.45,0.0,-,10,0,28.75,50
1,PLD200417P00090000,2020-02-25 2:24PM EST,90.0,2.55,2.1,2.35,0.0,-,-,-,21.8,50
2,PLD200417P00095000,2020-02-25 12:24PM EST,95.0,3.68,4.4,4.9,0.0,-,-,-,19.19,50
3,PLD200417P00100000,2020-02-25 2:55PM EST,100.0,8.7,8.0,8.9,0.0,-,-,-,17.58,50
0,PLD200515P00050000,2020-01-22 7:04PM EST,50.0,0.05,-,0.05,0.0,-,-,0,54.3,78
1,PLD200515P00065000,2020-01-15 9:54AM EST,65.0,0.2,0.00,0.2,0.0,-,3,3,40.09,78
2,PLD200515P00070000,2020-01-17 3:38PM EST,70.0,0.2,0.00,0.2,0.0,-,5,17,32.57,78
3,PLD200515P00075000,2020-01-21 2:30PM EST,75.0,0.3,0.00,0.0,0.0,-,1,0,12.5,78
4,PLD200515P00080000,2020-02-26 11:04AM EST,80.0,0.8,0.85,1.1,0.5,+166.67%,40,0,29.86,78
5,PLD200515P00085000,2020-02-25 3:51PM EST,85.0,1.83,1.80,2.05,0.0,-,23,0,27.5,78
6,PLD200515P00090000,2020-02-24 3:55PM EST,90.0,1.8,3.40,3.7,0.0,-,44,166,25.56,78
7,PLD200515P00095000,2020-02-24 3:50PM EST,95.0,5.67,5.80,6.6,2.17,+62.00%,21,0,26.0,78
8,PLD200515P00100000,2020-02-25 2:56PM EST,100.0,9.1,9.70,10.1,0.0,-,1,75,25.11,78
9,PLD200515P00105000,2020-02-19 10:27AM EST,105.0,7.82,14.10,15.1,0.0,-,-,0,32.25,78
0,PLD200619P00050000,2020-01-28 11:11AM EST,50.0,0.05,0.0,0.2,0.0,-,2,0,54.98,113
1,PLD200619P00055000,2019-09-04 10:26AM EST,55.0,0.6,0.25,1.35,0.0,-,-,0,62.21,113
2,PLD200619P00060000,2020-02-20 9:31AM EST,60.0,0.05,0.0,0.2,0.0,-,25,0,40.09,113
3,PLD200619P00065000,2019-08-26 1:18PM EST,65.0,1.75,1.15,1.4,0.0,-,3,16,51.17,113
4,PLD200619P00070000,2020-01-28 11:11AM EST,70.0,0.23,0.35,0.6,0.0,-,1,0,34.5,113
5,PLD200619P00075000,2020-02-24 11:39AM EST,75.0,0.7,0.65,0.95,0.15,+27.27%,1,0,31.25,113
6,PLD200619P00080000,2020-02-25 2:58PM EST,80.0,1.35,1.35,1.6,0.0,-,13,0,28.76,113
7,PLD200619P00085000,2020-02-25 2:58PM EST,85.0,2.05,2.3,2.75,-0.25,-10.87%,27,0,27.0,113
8,PLD200619P00090000,2020-02-24 3:40PM EST,90.0,3.4,4.2,4.6,0.0,-,16,0,25.79,113
9,PLD200619P00095000,2020-02-24 2:08PM EST,95.0,4.2,6.6,7.4,0.0,-,43,0,25.71,113
10,PLD200619P00100000,2020-02-19 10:05AM EST,100.0,5.11,10.4,11.1,0.0,-,-,10,26.86,113
11,PLD200619P00105000,2020-02-11 1:52PM EST,105.0,9.99,14.4,15.4,0.0,-,1,0,28.94,113
12,PLD200619P00110000,2020-02-21 10:01AM EST,110.0,11.8,18.5,21.1,0.0,-,-,39,39.09,113
0,PLD200821P00060000,2020-01-06 11:09AM EST,60.0,0.35,0.0,0.3,0.0,-,-,35,34.67,176
1,PLD200821P00065000,2020-02-07 3:36PM EST,65.0,0.3,0.4,0.6,0.0,-,2,3,33.69,176
2,PLD200821P00070000,2020-01-31 9:53AM EST,70.0,0.45,0.6,0.8,0.0,-,5,0,29.86,176
3,PLD200821P00075000,2020-02-25 2:58PM EST,75.0,1.2,1.15,1.4,0.0,-,12,0,28.5,176
4,PLD200821P00080000,2020-02-26 11:04AM EST,80.0,1.9,1.95,2.2,0.0,-,1,0,26.49,176
5,PLD200821P00085000,2020-02-25 2:56PM EST,85.0,3.06,2.95,3.6,0.0,-,14,0,25.49,176
6,PLD200821P00090000,2020-02-26 1:55PM EST,90.0,5.3,5.1,5.7,0.4,+8.16%,32,102,25.09,176
7,PLD200821P00095000,2020-02-25 9:54AM EST,95.0,5.7,7.5,8.4,0.0,-,28,0,24.61,176
8,PLD200821P00100000,2020-02-18 9:44AM EST,100.0,6.5,11.0,11.8,0.0,-,21,11,24.62,176
9,PLD200821P00105000,2020-02-25 1:19PM EST,105.0,13.9,15.0,15.8,0.0,-,10,0,25.24,176
10,PLD200821P00115000,2020-02-11 1:52PM EST,115.0,19.33,23.0,26.5,0.0,-,1,0,37.62,176
