,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,PM200228C00079000,2020-02-06 10:55AM EST,79.0,8.9,6.75,7.75,0.0,-,-,0,62.5,1
1,PM200228C00080000,2020-01-27 12:02AM EST,80.0,6.65,5.25,6.6,0.0,-,-,0,79.69,1
2,PM200228C00082000,2020-02-05 2:56PM EST,82.0,3.35,4.05,4.8,0.0,-,21,0,51.95,1
3,PM200228C00082500,2020-02-25 3:59PM EST,82.5,3.05,3.55,4.05,0.0,-,71,0,53.91,1
4,PM200228C00083000,2020-02-24 3:51PM EST,83.0,2.4,3.15,3.6,0.0,-,1,0,51.37,1
5,PM200228C00083500,2020-02-26 9:38AM EST,83.5,2.32,2.66,3.2,0.31,+15.42%,1,0,50.59,1
6,PM200228C00084000,2020-02-25 3:54PM EST,84.0,1.64,2.23,2.72,0.0,-,14,0,46.0,1
7,PM200228C00084500,2020-02-25 3:33PM EST,84.5,1.59,1.86,2.3,0.56,+54.37%,1,0,43.36,1
8,PM200228C00085000,2020-02-25 3:59PM EST,85.0,1.2,1.57,1.84,0.0,-,53,0,38.67,1
9,PM200228C00085500,2020-02-26 10:40AM EST,85.5,1.19,1.18,1.51,0.36,+43.37%,47,338,37.84,1
10,PM200228C00086000,2020-02-26 12:55PM EST,86.0,1.01,0.85,1.09,0.42,+71.19%,57,0,33.06,1
11,PM200228C00086500,2020-02-26 1:27PM EST,86.5,0.89,0.64,0.85,0.44,+97.78%,95,0,32.96,1
12,PM200228C00087000,2020-02-26 1:35PM EST,87.0,0.52,0.44,0.49,0.17,+48.57%,32,0,27.44,1
13,PM200228C00087500,2020-02-26 12:32PM EST,87.5,0.32,0.2,0.31,0.09,+39.13%,13,167,26.17,1
14,PM200228C00088000,2020-02-26 12:06PM EST,88.0,0.16,0.17,0.19,0.05,+45.45%,15,0,25.49,1
15,PM200228C00088500,2020-02-26 12:03PM EST,88.5,0.08,0.1,0.14,-0.01,-11.11%,35,0,26.86,1
16,PM200228C00089000,2020-02-26 10:23AM EST,89.0,0.04,0.01,0.19,0.0,-,21,0,33.59,1
17,PM200228C00089500,2020-02-24 3:16PM EST,89.5,0.07,0.04,0.05,0.0,-,14,0,26.56,1
18,PM200228C00090000,2020-02-26 10:38AM EST,90.0,0.02,0.01,0.05,0.0,-,2,0,29.69,1
19,PM200228C00090500,2020-02-24 11:46AM EST,90.5,0.06,0.0,0.35,0.0,-,1,0,53.91,1
20,PM200228C00091000,2020-02-25 10:05AM EST,91.0,0.02,0.0,0.04,0.0,-,1,0,33.99,1
21,PM200228C00091500,2020-02-25 10:50AM EST,91.5,0.03,0.0,0.18,0.0,-,65,0,50.78,1
22,PM200228C00092000,2020-02-21 1:59PM EST,92.0,0.02,0.0,0.07,0.0,-,2,0,43.75,1
23,PM200228C00092500,2020-02-24 10:36AM EST,92.5,0.02,0.0,0.09,0.0,-,7,0,49.02,1
24,PM200228C00093000,2020-02-21 1:56PM EST,93.0,0.09,0.0,0.39,0.0,-,15,0,61.72,1
25,PM200228C00093500,2020-02-13 3:46PM EST,93.5,0.15,0.0,0.12,0.0,-,-,0,50.59,1
26,PM200228C00094000,2020-02-11 11:40AM EST,94.0,0.26,0.0,0.14,0.0,-,4,0,54.69,1
