,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,PPG200228C00109000,2020-02-25 3:50PM EST,109.0,2.4,1.5,1.8,0.0,-,2,2,42.48,1
1,PPG200228C00111000,2020-02-25 3:52PM EST,111.0,1.15,0.65,0.9,0.0,-,18,18,40.97,1
2,PPG200228C00112000,2020-02-26 10:10AM EST,112.0,1.05,0.3,0.6,0.23,+28.05%,4,2,40.48,1
3,PPG200228C00114000,2020-02-25 9:31AM EST,114.0,2.48,0.25,0.5,0.0,-,-,-,51.07,1
4,PPG200228C00115000,2020-02-25 2:21PM EST,115.0,0.43,0.0,0.15,0.0,-,5,10,40.43,1
5,PPG200228C00116000,2020-02-24 2:27PM EST,116.0,1.45,0.0,0.1,0.0,-,-,14,41.6,1
6,PPG200228C00118000,2020-02-25 9:37AM EST,118.0,0.02,0.0,0.15,-0.38,-95.00%,5,0,55.08,1
7,PPG200228C00119000,2020-02-25 9:31AM EST,119.0,0.25,0.0,1.1,0.0,-,10,0,83.2,1
8,PPG200228C00120000,2020-02-24 10:03AM EST,120.0,0.42,0.0,1.5,0.0,-,1,27,97.66,1
9,PPG200228C00121000,2020-02-24 3:53PM EST,121.0,0.07,0.0,1.5,0.0,-,2,0,103.32,1
10,PPG200228C00122000,2020-02-19 12:52PM EST,122.0,0.45,0.0,1.25,0.0,-,2,2,102.93,1
11,PPG200228C00123000,2020-02-24 1:00PM EST,123.0,0.05,0.0,1.4,0.0,-,-,1,111.82,1
12,PPG200228C00124000,2020-02-21 1:37PM EST,124.0,0.07,0.0,0.3,0.0,-,1,11,81.25,1
13,PPG200228C00125000,2020-02-12 11:30AM EST,125.0,0.65,0.0,0.1,0.0,-,3,50,71.09,1
14,PPG200228C00126000,2020-02-04 10:04AM EST,126.0,0.98,0.05,1.7,0.0,-,2,0,135.64,1
15,PPG200228C00127000,2020-02-06 1:27PM EST,127.0,0.15,0.0,1.95,0.0,-,20,0,145.31,1
16,PPG200228C00128000,2020-02-04 10:04AM EST,128.0,0.47,0.0,0.05,0.0,-,2,15,74.22,1
17,PPG200228C00129000,2020-02-05 10:21AM EST,129.0,0.4,0.0,2.15,0.0,-,2,0,159.96,1
18,PPG200228C00130000,2020-02-25 3:20PM EST,130.0,0.05,0.0,2.05,0.0,-,13,0,162.6,1
19,PPG200228C00131000,2020-01-28 3:35PM EST,131.0,0.3,0.0,1.65,0.0,-,7,0,157.62,1
20,PPG200228C00132000,2020-02-12 12:17PM EST,132.0,0.05,0.0,0.2,0.0,-,1,0,105.08,1
21,PPG200228C00133000,2020-01-29 2:53PM EST,133.0,0.09,0.0,1.9,0.0,-,1,6,173.24,1
22,PPG200228C00134000,2020-02-06 2:27PM EST,134.0,0.16,0.0,1.35,0.0,-,1,0,162.7,1
23,PPG200228C00135000,2020-01-23 1:46PM EST,135.0,0.15,0.0,0.25,0.0,-,4,0,119.34,1
24,PPG200228C00136000,2020-02-24 12:08PM EST,136.0,0.15,0.0,2.1,0.0,-,2,16,191.99,1
25,PPG200228C00137000,2020-01-16 12:36PM EST,137.0,0.23,0.15,0.15,0.0,-,18,18,129.88,1
26,PPG200228C00138000,2020-02-06 11:53AM EST,138.0,0.01,0.0,2.1,0.0,-,153,0,200.78,1
27,PPG200228C00140000,2020-01-14 11:17AM EST,140.0,0.5,0.0,2.15,0.0,-,30,42,210.74,1
0,PPG200306C00109000,2020-02-25 6:58PM EST,109.0,3.7,2.7,3.4,0.0,-,-,-,45.51,8
1,PPG200306C00115000,2020-02-25 11:58AM EST,115.0,0.79,0.4,0.6,-0.66,-45.52%,10,0,33.62,8
2,PPG200306C00116000,2020-02-24 12:33PM EST,116.0,0.5,0.25,0.45,-1.65,-76.74%,4,23,33.69,8
3,PPG200306C00117000,2020-02-20 3:44PM EST,117.0,1.2,0.15,0.3,0.0,-,1,1,32.76,8
4,PPG200306C00119000,2020-02-18 11:08AM EST,119.0,0.2,0.05,0.15,-1.9,-90.48%,4,6,32.72,8
5,PPG200306C00120000,2020-02-25 10:15AM EST,120.0,0.4,0.05,0.15,0.0,-,3,3,35.16,8
6,PPG200306C00121000,2020-02-07 10:03AM EST,121.0,3.8,0.0,0.3,0.0,-,1,1,43.85,8
7,PPG200306C00122000,2020-02-20 3:44PM EST,122.0,0.17,0.0,0.1,0.0,-,1,5,37.01,8
8,PPG200306C00123000,2020-02-11 9:50AM EST,123.0,1.88,0.0,0.1,0.0,-,7,26,39.26,8
9,PPG200306C00124000,2020-02-24 9:33AM EST,124.0,0.34,0.0,0.25,0.0,-,2,2,49.46,8
10,PPG200306C00125000,2020-02-13 9:56AM EST,125.0,0.1,0.0,0.15,0.0,-,1,0,46.78,8
11,PPG200306C00126000,2020-02-24 9:33AM EST,126.0,0.15,0.0,1.95,0.0,-,2,4,76.76,8
12,PPG200306C00127000,2020-01-29 2:11PM EST,127.0,0.05,0.0,0.1,0.0,-,1,9,47.66,8
13,PPG200306C00128000,2020-02-07 3:32PM EST,128.0,0.43,0.0,1.2,0.0,-,8,6,71.97,8
14,PPG200306C00130000,2020-02-10 9:43AM EST,130.0,0.15,0.0,1.5,0.0,-,10,17,81.59,8
15,PPG200306C00131000,2020-02-26 10:04AM EST,131.0,0.01,0.0,0.1,-0.34,-97.14%,153,0,50.0,8
0,PPG200313C00109000,2020-02-25 3:50PM EST,109.0,4.0,4.1,4.6,0.0,-,-,-,47.69,15
1,PPG200313C00114000,2020-02-24 11:56AM EST,114.0,4.1,1.5,1.8,0.0,-,-,-,38.55,15
2,PPG200313C00115000,2020-02-24 11:56AM EST,115.0,3.5,1.15,1.5,0.0,-,-,-,38.21,15
3,PPG200313C00116000,2020-02-25 1:01PM EST,116.0,1.3,0.55,1.1,0.0,-,1,2,35.96,15
4,PPG200313C00117000,2020-02-21 2:11PM EST,117.0,3.86,0.4,0.65,0.0,-,7,10,31.86,15
5,PPG200313C00121000,2020-02-25 1:43PM EST,121.0,0.3,0.0,0.25,0.0,-,1,11,32.23,15
6,PPG200313C00122000,2020-02-24 1:01PM EST,122.0,0.55,0.0,1.05,0.0,-,3,3,51.0,15
7,PPG200313C00123000,2020-02-10 12:29PM EST,123.0,1.7,0.0,1.65,0.0,-,5,0,62.84,15
8,PPG200313C00124000,2020-02-10 12:29PM EST,124.0,1.35,0.0,1.05,0.0,-,5,5,55.71,15
9,PPG200313C00125000,2020-02-10 1:48PM EST,125.0,0.2,0.0,1.1,0.0,-,2,0,58.89,15
10,PPG200313C00126000,2020-02-14 9:58AM EST,126.0,0.65,0.0,1.95,0.0,-,2,2,58.89,15
11,PPG200313C00127000,2020-02-26 9:59AM EST,127.0,0.4,0.0,1.9,0.25,+166.67%,8,13,60.55,15
12,PPG200313C00128000,2020-02-18 11:15AM EST,128.0,0.15,0.0,2.0,0.0,-,1,2,63.67,15
