,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,PPL200320C00031000,2020-02-18 1:14PM EST,31.0,4.69,2.55,2.75,0.0,-,6,6,25.68,22
1,PPL200320C00032000,2020-02-21 12:28PM EST,32.0,3.6,1.6,1.8,0.0,-,2,0,20.61,22
2,PPL200320C00033000,2020-02-24 12:12AM EST,33.0,2.32,0.85,0.95,0.0,-,-,0,16.85,22
3,PPL200320C00034000,2020-02-24 3:44PM EST,34.0,0.5,0.35,0.45,-0.5,-50.00%,3,0,17.73,22
4,PPL200320C00035000,2020-02-26 1:52PM EST,35.0,0.17,0.1,0.2,-0.27,-61.36%,11,0,19.14,22
5,PPL200320C00036000,2020-02-26 11:54AM EST,36.0,0.08,0.05,0.1,-0.12,-60.00%,12,6240,21.49,22
6,PPL200320C00037000,2020-02-26 9:50AM EST,37.0,0.05,0.0,0.1,-0.02,-28.57%,7,1267,27.34,22
7,PPL200320C00038000,2020-02-18 10:25AM EST,38.0,0.05,0.0,0.1,0.0,-,1,0,32.81,22
8,PPL200320C00040000,2020-02-18 10:17AM EST,40.0,0.05,0.0,0.1,0.0,-,1,1,42.97,22
0,PPL200417C00022000,2019-12-16 12:05AM EST,22.0,13.6,13.8,14.2,0.0,-,-,0,162.74,50
1,PPL200417C00026000,2019-12-06 2:53PM EST,26.0,8.46,9.4,9.6,0.0,-,3,0,106.64,50
2,PPL200417C00027000,2019-12-06 2:58PM EST,27.0,7.44,8.4,8.6,0.0,-,24,0,97.46,50
4,PPL200417C00029000,2019-12-06 3:31PM EST,29.0,4.8,6.5,6.7,0.0,-,150,0,81.93,50
5,PPL200417C00030000,2020-01-17 11:58AM EST,30.0,6.02,5.7,5.9,0.0,-,1,6,77.54,50
6,PPL200417C00031000,2020-02-24 1:54PM EST,31.0,4.37,2.5,2.8,0.0,-,1,799,19.53,50
7,PPL200417C00032000,2020-02-26 12:55PM EST,32.0,2.19,1.75,1.9,-0.66,-23.16%,1,452,16.9,50
8,PPL200417C00033000,2020-02-26 11:08AM EST,33.0,1.7,1.1,1.2,-0.95,-35.85%,2,0,16.77,50
9,PPL200417C00034000,2020-02-24 2:28PM EST,34.0,0.83,0.6,0.7,-0.42,-33.60%,15,0,17.04,50
10,PPL200417C00035000,2020-02-26 1:23PM EST,35.0,0.37,0.3,0.4,-0.33,-47.14%,103,0,17.92,50
11,PPL200417C00036000,2020-02-26 1:23PM EST,36.0,0.2,0.1,0.2,-0.19,-48.72%,78,1435,18.07,50
12,PPL200417C00037000,2020-02-24 2:04PM EST,37.0,0.18,0.05,0.15,-0.03,-14.29%,16,0,20.75,50
13,PPL200417C00038000,2020-02-24 1:58PM EST,38.0,0.15,0.0,0.1,0.0,-,1,144,22.36,50
14,PPL200417C00039000,2020-02-04 11:07AM EST,39.0,0.15,0.0,0.05,0.0,-,7,0,22.46,50
0,PPL200717C00029000,2019-12-09 2:09PM EST,29.0,5.2,6.5,6.7,0.0,-,1,0,50.85,141
