,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,PRGO200320C00045000,2020-02-25 3:47PM EST,45.0,16.0,12.9,16.5,0.0,-,2,2,124.85,22
1,PRGO200320C00050000,2020-02-26 12:21PM EST,50.0,10.0,9.8,10.1,-1.16,-10.39%,17,502,51.47,22
2,PRGO200320C00055000,2020-02-26 12:28PM EST,55.0,6.0,5.6,5.7,-0.61,-9.23%,14,0,44.73,22
3,PRGO200320C00060000,2020-02-26 12:06PM EST,60.0,2.95,2.35,2.6,-0.25,-7.81%,174,314,43.99,22
4,PRGO200320C00065000,2020-02-26 1:43PM EST,65.0,0.81,0.7,0.8,-0.19,-19.00%,202,322,41.02,22
5,PRGO200320C00070000,2020-02-26 1:29PM EST,70.0,0.25,0.15,0.2,0.0,-,59,217,40.92,22
6,PRGO200320C00075000,2020-02-18 9:30AM EST,75.0,0.1,0.0,0.05,0.0,-,3,17,42.58,22
0,PRGO200417C00060000,2020-02-26 11:52AM EST,60.0,3.9,3.1,3.3,0.27,+7.44%,9,2,37.65,50
1,PRGO200417C00065000,2020-02-26 9:42AM EST,65.0,1.9,1.65,1.8,0.35,+22.58%,1,-,41.04,50
2,PRGO200417C00070000,2020-02-25 2:52PM EST,70.0,0.46,0.35,0.45,0.0,-,20,20,34.18,50
3,PRGO200417C00075000,2020-02-24 10:13AM EST,75.0,0.17,0.05,0.2,0.0,-,-,-,36.72,50
0,PRGO200515C00035000,2020-01-14 11:07AM EST,35.0,22.0,20.4,24.9,0.0,-,5,0,55.86,78
2,PRGO200515C00045000,2020-02-07 11:55AM EST,45.0,14.7,14.6,15.9,0.0,-,20,49,58.45,78
3,PRGO200515C00050000,2020-02-14 3:28PM EST,50.0,12.3,10.6,11.0,1.9,+18.27%,1,0,43.97,78
4,PRGO200515C00055000,2020-02-21 11:58AM EST,55.0,7.9,6.8,7.1,0.65,+8.97%,1,0,39.92,78
5,PRGO200515C00060000,2020-02-26 12:23PM EST,60.0,4.26,3.8,4.1,-0.62,-12.70%,4,413,37.53,78
6,PRGO200515C00065000,2020-02-25 11:19AM EST,65.0,2.7,1.9,2.05,0.55,+25.58%,1,68,35.55,78
7,PRGO200515C00070000,2020-02-26 1:35PM EST,70.0,0.85,0.75,0.9,0.14,+19.72%,4,107,34.33,78
8,PRGO200515C00075000,2020-02-07 1:30PM EST,75.0,0.25,0.2,0.35,0.0,-,2,0,33.5,78
9,PRGO200515C00080000,2020-02-03 12:23PM EST,80.0,0.15,0.0,0.2,0.0,-,10,0,36.04,78
1,PRGO200821C00050000,2020-02-24 1:51PM EST,50.0,10.9,11.6,11.9,0.0,-,4,0,37.48,176
2,PRGO200821C00055000,2020-02-25 11:45AM EST,55.0,8.5,8.1,8.4,0.0,-,10,33,35.57,176
3,PRGO200821C00060000,2020-02-25 3:59PM EST,60.0,5.96,5.2,5.6,0.0,-,3,0,34.19,176
4,PRGO200821C00065000,2020-02-26 10:03AM EST,65.0,4.18,3.1,3.5,0.28,+7.18%,360,1536,33.01,176
5,PRGO200821C00070000,2020-02-25 3:55PM EST,70.0,2.0,1.85,2.0,-0.1,-4.76%,3,0,31.68,176
6,PRGO200821C00075000,2020-02-26 10:03AM EST,75.0,1.16,0.9,1.1,0.01,+0.87%,355,1760,30.97,176
7,PRGO200821C00080000,2020-02-24 2:46PM EST,80.0,0.55,0.4,0.6,0.09,+19.57%,1,0,30.76,176
5,PRGO210115C00045000,2020-01-17 10:49AM EST,45.0,16.79,15.7,16.6,0.0,-,5,225,34.67,323
6,PRGO210115C00050000,2020-02-24 1:51PM EST,50.0,12.22,12.7,13.2,0.0,-,4,0,35.39,323
7,PRGO210115C00055000,2020-01-15 1:32PM EST,55.0,10.1,8.2,8.6,0.0,-,2,446,27.31,323
8,PRGO210115C00060000,2020-02-24 9:52AM EST,60.0,7.2,7.1,7.3,0.0,-,1,138,32.91,323
9,PRGO210115C00065000,2020-02-21 9:38AM EST,65.0,5.6,4.7,5.2,0.0,-,42,0,32.11,323
10,PRGO210115C00070000,2020-02-10 2:43PM EST,70.0,3.6,2.95,3.5,0.0,-,97,176,30.96,323
11,PRGO210115C00075000,2020-02-03 10:26AM EST,75.0,2.55,1.95,2.25,0.26,+11.35%,4,66,29.9,323
12,PRGO210115C00080000,2020-02-18 10:56AM EST,80.0,1.44,1.3,1.55,0.0,-,4,0,30.08,323
13,PRGO210115C00085000,2020-01-15 1:27PM EST,85.0,1.2,0.5,0.75,0.0,-,6,29,27.54,323
14,PRGO210115C00090000,2020-01-22 3:54PM EST,90.0,0.71,0.4,0.8,0.0,-,1,0,31.13,323
15,PRGO210115C00095000,2020-01-15 2:22PM EST,95.0,0.5,0.1,0.6,0.0,-,8,30,31.84,323
16,PRGO210115C00100000,2020-01-06 9:45AM EST,100.0,0.1,0.25,0.4,0.0,-,4,27,31.69,323
17,PRGO210115C00105000,2020-01-30 9:53AM EST,105.0,0.2,0.05,0.25,0.0,-,4,50,31.25,323
18,PRGO210115C00110000,2019-11-08 12:56PM EST,110.0,0.1,0.05,0.25,0.0,-,4,20,33.25,323
1,PRGO220121C00040000,2020-01-08 3:20PM EST,40.0,15.0,21.5,23.2,0.0,-,-,3,38.92,694
2,PRGO220121C00050000,2020-01-13 2:10PM EST,50.0,9.9,13.6,14.8,0.0,-,-,1,30.24,694
3,PRGO220121C00055000,2019-12-31 9:33AM EST,55.0,8.8,10.9,11.9,0.0,-,4,9,29.6,694
4,PRGO220121C00060000,2020-01-21 11:14AM EST,60.0,11.1,0.0,0.0,0.0,-,5,0,0.1,694
5,PRGO220121C00065000,2020-01-15 2:28PM EST,65.0,8.5,6.9,7.4,0.0,-,10,11,28.63,694
6,PRGO220121C00070000,2020-01-17 12:41PM EST,70.0,7.0,5.3,7.0,0.0,-,4,6,32.13,694
7,PRGO220121C00075000,2020-01-21 11:49AM EST,75.0,5.7,0.0,0.0,0.0,-,1,0,3.13,694
