,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,PRU200320P00045000,2020-01-02 2:48PM EST,45.0,0.01,0.0,0.09,0.0,-,75,0,99.22,22
1,PRU200320P00047500,2020-01-07 1:31PM EST,47.5,0.04,0.0,0.06,0.0,-,12,40,86.72,22
2,PRU200320P00050000,2020-01-28 10:45AM EST,50.0,0.06,0.0,0.05,0.0,-,2,49,77.73,22
3,PRU200320P00055000,2020-01-30 2:06PM EST,55.0,0.07,0.0,0.0,0.0,-,10,0,25.0,22
4,PRU200320P00060000,2020-02-25 12:37PM EST,60.0,0.05,0.0,0.75,0.0,-,1,178,79.88,22
5,PRU200320P00065000,2020-02-26 10:10AM EST,65.0,0.2,0.03,0.22,0.15,+300.00%,2,140,50.59,22
6,PRU200320P00070000,2020-02-25 9:51AM EST,70.0,0.22,0.35,0.44,0.0,-,20,782,49.12,22
7,PRU200320P00072500,2020-02-24 2:42PM EST,72.5,0.4,0.51,0.64,0.05,+14.29%,1,602,45.92,22
8,PRU200320P00075000,2020-02-26 1:03PM EST,75.0,0.7,0.82,0.89,-0.06,-7.89%,24,463,41.99,22
9,PRU200320P00077500,2020-02-26 10:51AM EST,77.5,1.27,1.21,1.38,0.21,+19.81%,12,298,39.89,22
10,PRU200320P00080000,2020-02-26 12:41PM EST,80.0,1.91,1.84,1.96,0.33,+20.89%,44,1395,36.23,22
11,PRU200320P00082500,2020-02-26 1:49PM EST,82.5,2.72,2.78,2.95,0.19,+7.51%,64,955,34.4,22
12,PRU200320P00085000,2020-02-26 11:54AM EST,85.0,3.25,4.0,4.25,-0.1,-2.99%,18,0,32.23,22
13,PRU200320P00087500,2020-02-26 12:54PM EST,87.5,5.22,5.7,6.0,0.67,+14.73%,23,3200,31.37,22
14,PRU200320P00090000,2020-02-26 1:14PM EST,90.0,7.3,7.8,8.05,1.2,+19.67%,79,0,30.81,22
15,PRU200320P00092500,2020-02-26 11:10AM EST,92.5,8.5,9.9,10.5,-0.31,-3.52%,4,1923,35.89,22
16,PRU200320P00095000,2020-02-24 1:38PM EST,95.0,10.73,12.2,13.05,0.0,-,5,0,42.97,22
17,PRU200320P00097500,2020-02-24 9:35AM EST,97.5,8.61,14.6,15.7,0.0,-,1,30,52.3,22
18,PRU200320P00100000,2020-02-24 11:32AM EST,100.0,15.45,17.25,17.9,3.69,+31.38%,4,0,48.88,22
19,PRU200320P00105000,2020-02-14 10:14AM EST,105.0,10.3,22.25,23.0,0.0,-,385,0,61.72,22
0,PRU200515P00055000,2020-01-23 11:16AM EST,55.0,0.09,0.0,0.0,0.0,-,-,0,25.0,78
1,PRU200515P00060000,2020-02-24 1:06PM EST,60.0,0.25,0.42,0.53,0.0,-,10,0,47.31,78
2,PRU200515P00065000,2020-02-24 1:06PM EST,65.0,0.47,0.68,0.81,0.0,-,-,8,42.24,78
3,PRU200515P00070000,2020-02-26 10:48AM EST,70.0,0.96,1.2,1.29,-0.05,-4.95%,14,60,37.77,78
4,PRU200515P00075000,2020-02-26 12:48PM EST,75.0,1.84,2.04,2.13,0.29,+18.71%,54,109,33.94,78
5,PRU200515P00080000,2020-02-26 1:49PM EST,80.0,3.37,3.4,3.6,0.42,+14.24%,26,172,31.04,78
6,PRU200515P00082500,2020-02-25 12:03PM EST,82.5,3.59,4.4,4.6,-0.16,-4.27%,14,215,29.58,78
7,PRU200515P00085000,2020-02-26 10:49AM EST,85.0,4.55,5.55,5.85,-0.3,-6.19%,11,590,28.36,78
8,PRU200515P00087500,2020-02-26 10:16AM EST,87.5,6.0,7.1,7.3,-0.1,-1.64%,12,649,26.98,78
9,PRU200515P00090000,2020-02-26 1:22PM EST,90.0,8.32,8.75,9.15,2.37,+39.83%,20,0,26.94,78
10,PRU200515P00092500,2020-02-24 10:07AM EST,92.5,7.1,10.35,11.15,0.0,-,1,301,26.76,78
11,PRU200515P00095000,2020-02-24 1:14PM EST,95.0,9.13,12.65,13.2,0.0,-,10,362,25.49,78
12,PRU200515P00097500,2020-02-12 3:08PM EST,97.5,5.01,14.65,16.15,0.0,-,20,83,33.89,78
13,PRU200515P00100000,2020-02-21 11:33AM EST,100.0,8.95,16.75,18.45,0.0,-,14,0,34.84,78
0,PRU200619P00055000,2020-02-25 12:58PM EST,55.0,0.4,0.0,0.83,0.0,-,5,0,53.56,113
1,PRU200619P00060000,2020-02-03 9:38AM EST,60.0,0.41,0.63,0.79,0.0,-,-,3,43.68,113
2,PRU200619P00065000,2020-02-26 10:06AM EST,65.0,0.95,1.01,1.12,-0.01,-1.04%,25,151,38.88,113
3,PRU200619P00070000,2020-02-26 1:17PM EST,70.0,1.55,1.53,1.79,-0.16,-9.36%,5,95,35.79,113
4,PRU200619P00075000,2020-02-26 10:55AM EST,75.0,2.11,2.46,2.83,-0.39,-15.60%,1,0,32.95,113
5,PRU200619P00080000,2020-02-26 1:26PM EST,80.0,3.95,4.1,4.5,0.2,+5.33%,12,968,30.95,113
6,PRU200619P00082500,2020-02-26 1:29PM EST,82.5,5.0,5.3,5.65,0.05,+1.01%,16,431,30.37,113
7,PRU200619P00085000,2020-02-26 10:58AM EST,85.0,5.4,6.5,6.85,0.39,+7.78%,6,1596,29.13,113
8,PRU200619P00087500,2020-02-20 10:15AM EST,87.5,5.05,8.0,8.55,0.0,-,1,0,29.69,113
9,PRU200619P00090000,2020-02-24 11:20AM EST,90.0,8.35,9.5,10.35,2.05,+32.54%,8,902,29.97,113
10,PRU200619P00092500,2020-02-25 3:56PM EST,92.5,11.1,11.55,12.15,0.41,+3.84%,1,423,29.4,113
11,PRU200619P00095000,2020-02-24 11:57AM EST,95.0,9.65,13.55,14.4,0.0,-,1,495,31.09,113
13,PRU200619P00100000,2020-02-24 11:32AM EST,100.0,16.6,18.0,18.95,3.22,+24.07%,16,0,33.61,113
14,PRU200619P00105000,2020-02-14 10:14AM EST,105.0,11.78,21.55,24.95,0.0,-,385,0,46.89,113
0,PRU200918P00070000,2020-02-26 1:24PM EST,70.0,2.49,2.56,2.88,-0.02,-0.80%,168,294,33.03,204
1,PRU200918P00075000,2020-02-25 3:49PM EST,75.0,3.75,3.75,4.3,0.0,-,380,0,31.57,204
2,PRU200918P00080000,2020-02-26 1:08PM EST,80.0,5.55,5.65,6.1,-0.05,-0.89%,15,389,29.81,204
3,PRU200918P00085000,2020-02-26 11:16AM EST,85.0,7.25,8.05,8.8,0.54,+8.05%,2,0,29.69,204
4,PRU200918P00087500,2020-02-25 1:54PM EST,87.5,8.7,9.6,10.4,0.0,-,50,0,29.85,204
5,PRU200918P00090000,2020-02-25 1:44PM EST,90.0,10.1,11.35,12.05,0.0,-,1,0,29.74,204
6,PRU200918P00092500,2020-02-19 12:11PM EST,92.5,6.3,13.15,14.0,0.0,-,1,30,30.45,204
7,PRU200918P00095000,2020-02-24 2:36PM EST,95.0,14.0,14.95,15.9,0.0,-,10,0,30.55,204
8,PRU200918P00100000,2020-01-27 12:07AM EST,100.0,11.0,17.9,18.8,0.0,-,-,0,24.17,204
0,PRU210115P00042500,2020-01-16 1:27PM EST,42.5,0.4,0.0,1.82,0.0,-,10,312,58.81,323
1,PRU210115P00045000,2020-02-24 1:58PM EST,45.0,0.6,0.16,1.1,0.0,-,5,472,47.53,323
2,PRU210115P00047500,2020-02-25 3:50PM EST,47.5,0.91,0.79,1.11,0.0,-,20,209,44.12,323
3,PRU210115P00050000,2020-02-05 9:33AM EST,50.0,0.6,0.36,1.36,0.0,-,2,0,43.09,323
4,PRU210115P00055000,2020-02-25 12:48PM EST,55.0,1.32,1.32,2.37,0.0,-,1,0,43.71,323
5,PRU210115P00060000,2020-02-25 3:50PM EST,60.0,2.06,0.97,2.38,0.0,-,18,996,36.87,323
6,PRU210115P00065000,2020-02-25 12:57PM EST,65.0,2.88,2.73,3.4,0.0,-,29,0,35.38,323
7,PRU210115P00070000,2020-02-25 12:53PM EST,70.0,4.0,3.95,4.5,0.0,-,11,0,33.09,323
8,PRU210115P00072500,2020-02-25 12:33PM EST,72.5,4.2,4.7,5.3,0.0,-,6,0,32.54,323
9,PRU210115P00075000,2020-02-26 12:38PM EST,75.0,5.55,5.55,6.15,0.65,+13.27%,6,502,31.85,323
10,PRU210115P00077500,2020-02-25 12:33PM EST,77.5,6.46,6.35,7.15,0.76,+13.33%,13,0,31.36,323
11,PRU210115P00080000,2020-02-25 12:33PM EST,80.0,6.99,7.45,8.25,-0.01,-0.14%,7,0,30.88,323
12,PRU210115P00082500,2020-02-26 12:54PM EST,82.5,8.69,8.65,9.6,0.84,+10.70%,3,994,30.89,323
13,PRU210115P00085000,2020-02-26 12:07PM EST,85.0,10.0,10.0,10.95,0.95,+10.50%,1,1430,30.57,323
14,PRU210115P00087500,2020-02-24 2:10PM EST,87.5,9.3,11.35,12.55,0.0,-,2,0,30.74,323
15,PRU210115P00090000,2020-02-18 11:46AM EST,90.0,12.0,12.85,14.05,4.2,+53.85%,4,0,30.29,323
16,PRU210115P00092500,2020-02-19 2:42PM EST,92.5,8.5,14.7,15.9,0.0,-,4,254,30.7,323
17,PRU210115P00095000,2020-02-24 2:01PM EST,95.0,13.8,16.45,17.9,0.0,-,5,305,31.36,323
22,PRU210115P00115000,2020-02-10 2:42PM EST,115.0,24.7,33.3,36.15,0.0,-,2,20,39.15,323
0,PRU210618P00050000,2020-02-13 3:01PM EST,50.0,1.05,1.01,2.35,0.0,-,7,213,42.03,477
1,PRU210618P00055000,2020-02-18 12:06AM EST,55.0,1.6,0.43,2.65,0.0,-,-,0,37.49,477
2,PRU210618P00065000,2020-01-30 11:10PM EST,65.0,4.0,3.8,4.85,0.0,-,1,0,34.6,477
3,PRU210618P00070000,2020-02-25 2:15PM EST,70.0,5.0,4.85,6.25,0.05,+1.01%,3,943,33.0,477
4,PRU210618P00075000,2020-02-21 3:58PM EST,75.0,4.85,6.75,8.2,0.0,-,1,0,32.26,477
5,PRU210618P00080000,2020-02-25 1:01PM EST,80.0,8.95,9.25,10.5,0.0,-,503,0,31.61,477
6,PRU210618P00085000,2020-02-24 10:05AM EST,85.0,9.9,11.85,13.3,0.0,-,10,21,31.44,477
7,PRU210618P00087500,2020-02-20 3:35PM EST,87.5,13.35,13.35,15.0,4.92,+58.36%,2,42,31.84,477
8,PRU210618P00090000,2020-01-07 12:29PM EST,90.0,11.15,9.45,9.95,0.0,-,-,5,13.52,477
9,PRU210618P00092500,2020-01-13 11:33AM EST,92.5,11.2,9.9,10.95,0.0,-,-,1,10.18,477
10,PRU210618P00095000,2020-02-11 10:48AM EST,95.0,11.39,16.6,18.55,0.0,-,1,0,27.65,477
0,PRU220121P00045000,2020-02-25 12:41PM EST,45.0,1.6,1.2,1.8,0.0,-,38,0,37.23,694
1,PRU220121P00047500,2020-02-25 1:05PM EST,47.5,1.81,0.65,2.3,0.0,-,30,88,37.32,694
2,PRU220121P00050000,2020-02-19 12:29PM EST,50.0,1.18,2.05,2.92,0.0,-,10,233,37.61,694
3,PRU220121P00055000,2020-02-06 11:27AM EST,55.0,1.92,1.8,3.8,0.0,-,5,0,35.78,694
4,PRU220121P00060000,2020-02-14 12:35PM EST,60.0,2.5,2.9,5.45,0.0,-,1,69,36.03,694
