,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,PSX200228P00080000,2020-02-25 3:55PM EST,80.0,0.65,0.8,1.05,0.05,+8.33%,1,61,43.8,1
1,PSX200228P00081000,2020-02-26 12:45PM EST,81.0,1.0,1.3,1.5,0.3,+42.86%,34,9,41.7,1
3,PSX200228P00082500,2020-02-26 11:07AM EST,82.5,1.16,2.3,2.5,-0.09,-7.20%,2,38,41.6,1
5,PSX200228P00084000,2020-02-26 12:11PM EST,84.0,2.82,3.5,3.8,1.17,+70.91%,106,428,46.0,1
6,PSX200228P00085000,2020-02-26 9:43AM EST,85.0,2.34,4.2,4.7,0.94,+67.14%,4,149,47.36,1
7,PSX200228P00086000,2020-02-26 10:26AM EST,86.0,3.9,5.2,5.7,0.73,+23.03%,1,0,54.49,1
8,PSX200228P00086500,2020-02-24 12:40PM EST,86.5,1.45,5.2,6.7,0.0,-,24,33,88.48,1
9,PSX200228P00087000,2020-02-19 10:02AM EST,87.0,0.45,5.7,7.3,0.0,-,2,36,97.66,1
10,PSX200228P00087500,2020-02-26 12:55PM EST,87.5,6.15,6.2,7.7,2.7,+78.26%,2,63,96.88,1
11,PSX200228P00088000,2020-02-21 2:37PM EST,88.0,0.9,6.7,8.2,0.0,-,50,0,100.98,1
12,PSX200228P00088500,2020-02-21 10:47AM EST,88.5,2.3,7.3,8.9,0.0,-,1,68,59.38,1
13,PSX200228P00089000,2020-02-25 10:33AM EST,89.0,3.3,7.8,9.4,0.0,-,1,0,62.11,1
14,PSX200228P00090000,2020-02-25 11:51AM EST,90.0,4.5,8.8,9.9,0.0,-,10,199,97.66,1
15,PSX200228P00091000,2020-02-18 12:54PM EST,91.0,4.16,9.7,11.3,0.0,-,7,0,129.88,1
16,PSX200228P00091500,2020-02-20 11:17AM EST,91.5,2.4,10.1,11.8,0.0,-,1,0,133.59,1
17,PSX200228P00092000,2020-02-19 9:58AM EST,92.0,3.95,10.6,12.2,0.0,-,2,0,131.45,1
18,PSX200228P00093000,2020-01-30 10:55AM EST,93.0,5.1,11.8,13.4,0.0,-,1,1,83.59,1
19,PSX200228P00094000,2020-02-20 9:49AM EST,94.0,4.95,12.6,14.4,0.0,-,2,19,157.42,1
20,PSX200228P00095000,2020-02-11 11:16AM EST,95.0,6.32,13.7,15.4,0.0,-,1,0,78.13,1
21,PSX200228P00096000,2020-02-04 10:33AM EST,96.0,7.94,14.7,16.1,0.0,-,1,0,151.76,1
22,PSX200228P00097000,2020-02-05 11:53AM EST,97.0,5.5,15.7,17.4,0.0,-,5,2,86.72,1
23,PSX200228P00097500,2020-02-20 10:22AM EST,97.5,8.18,16.1,17.7,0.0,-,20,0,168.26,1
