,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,PVH200320C00045000,2020-01-07 12:32PM EST,45.0,59.5,39.3,43.9,0.0,-,1,1,434.42,22
1,PVH200320C00060000,2019-10-22 9:28AM EST,60.0,31.1,38.4,42.4,0.0,-,1,3,521.34,22
2,PVH200320C00065000,2020-02-26 10:13AM EST,65.0,12.8,9.4,10.1,-2.26,-15.01%,1,18,55.08,22
3,PVH200320C00070000,2020-02-25 12:29PM EST,70.0,10.13,5.7,6.2,0.0,-,3,172,51.39,22
4,PVH200320C00075000,2020-02-25 12:03PM EST,75.0,3.62,2.95,3.3,-2.73,-42.99%,14,0,51.15,22
5,PVH200320C00080000,2020-02-26 11:44AM EST,80.0,1.65,1.15,1.4,-1.6,-49.23%,21,0,47.31,22
6,PVH200320C00085000,2020-02-26 11:17AM EST,85.0,0.7,0.4,0.55,-1.53,-68.61%,12,320,46.73,22
7,PVH200320C00090000,2020-02-26 12:02PM EST,90.0,0.3,0.1,0.3,-0.17,-36.17%,35,517,51.12,22
8,PVH200320C00095000,2020-02-26 1:27PM EST,95.0,0.05,0.05,0.15,-0.07,-58.33%,18,387,50.2,22
9,PVH200320C00100000,2020-02-26 10:49AM EST,100.0,0.1,0.0,0.4,0.07,+233.33%,22,372,65.53,22
10,PVH200320C00105000,2020-02-21 2:03PM EST,105.0,0.31,0.0,0.2,0.0,-,1,0,66.02,22
11,PVH200320C00110000,2020-02-19 9:44AM EST,110.0,0.26,0.0,0.2,0.0,-,1,0,73.05,22
12,PVH200320C00115000,2020-02-05 1:19PM EST,115.0,0.1,0.0,0.2,0.0,-,10,72,79.88,22
13,PVH200320C00120000,2020-02-25 12:14PM EST,120.0,0.3,0.0,0.15,0.0,-,1,259,82.81,22
14,PVH200320C00125000,2020-02-07 12:01PM EST,125.0,0.5,0.0,0.15,0.0,-,1,0,88.67,22
15,PVH200320C00130000,2020-01-27 12:55PM EST,130.0,0.1,0.0,0.1,0.0,-,3,56,89.84,22
16,PVH200320C00135000,2019-11-25 3:05PM EST,135.0,0.65,0.0,0.75,0.0,-,-,1,125.68,22
0,PVH200417C00075000,2020-02-25 12:03PM EST,75.0,6.2,4.70,5.00,-1.84,-22.89%,10,0,50.05,50
1,PVH200417C00080000,2020-02-26 12:18PM EST,80.0,3.2,2.80,3.10,-1.5,-31.91%,11,20,49.19,50
2,PVH200417C00085000,2020-02-24 2:17PM EST,85.0,2.53,2.15,2.30,-1.34,-34.63%,10,-,53.03,50
3,PVH200417C00090000,2020-02-26 10:17AM EST,90.0,1.35,0.70,1.00,-0.25,-15.62%,7,17,47.8,50
4,PVH200417C00100000,2020-02-24 1:50PM EST,100.0,0.6,0.05,0.40,0.0,-,-,8,50.98,50
0,PVH200619C00070000,2020-02-21 2:18PM EST,70.0,17.22,9.3,9.9,0.0,-,1,0,49.1,113
1,PVH200619C00075000,2020-02-21 2:18PM EST,75.0,13.5,6.7,7.2,0.0,-,1,1,46.99,113
2,PVH200619C00080000,2020-02-24 12:03AM EST,80.0,8.4,4.7,5.1,0.0,-,3,0,45.61,113
3,PVH200619C00085000,2020-02-19 11:24AM EST,85.0,8.57,3.1,3.5,0.0,-,1,0,44.5,113
4,PVH200619C00090000,2020-02-21 12:56PM EST,90.0,4.41,1.9,2.35,0.0,-,10,0,43.74,113
5,PVH200619C00095000,2020-02-24 2:50PM EST,95.0,3.07,1.2,1.5,0.0,-,6,0,42.75,113
6,PVH200619C00100000,2020-02-21 3:15PM EST,100.0,2.48,0.75,1.0,0.0,-,4,0,42.77,113
7,PVH200619C00105000,2020-02-19 12:24PM EST,105.0,1.82,0.45,0.6,0.0,-,30,677,41.87,113
8,PVH200619C00110000,2020-02-19 10:06AM EST,110.0,1.25,0.2,0.45,0.0,-,1,0,43.19,113
9,PVH200619C00115000,2020-02-21 3:37PM EST,115.0,0.65,0.0,0.7,0.0,-,32,100,51.29,113
10,PVH200619C00120000,2020-02-06 1:12PM EST,120.0,0.25,0.0,0.7,-0.45,-64.29%,1,0,54.88,113
11,PVH200619C00125000,2020-02-07 1:11PM EST,125.0,0.32,0.0,0.5,0.0,-,2,0,54.44,113
12,PVH200619C00130000,2020-02-03 3:53PM EST,130.0,0.25,0.0,0.4,0.0,-,11,12,55.23,113
13,PVH200619C00135000,2020-02-25 10:26AM EST,135.0,0.05,0.0,0.3,0.0,-,13,0,55.32,113
14,PVH200619C00140000,2019-12-31 9:30AM EST,140.0,1.3,0.2,0.45,0.0,-,10,0,58.69,113
15,PVH200619C00145000,2020-01-14 12:04PM EST,145.0,0.5,0.0,0.1,0.0,-,2,5,51.76,113
0,PVH200918C00090000,2020-02-18 3:08PM EST,90.0,8.6,3.4,4.0,0.0,-,6,0,41.5,204
1,PVH200918C00095000,2020-02-25 1:40PM EST,95.0,4.0,2.5,2.9,0.0,-,4,9,40.64,204
2,PVH200918C00100000,2020-02-05 12:04PM EST,100.0,6.4,1.7,2.05,0.0,-,1,0,39.77,204
3,PVH200918C00105000,2020-02-18 3:34PM EST,105.0,3.6,1.15,1.45,0.0,-,2,5,39.23,204
4,PVH200918C00110000,2020-02-21 3:50PM EST,110.0,1.4,0.75,1.0,0.0,-,1,0,38.62,204
5,PVH200918C00115000,2020-02-21 3:05PM EST,115.0,1.66,0.5,0.7,0.0,-,1,1,38.33,204
6,PVH200918C00140000,2020-02-24 2:28PM EST,140.0,0.25,0.0,0.5,0.0,-,20,0,47.22,204
0,PVH210115C00040000,2019-08-29 9:45AM EST,40.0,37.9,47.2,52.5,0.0,-,1,0,157.84,323
1,PVH210115C00045000,2019-08-18 11:05PM EST,45.0,30.7,43.5,48.3,0.0,-,-,0,144.08,323
2,PVH210115C00050000,2020-02-24 11:58AM EST,50.0,33.6,26.5,27.6,0.0,-,1,4,50.26,323
3,PVH210115C00055000,2020-01-07 12:07PM EST,55.0,52.33,33.5,36.4,0.0,-,6,14,105.75,323
4,PVH210115C00060000,2019-10-22 12:52PM EST,60.0,37.3,43.5,44.3,0.0,-,1,30,159.86,323
5,PVH210115C00065000,2020-01-10 1:17PM EST,65.0,38.3,28.0,29.2,0.0,-,2,5,94.96,323
6,PVH210115C00070000,2020-02-07 2:21PM EST,70.0,22.9,13.4,14.0,0.0,-,6,0,44.78,323
7,PVH210115C00075000,2020-02-14 12:41PM EST,75.0,11.7,11.0,11.7,-9.3,-44.29%,1,19,44.28,323
8,PVH210115C00080000,2020-02-07 10:28AM EST,80.0,9.3,8.9,9.5,-2.8,-23.14%,9,0,43.05,323
