,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,PVH200320P00040000,2020-02-21 1:33PM EST,40.0,0.2,0.0,0.2,0.0,-,1,0,113.28,22
1,PVH200320P00050000,2019-12-20 9:33AM EST,50.0,0.1,0.0,0.15,0.0,-,5,5,72.66,22
2,PVH200320P00055000,2019-09-17 8:30AM EST,55.0,0.85,0.7,0.9,0.0,-,10,18,93.16,22
3,PVH200320P00060000,2020-02-26 9:30AM EST,60.0,0.3,0.25,0.45,0.15,+100.00%,11,0,57.13,22
4,PVH200320P00065000,2020-02-26 1:30PM EST,65.0,0.74,0.85,1.05,0.39,+111.43%,1008,0,54.25,22
5,PVH200320P00070000,2020-02-26 1:30PM EST,70.0,1.85,2.05,2.3,0.45,+32.14%,1013,0,51.17,22
6,PVH200320P00075000,2020-02-26 12:48PM EST,75.0,3.8,4.1,4.6,1.5,+65.22%,6,105,51.95,22
7,PVH200320P00080000,2020-02-26 1:56PM EST,80.0,7.75,7.3,8.1,2.93,+60.79%,49,848,54.44,22
8,PVH200320P00085000,2020-02-26 1:48PM EST,85.0,11.6,11.4,12.3,5.5,+90.16%,6,927,57.84,22
9,PVH200320P00090000,2020-02-25 1:33PM EST,90.0,12.3,15.9,17.1,0.0,-,65,721,67.19,22
10,PVH200320P00095000,2020-02-20 11:08AM EST,95.0,17.05,21.2,22.0,0.0,-,32,0,63.87,22
11,PVH200320P00100000,2020-02-25 9:48AM EST,100.0,21.4,25.8,27.0,0.0,-,6,0,63.09,22
12,PVH200320P00105000,2020-02-19 3:12PM EST,105.0,19.53,30.3,32.4,0.0,-,6,51,66.99,22
0,PVH200417P00065000,2020-02-26 1:25PM EST,65.0,1.85,2.05,2.3,0.3,+19.35%,41,8,52.59,50
1,PVH200417P00070000,2020-02-25 12:58PM EST,70.0,2.2,2.4,2.65,0.0,-,-,-,39.49,50
2,PVH200417P00075000,2020-02-26 12:23PM EST,75.0,5.3,5.9,6.2,0.5,+10.42%,22,10,49.71,50
3,PVH200417P00080000,2020-02-25 3:57PM EST,80.0,7.0,6.8,7.2,-0.2,-2.78%,1,-,27.17,50
4,PVH200417P00090000,2020-02-25 12:03PM EST,90.0,12.23,16.6,17.5,0.0,-,1,1,51.56,50
0,PVH200619P00050000,2020-01-15 10:24AM EST,50.0,0.2,0.0,0.9,0.0,-,-,5,54.64,113
1,PVH200619P00055000,2020-02-25 9:46AM EST,55.0,0.77,1.4,1.65,0.0,-,1,1,52.03,113
2,PVH200619P00060000,2020-02-10 2:17PM EST,60.0,2.0,2.25,2.55,0.3,+17.65%,17,0,50.49,113
3,PVH200619P00065000,2020-02-25 11:50AM EST,65.0,2.4,3.5,4.0,0.0,-,5,0,49.07,113
4,PVH200619P00070000,2020-02-26 1:21PM EST,70.0,5.2,5.4,6.0,2.1,+67.74%,16,262,48.22,113
5,PVH200619P00075000,2020-02-25 3:50PM EST,75.0,6.21,7.7,8.3,-0.39,-5.91%,6,93,46.16,113
6,PVH200619P00080000,2020-02-24 2:20PM EST,80.0,7.75,10.5,11.1,0.0,-,2,0,44.14,113
7,PVH200619P00085000,2020-02-26 10:38AM EST,85.0,12.08,13.9,14.7,2.78,+29.89%,1,236,44.25,113
8,PVH200619P00090000,2020-02-26 10:16AM EST,90.0,15.7,17.8,18.6,0.3,+1.95%,12,0,43.84,113
9,PVH200619P00095000,2020-02-13 11:22AM EST,95.0,19.6,22.0,22.8,6.3,+47.37%,1,1026,43.34,113
10,PVH200619P00100000,2020-02-18 2:50PM EST,100.0,15.7,26.4,27.6,0.0,-,5,34,46.73,113
11,PVH200619P00105000,2020-02-19 3:30PM EST,105.0,20.4,30.9,32.7,0.0,-,3,5,52.64,113
0,PVH200918P00055000,2020-01-29 1:46PM EST,55.0,1.8,2.4,2.7,0.0,-,1,2,48.24,204
1,PVH200918P00060000,2020-02-20 1:28PM EST,60.0,1.5,3.6,3.9,0.0,-,280,349,46.23,204
2,PVH200918P00065000,2020-02-25 12:47PM EST,65.0,4.1,5.1,5.6,0.0,-,5,18,45.17,204
3,PVH200918P00070000,2020-02-24 11:12AM EST,70.0,4.65,7.1,7.7,0.0,-,3,18,44.14,204
4,PVH200918P00075000,2020-02-26 1:27PM EST,75.0,9.6,9.6,10.0,5.12,+114.29%,3,15,42.21,204
5,PVH200918P00080000,2020-02-25 12:32PM EST,80.0,9.55,12.4,12.9,0.0,-,1,85,41.23,204
6,PVH200918P00085000,2020-02-18 3:51PM EST,85.0,8.89,15.6,16.2,0.0,-,14,0,40.36,204
7,PVH200918P00090000,2020-02-25 12:32PM EST,90.0,15.5,19.2,19.9,0.0,-,1,35,39.8,204
9,PVH200918P00120000,2020-02-03 11:59AM EST,120.0,33.02,44.7,48.6,0.0,-,-,3,55.84,204
0,PVH210115P00035000,2020-01-14 1:44PM EST,35.0,0.3,0.2,0.85,0.0,-,3,44,54.69,323
1,PVH210115P00040000,2019-12-31 12:38PM EST,40.0,0.28,0.05,1.35,0.0,-,3,0,52.25,323
2,PVH210115P00045000,2019-09-20 10:18AM EST,45.0,2.05,1.35,1.9,0.0,-,1,0,48.93,323
3,PVH210115P00050000,2020-02-25 2:07PM EST,50.0,2.1,2.55,2.95,0.0,-,30,79,48.11,323
4,PVH210115P00055000,2020-02-12 10:30AM EST,55.0,1.7,3.7,4.0,0.0,-,10,128,45.69,323
5,PVH210115P00060000,2020-02-26 2:00PM EST,60.0,5.5,5.1,5.6,1.1,+25.00%,10,377,44.81,323
6,PVH210115P00065000,2020-02-25 2:08PM EST,65.0,5.85,6.9,7.4,0.0,-,21,151,43.41,323
7,PVH210115P00070000,2020-02-19 2:51PM EST,70.0,6.78,9.0,9.6,0.0,-,1,568,42.37,323
8,PVH210115P00075000,2020-02-12 12:13PM EST,75.0,9.93,11.4,12.1,0.0,-,1,434,41.24,323
9,PVH210115P00080000,2020-02-21 1:59PM EST,80.0,9.4,14.1,14.9,0.0,-,5,0,40.05,323
10,PVH210115P00085000,2020-02-12 10:05AM EST,85.0,9.15,17.3,18.1,0.0,-,11,0,39.21,323
12,PVH210115P00095000,2020-01-29 3:34PM EST,95.0,14.7,24.3,25.2,0.0,-,1,41,36.99,323
13,PVH210115P00100000,2020-02-21 1:59PM EST,100.0,20.95,28.3,29.2,0.0,-,5,0,36.19,323
20,PVH210115P00135000,2019-07-24 11:17AM EST,135.0,47.9,61.5,66.2,0.0,-,12,27,52.59,323
21,PVH210115P00140000,2019-07-25 11:25AM EST,140.0,50.9,68.7,73.5,0.0,-,10,37,66.16,323
22,PVH210115P00145000,2019-07-18 11:26AM EST,145.0,57.7,72.2,76.5,0.0,-,9,0,59.36,323
0,PVH220121P00045000,2020-01-27 12:05PM EST,45.0,2.45,4.0,5.3,0.0,-,4,0,49.8,694
1,PVH220121P00050000,2020-01-27 12:04PM EST,50.0,2.85,5.2,6.7,0.0,-,2,0,47.87,694
2,PVH220121P00060000,2019-11-11 12:12AM EST,60.0,6.5,4.5,5.3,0.0,-,-,0,29.68,694
3,PVH220121P00065000,2020-02-26 11:47AM EST,65.0,10.1,10.7,12.1,2.81,+38.55%,1,27,42.82,694
4,PVH220121P00070000,2020-01-17 11:57AM EST,70.0,6.3,8.5,9.1,0.0,-,5,6,27.66,694
5,PVH220121P00075000,2020-02-18 12:10AM EST,75.0,14.9,15.2,17.7,0.0,-,5,0,42.28,694
6,PVH220121P00080000,2019-12-16 3:11PM EST,80.0,9.9,9.0,9.8,0.0,-,1,0,14.67,694
7,PVH220121P00085000,2020-02-14 1:19PM EST,85.0,14.75,21.1,23.8,0.0,-,1,0,40.91,694
8,PVH220121P00090000,2020-02-25 11:44AM EST,90.0,21.78,24.6,26.5,0.0,-,1,0,38.68,694
9,PVH220121P00095000,2020-01-22 12:07PM EST,95.0,15.74,20.2,22.6,0.0,-,-,10,16.9,694
