,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,PWR200320P00035000,2020-02-26 1:30PM EST,35.0,0.75,0.75,0.9,0.2,+36.36%,2588,3,47.31,22
1,PWR200320P00036000,2020-02-26 10:16AM EST,36.0,0.79,1.0,1.2,0.24,+43.64%,198,0,45.02,22
2,PWR200320P00037000,2020-02-26 11:47AM EST,37.0,1.15,1.4,1.6,0.24,+26.37%,672,72,43.16,22
3,PWR200320P00038000,2020-02-25 3:03PM EST,38.0,1.7,1.8,2.15,0.28,+19.72%,1,0,42.82,22
4,PWR200320P00039000,2020-02-26 2:04PM EST,39.0,2.8,2.45,2.8,0.75,+36.59%,10,46,42.68,22
5,PWR200320P00040000,2020-02-26 9:51AM EST,40.0,2.46,3.1,3.6,-0.04,-1.60%,2,286,44.73,22
0,PWR200417P00035000,2020-02-26 10:03AM EST,35.0,0.85,0.75,0.9,0.05,+6.25%,657,-,32.15,50
0,PWR200515P00030000,2019-12-16 12:11AM EST,30.0,0.3,0.15,0.25,0.0,-,-,0,34.86,78
1,PWR200515P00033000,2020-01-27 3:26PM EST,33.0,0.45,0.8,1.0,0.0,-,-,13,38.77,78
2,PWR200515P00034000,2020-01-08 9:57AM EST,34.0,0.58,0.55,0.65,0.0,-,4,19,26.86,78
3,PWR200515P00035000,2020-02-06 12:50PM EST,35.0,0.95,1.35,1.5,0.0,-,8,0,35.62,78
4,PWR200515P00036000,2020-02-21 3:17PM EST,36.0,0.81,1.75,1.9,0.0,-,1,4,35.18,78
5,PWR200515P00037000,2019-12-31 9:53AM EST,37.0,1.17,1.3,1.45,0.0,-,1,0,21.49,78
6,PWR200515P00038000,2020-02-14 1:19PM EST,38.0,2.15,2.7,2.85,0.0,-,5,0,33.64,78
7,PWR200515P00039000,2020-02-26 1:18PM EST,39.0,3.1,3.2,3.4,1.2,+63.16%,3,18,32.52,78
8,PWR200515P00040000,2020-02-21 3:33PM EST,40.0,2.15,3.8,4.2,0.0,-,2,22,34.28,78
9,PWR200515P00041000,2020-02-13 3:02PM EST,41.0,4.14,4.5,4.9,1.94,+88.18%,1,0,33.69,78
10,PWR200515P00042000,2020-02-13 1:25PM EST,42.0,3.0,5.3,5.7,0.0,-,4,16,33.94,78
11,PWR200515P00043000,2020-01-30 10:37AM EST,43.0,4.2,6.1,6.5,0.0,-,-,0,33.4,78
13,PWR200515P00046000,2020-01-27 2:51PM EST,46.0,6.6,8.9,9.2,0.0,-,-,7,34.18,78
0,PWR200821P00024000,2020-01-29 3:37PM EST,24.0,0.15,0.0,0.5,0.0,-,-,24,49.27,176
1,PWR200821P00031000,2020-02-11 12:36PM EST,31.0,0.5,0.75,0.95,0.0,-,153,0,32.64,176
2,PWR200821P00032000,2020-02-19 2:55PM EST,32.0,0.65,1.05,1.25,0.0,-,55,183,32.96,176
3,PWR200821P00035000,2020-02-06 3:17PM EST,35.0,1.33,1.9,2.15,0.0,-,7,26,30.7,176
4,PWR200821P00040000,2020-01-16 6:30PM EST,40.0,2.81,2.55,2.95,0.0,-,-,1,5.96,176
5,PWR200821P00045000,2020-01-27 2:23PM EST,45.0,6.2,8.1,8.5,0.0,-,-,1,26.47,176
