,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,PYPL200228P00085000,2020-02-24 10:36AM EST,85.0,0.02,0.0,0.08,0.0,-,-,900,121.88,1
1,PYPL200228P00090000,2020-02-20 12:56PM EST,90.0,0.06,0.0,0.15,0.0,-,17,0,106.64,1
2,PYPL200228P00095000,2020-02-24 2:02PM EST,95.0,0.09,0.0,0.21,0.01,+12.50%,2,0,85.74,1
3,PYPL200228P00100000,2020-02-25 3:46PM EST,100.0,0.3,0.16,0.18,0.0,-,42,0,65.63,1
4,PYPL200228P00101000,2020-02-24 10:34AM EST,101.0,0.19,0.18,0.22,0.04,+26.67%,1,89,62.11,1
5,PYPL200228P00102000,2020-02-26 1:39PM EST,102.0,0.21,0.22,0.24,-0.21,-50.00%,9,0,58.3,1
6,PYPL200228P00103000,2020-02-24 12:04PM EST,103.0,0.12,0.3,0.3,-0.38,-76.00%,4,0,56.15,1
7,PYPL200228P00104000,2020-02-26 1:57PM EST,104.0,0.37,0.38,0.41,-0.26,-41.27%,10,127,54.2,1
8,PYPL200228P00105000,2020-02-26 12:49PM EST,105.0,0.46,0.5,0.53,-0.23,-33.33%,62,176,52.05,1
9,PYPL200228P00106000,2020-02-26 1:55PM EST,106.0,0.6,0.61,0.65,-0.27,-31.03%,141,120,49.22,1
10,PYPL200228P00107000,2020-02-26 2:04PM EST,107.0,0.91,0.85,0.91,-0.29,-24.17%,139,213,48.83,1
11,PYPL200228P00108000,2020-02-26 1:58PM EST,108.0,1.21,1.18,1.22,-0.22,-15.38%,79,143,47.9,1
12,PYPL200228P00109000,2020-02-26 2:02PM EST,109.0,1.59,1.45,1.51,-0.27,-14.52%,114,0,44.48,1
13,PYPL200228P00110000,2020-02-26 2:02PM EST,110.0,2.06,1.96,2.04,-0.17,-7.62%,539,201,45.07,1
14,PYPL200228P00111000,2020-02-26 11:48AM EST,111.0,1.83,2.46,2.57,-0.76,-29.34%,56,0,43.41,1
15,PYPL200228P00112000,2020-02-26 1:44PM EST,112.0,3.59,3.2,3.3,0.19,+5.59%,229,300,44.78,1
16,PYPL200228P00113000,2020-02-26 1:39PM EST,113.0,4.2,3.85,4.0,0.38,+9.95%,104,0,43.07,1
17,PYPL200228P00114000,2020-02-26 1:55PM EST,114.0,4.85,5.0,5.15,-0.28,-5.46%,92,274,52.59,1
18,PYPL200228P00115000,2020-02-26 11:52AM EST,115.0,6.0,5.85,6.0,0.02,+0.33%,140,391,53.42,1
19,PYPL200228P00116000,2020-02-26 1:11PM EST,116.0,5.85,6.6,6.85,-0.25,-4.10%,34,0,56.06,1
20,PYPL200228P00117000,2020-02-26 12:19PM EST,117.0,6.67,7.8,7.95,-0.43,-6.06%,23,0,62.99,1
21,PYPL200228P00118000,2020-02-26 1:43PM EST,118.0,9.15,8.55,8.95,1.3,+16.56%,14,833,61.72,1
22,PYPL200228P00119000,2020-02-26 1:36PM EST,119.0,9.8,9.5,9.7,1.91,+24.21%,24,329,55.66,1
23,PYPL200228P00120000,2020-02-26 9:49AM EST,120.0,7.8,10.8,10.95,-1.41,-15.31%,6,594,79.1,1
24,PYPL200228P00121000,2020-02-25 1:19PM EST,121.0,9.84,11.55,11.7,-0.05,-0.51%,1,0,66.8,1
25,PYPL200228P00122000,2020-02-26 11:17AM EST,122.0,10.5,12.65,12.85,-1.6,-13.22%,13,201,81.25,1
26,PYPL200228P00123000,2020-02-26 1:22PM EST,123.0,12.81,13.85,14.0,0.92,+7.74%,13,51,96.97,1
