,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,QRVO200320P00075000,2020-02-26 11:39AM EST,75.0,0.17,0.2,0.3,-0.13,-43.33%,3,0,58.79,22
1,QRVO200320P00080000,2020-02-24 3:44PM EST,80.0,0.5,0.4,0.55,0.0,-,12,0,53.56,22
2,QRVO200320P00085000,2020-02-26 1:02PM EST,85.0,0.82,0.85,1.05,-0.23,-21.90%,16,253,51.17,22
3,QRVO200320P00090000,2020-02-26 1:25PM EST,90.0,1.75,1.8,2.0,-0.3,-14.63%,27,0,47.58,22
4,QRVO200320P00095000,2020-02-26 10:28AM EST,95.0,3.36,3.4,3.7,-0.34,-9.19%,171,0,45.14,22
5,QRVO200320P00100000,2020-02-26 1:06PM EST,100.0,5.97,5.9,6.3,-0.13,-2.13%,32,2064,43.21,22
6,QRVO200320P00105000,2020-02-25 3:56PM EST,105.0,9.71,9.6,10.0,0.0,-,429,0,44.29,22
7,QRVO200320P00110000,2020-02-24 2:03PM EST,110.0,13.2,13.7,14.2,0.0,-,4,0,44.24,22
8,QRVO200320P00115000,2020-02-24 1:39PM EST,115.0,19.2,18.1,19.1,0.0,-,1,123,52.0,22
9,QRVO200320P00120000,2020-02-25 3:56PM EST,120.0,23.52,23.1,23.9,0.0,-,81,84,55.57,22
10,QRVO200320P00125000,2020-02-24 2:11PM EST,125.0,29.0,27.8,29.5,0.0,-,5,0,53.42,22
11,QRVO200320P00130000,2020-02-12 12:19PM EST,130.0,19.06,31.8,35.4,0.0,-,1,0,56.64,22
12,QRVO200320P00135000,2020-02-04 3:30PM EST,135.0,26.83,36.5,40.6,0.0,-,5,0,58.01,22
13,QRVO200320P00140000,2020-01-23 10:25AM EST,140.0,24.0,39.3,43.9,0.0,-,-,0,83.79,22
0,QRVO200417P00070000,2020-02-24 3:43PM EST,70.0,0.4,0.35,0.5,0.0,-,-,5,54.39,50
1,QRVO200417P00080000,2020-02-25 10:09AM EST,80.0,1.06,0.85,1.05,0.0,-,-,-,45.53,50
2,QRVO200417P00085000,2020-02-25 11:33AM EST,85.0,2.0,1.5,1.7,0.0,-,-,-,41.82,50
3,QRVO200417P00090000,2020-02-25 3:47PM EST,90.0,3.2,2.55,2.75,0.0,-,-,-,38.48,50
4,QRVO200417P00092500,2020-02-25 1:40PM EST,92.5,4.31,3.3,3.5,0.0,-,-,-,37.06,50
5,QRVO200417P00095000,2020-02-26 11:39AM EST,95.0,4.42,4.8,5.2,-0.88,-16.60%,2,42,41.16,50
6,QRVO200417P00097500,2020-02-25 3:52PM EST,97.5,6.4,5.2,5.4,0.0,-,-,-,33.53,50
7,QRVO200417P00100000,2020-02-25 11:47AM EST,100.0,7.63,6.5,6.8,0.0,-,-,-,32.9,50
8,QRVO200417P00105000,2020-02-25 10:26AM EST,105.0,10.7,9.4,9.9,0.0,-,-,-,29.22,50
9,QRVO200417P00110000,2020-02-25 10:26AM EST,110.0,14.6,13.1,13.7,0.0,-,-,-,22.22,50
0,QRVO200515P00040000,2019-12-16 12:03AM EST,40.0,0.04,-,0.05,0.0,-,-,0,76.56,78
1,QRVO200515P00050000,2020-02-18 9:58AM EST,50.0,0.08,0.00,0.2,0.0,-,1,0,63.87,78
2,QRVO200515P00055000,2020-02-18 9:55AM EST,55.0,0.14,0.15,0.3,0.0,-,1,0,62.7,78
3,QRVO200515P00060000,2020-02-18 2:59PM EST,60.0,0.2,0.30,0.45,0.0,-,4,0,59.38,78
4,QRVO200515P00065000,2019-10-01 12:38PM EST,65.0,4.8,1.00,1.35,0.0,-,1,0,66.33,78
5,QRVO200515P00070000,2020-02-18 2:22PM EST,70.0,0.53,0.85,1.0,0.0,-,5,0,52.86,78
6,QRVO200515P00072500,2020-01-17 10:25AM EST,72.5,0.4,0.65,0.75,0.0,-,1,7,45.7,78
7,QRVO200515P00075000,2020-02-24 10:16AM EST,75.0,1.6,1.35,1.55,0.0,-,19,0,50.32,78
8,QRVO200515P00077500,2020-02-24 9:30AM EST,77.5,1.65,1.70,1.9,-0.15,-8.33%,1,0,50.11,78
9,QRVO200515P00080000,2020-02-21 2:10PM EST,80.0,2.45,2.10,2.35,0.0,-,10,0,49.12,78
10,QRVO200515P00082500,2020-02-20 11:52AM EST,82.5,2.41,2.65,2.85,-0.51,-17.47%,10,0,47.9,78
11,QRVO200515P00085000,2020-02-24 3:03PM EST,85.0,3.5,3.20,3.5,0.0,-,3,0,47.18,78
12,QRVO200515P00087500,2020-02-25 12:42PM EST,87.5,3.58,3.90,4.2,-0.62,-14.76%,10,0,46.13,78
13,QRVO200515P00090000,2020-02-25 12:12PM EST,90.0,5.0,4.80,5.1,0.0,-,19,0,45.68,78
14,QRVO200515P00092500,2020-02-26 9:50AM EST,92.5,5.25,5.60,6.0,-0.45,-7.89%,6,0,44.54,78
15,QRVO200515P00095000,2020-02-24 3:02PM EST,95.0,6.0,6.70,7.0,-0.9,-13.04%,2,0,43.34,78
16,QRVO200515P00097500,2020-02-25 2:56PM EST,97.5,7.45,7.90,8.3,-0.35,-4.49%,1,0,43.13,78
17,QRVO200515P00100000,2020-02-24 3:42PM EST,100.0,9.05,9.10,9.5,-0.45,-4.74%,1,0,41.68,78
18,QRVO200515P00105000,2020-02-24 3:42PM EST,105.0,12.5,12.10,12.6,0.0,-,16,0,40.59,78
19,QRVO200515P00110000,2020-02-21 3:41PM EST,110.0,14.7,15.80,16.2,-1.3,-8.13%,2,0,39.75,78
20,QRVO200515P00115000,2020-02-24 3:33PM EST,115.0,19.65,19.80,20.3,0.0,-,1,0,39.77,78
21,QRVO200515P00120000,2020-02-19 11:00AM EST,120.0,17.77,24.00,24.9,0.0,-,10,0,41.97,78
22,QRVO200515P00125000,2020-02-24 2:11PM EST,125.0,27.3,28.70,29.3,-2.07,-7.05%,1,0,40.48,78
23,QRVO200515P00130000,2020-02-12 11:09AM EST,130.0,21.41,33.30,34.9,0.0,-,1,0,51.71,78
24,QRVO200515P00140000,2020-01-30 9:32AM EST,140.0,21.3,42.40,45.4,0.0,-,-,0,65.41,78
0,QRVO200619P00030000,2020-02-20 2:14PM EST,30.0,0.03,0.0,0.1,0.0,-,1,22,83.59,113
1,QRVO200619P00035000,2019-12-13 12:32PM EST,35.0,0.04,0.0,0.05,0.0,-,1,0,67.58,113
2,QRVO200619P00037500,2019-09-03 10:26AM EST,37.5,0.75,0.25,0.95,0.0,-,-,0,99.27,113
3,QRVO200619P00040000,2019-12-31 9:37AM EST,40.0,0.05,0.0,0.1,0.0,-,-,0,63.87,113
4,QRVO200619P00042500,2019-08-01 10:33AM EST,42.5,0.85,0.8,1.3,0.0,-,-,140,98.54,113
5,QRVO200619P00045000,2020-01-10 12:39PM EST,45.0,0.06,0.0,0.1,0.0,-,40,220,55.86,113
6,QRVO200619P00047500,2019-09-24 8:34AM EST,47.5,1.12,0.75,0.95,0.0,-,1,1,82.74,113
7,QRVO200619P00050000,2019-09-24 1:09PM EST,50.0,1.42,0.95,1.25,0.0,-,-,0,82.37,113
8,QRVO200619P00052500,2020-01-10 3:54PM EST,52.5,0.18,0.0,0.0,0.0,-,2,30,25.0,113
9,QRVO200619P00055000,2019-07-19 2:37PM EST,55.0,3.3,2.75,0.0,0.0,-,1,161,76.54,113
10,QRVO200619P00057500,2020-02-18 3:56PM EST,57.5,0.45,0.35,0.5,0.18,+66.67%,1,0,54.64,113
11,QRVO200619P00060000,2019-09-20 9:59AM EST,60.0,3.0,2.2,2.45,0.0,-,6,301,78.13,113
12,QRVO200619P00062500,2019-11-25 2:08PM EST,62.5,0.85,0.1,0.6,0.0,-,5,5,50.64,113
13,QRVO200619P00065000,2020-02-18 3:57PM EST,65.0,0.82,0.75,0.95,0.0,-,2,0,50.85,113
14,QRVO200619P00067500,2020-02-24 3:09PM EST,67.5,1.0,0.95,1.15,0.0,-,1,333,50.85,113
15,QRVO200619P00070000,2020-02-24 2:47PM EST,70.0,1.28,1.2,1.4,0.0,-,22,407,49.59,113
16,QRVO200619P00072500,2020-02-24 1:43PM EST,72.5,1.58,1.45,1.7,0.0,-,20,0,48.41,113
17,QRVO200619P00075000,2020-02-14 2:37PM EST,75.0,1.4,1.8,2.05,0.0,-,10,0,47.25,113
18,QRVO200619P00077500,2020-02-25 1:23PM EST,77.5,2.35,2.2,2.45,0.0,-,20,0,46.05,113
19,QRVO200619P00080000,2020-02-24 12:58PM EST,80.0,3.06,2.7,3.0,0.0,-,5,46,45.46,113
20,QRVO200619P00082500,2020-02-24 12:14PM EST,82.5,2.95,3.2,3.6,-0.85,-22.37%,20,0,44.67,113
21,QRVO200619P00085000,2020-02-18 3:59PM EST,85.0,2.62,3.9,4.2,0.0,-,2,17,43.4,113
22,QRVO200619P00087500,2020-01-13 1:20PM EST,87.5,2.05,2.55,2.75,0.0,-,2,15,30.41,113
23,QRVO200619P00090000,2020-02-19 1:54PM EST,90.0,5.6,5.5,5.9,0.0,-,1,0,42.15,113
24,QRVO200619P00092500,2020-02-18 12:04AM EST,92.5,6.9,6.5,6.9,0.0,-,11,0,41.52,113
25,QRVO200619P00095000,2020-02-24 1:27PM EST,95.0,8.1,7.5,8.0,0.0,-,9,83,40.85,113
26,QRVO200619P00097500,2020-02-25 12:42PM EST,97.5,9.2,8.7,9.3,0.0,-,4,3,40.61,113
27,QRVO200619P00100000,2020-02-20 12:36PM EST,100.0,10.6,10.0,10.5,0.0,-,1,0,39.4,113
28,QRVO200619P00105000,2020-02-20 2:14PM EST,105.0,13.2,13.0,13.7,0.0,-,2,0,39.2,113
29,QRVO200619P00110000,2020-02-20 3:07PM EST,110.0,13.28,16.6,17.0,0.0,-,5,186,37.49,113
30,QRVO200619P00115000,2020-02-26 1:35PM EST,115.0,20.8,20.3,20.9,0.4,+1.96%,73,302,36.98,113
31,QRVO200619P00120000,2020-02-26 11:34AM EST,120.0,23.8,24.5,25.3,-0.8,-3.25%,2,0,37.94,113
33,QRVO200619P00130000,2020-02-24 3:37PM EST,130.0,33.68,33.4,34.4,0.0,-,4,0,38.45,113
34,QRVO200619P00145000,2020-01-28 10:01AM EST,145.0,34.3,46.8,50.1,0.0,-,1,12,55.35,113
0,QRVO200821P00065000,2020-02-21 3:17PM EST,65.0,1.37,1.45,1.7,0.0,-,5,1205,49.46,176
1,QRVO200821P00070000,2020-02-19 1:20PM EST,70.0,1.39,2.1,2.3,0.0,-,5,0,46.86,176
