,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,REGN200228P00255000,2020-02-26 11:01AM EST,255.0,0.05,0.00,0.1,0.0,-,8,0,228.91,1
1,REGN200228P00260000,2020-02-24 3:16PM EST,260.0,0.05,-,0.1,0.0,-,-,-,238.28,1
2,REGN200228P00270000,2020-02-25 2:32PM EST,270.0,0.1,-,3.7,0.0,-,-,-,391.5,1
3,REGN200228P00275000,2020-02-25 2:30PM EST,275.0,0.1,0.00,2.9,0.0,-,1,0,313.77,1
4,REGN200228P00280000,2020-01-27 12:38PM EST,280.0,0.1,0.00,1.4,0.0,-,10,0,268.95,1
5,REGN200228P00285000,2020-01-22 3:30PM EST,285.0,0.8,0.00,4.2,0.0,-,-,1,316.5,1
6,REGN200228P00290000,2020-01-21 1:32PM EST,290.0,1.05,0.00,0.0,0.0,-,-,0,50.0,1
7,REGN200228P00300000,2020-02-24 11:54AM EST,300.0,0.1,0.00,2.85,0.0,-,10,20,266.31,1
8,REGN200228P00305000,2020-02-06 11:43AM EST,305.0,0.05,0.00,4.2,0.0,-,6,0,277.93,1
9,REGN200228P00312500,2020-02-21 1:15PM EST,312.5,0.1,0.00,3.1,0.0,-,10,0,248.29,1
10,REGN200228P00320000,2020-02-25 2:29PM EST,320.0,0.2,0.00,2.7,0.0,-,8,0,229.0,1
11,REGN200228P00322500,2020-02-24 1:03PM EST,322.5,0.05,0.00,2.95,0.0,-,1,0,228.71,1
12,REGN200228P00325000,2020-02-04 10:07AM EST,325.0,0.65,0.00,2.65,0.0,-,1,0,219.87,1
13,REGN200228P00327500,2020-02-21 3:52PM EST,327.5,0.15,0.00,3.3,0.0,-,3,0,225.29,1
14,REGN200228P00330000,2020-02-25 9:34AM EST,330.0,0.3,0.00,2.9,0.0,-,23,0,215.38,1
15,REGN200228P00332500,2020-02-18 10:34AM EST,332.5,0.72,0.00,2.65,0.0,-,1,0,207.52,1
16,REGN200228P00335000,2020-02-10 2:14PM EST,335.0,0.95,0.00,3.0,0.0,-,16,0,208.5,1
17,REGN200228P00337500,2020-02-18 10:34AM EST,337.5,0.78,0.00,3.9,0.0,-,1,0,215.92,1
18,REGN200228P00340000,2020-02-24 11:44AM EST,340.0,0.18,0.00,2.85,0.0,-,30,0,198.24,1
19,REGN200228P00342500,2020-02-03 9:30AM EST,342.5,4.21,0.05,2.85,0.0,-,3,0,194.87,1
20,REGN200228P00345000,2020-02-24 10:51AM EST,345.0,0.3,0.00,2.85,0.0,-,20,22,190.14,1
21,REGN200228P00350000,2020-02-26 10:16AM EST,350.0,0.35,0.10,0.5,0.05,+16.67%,11,0,139.45,1
22,REGN200228P00352500,2020-02-07 11:48AM EST,352.5,5.1,0.00,2.55,0.0,-,1,0,174.22,1
