,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,REG200320C00055000,2020-02-20 12:36PM EST,55.0,9.0,6.4,7.2,0.0,-,-,0,38.28,22
1,REG200320C00060000,2020-02-18 3:59PM EST,60.0,5.0,2.05,2.75,0.0,-,1,1,26.32,22
2,REG200320C00065000,2020-02-25 1:57PM EST,65.0,0.3,0.15,0.3,0.0,-,146,85,20.17,22
0,REG200417C00035000,2020-01-22 12:41PM EST,35.0,28.8,27.5,31.2,0.0,-,-,0,158.55,50
1,REG200417C00040000,2020-01-16 11:17AM EST,40.0,23.4,20.9,24.9,0.0,-,1,0,96.78,50
2,REG200417C00050000,2020-02-26 12:35PM EST,50.0,11.4,11.3,13.2,-2.6,-18.57%,4,0,62.79,50
3,REG200417C00060000,2020-02-21 1:13PM EST,60.0,3.18,2.55,3.0,0.0,-,3,0,20.87,50
4,REG200417C00065000,2020-02-21 11:16AM EST,65.0,1.1,0.45,0.65,0.0,-,2,87,18.8,50
5,REG200417C00070000,2019-09-15 11:03PM EST,70.0,2.62,0.2,4.4,0.0,-,-,25,54.74,50
0,REG200717C00035000,2020-02-20 2:05PM EST,35.0,28.96,24.6,29.1,0.0,-,2,2,91.99,141
1,REG200717C00055000,2020-01-17 3:49PM EST,55.0,8.64,8.0,9.6,0.0,-,4,6,37.72,141
2,REG200717C00065000,2020-02-21 12:27PM EST,65.0,1.22,1.15,1.45,-0.63,-34.05%,22,0,17.25,141
3,REG200717C00070000,2020-02-26 9:56AM EST,70.0,0.35,0.25,0.45,-0.3,-46.15%,1,34,17.26,141
4,REG200717C00075000,2020-02-25 3:40PM EST,75.0,0.05,0.0,0.2,-0.05,-50.00%,10,10,19.39,141
0,REG201016C00070000,2020-02-25 1:46PM EST,70.0,0.9,0.55,0.95,0.0,-,-,-,17.43,232
