,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,RE200320C00220000,2020-02-04 12:16PM EST,220.0,60.2,51.6,56.5,0.0,-,-,1,68.65,22
1,RE200320C00230000,2020-02-14 12:41PM EST,230.0,61.0,41.6,46.5,0.0,-,1,1,58.06,22
2,RE200320C00260000,2020-02-05 3:19PM EST,260.0,24.0,14.6,17.5,0.0,-,2,2,31.01,22
3,RE200320C00270000,2020-02-21 3:35PM EST,270.0,19.85,7.8,9.4,0.0,-,5,11,25.21,22
4,RE200320C00280000,2020-02-24 9:30AM EST,280.0,4.48,2.6,4.0,-4.5,-50.11%,1,18,22.72,22
5,RE200320C00290000,2020-02-21 3:35PM EST,290.0,1.93,0.8,1.35,-0.99,-33.90%,1,0,21.91,22
6,RE200320C00300000,2020-02-21 12:53PM EST,300.0,0.65,0.0,0.4,0.0,-,3,7,22.12,22
7,RE200320C00310000,2020-02-21 12:53PM EST,310.0,0.3,0.0,2.0,0.0,-,5,7,41.94,22
1,RE200417C00220000,2020-02-10 10:15AM EST,220.0,63.09,51.6,56.9,0.0,-,65,0,48.93,50
2,RE200417C00240000,2019-12-16 12:07AM EST,240.0,36.5,36.6,41.5,0.0,-,-,-,51.2,50
3,RE200417C00250000,2020-01-22 7:09PM EST,250.0,32.1,37.6,42.5,0.0,-,-,0,66.32,50
4,RE200417C00260000,2020-02-24 11:27AM EST,260.0,23.92,16.9,19.7,0.0,-,2,0,27.58,50
5,RE200417C00270000,2020-02-12 12:12PM EST,270.0,20.01,10.0,13.1,0.0,-,2,81,26.34,50
6,RE200417C00280000,2020-02-21 2:15PM EST,280.0,13.37,4.5,7.7,0.0,-,3,0,24.65,50
7,RE200417C00290000,2020-02-21 2:15PM EST,290.0,7.09,1.65,3.9,0.0,-,3,70,23.09,50
8,RE200417C00300000,2020-02-11 11:31AM EST,300.0,1.3,0.6,1.65,-2.2,-62.86%,10,64,21.75,50
9,RE200417C00310000,2020-01-17 12:24PM EST,310.0,1.0,1.05,1.65,0.0,-,-,15,26.91,50
10,RE200417C00320000,2019-11-18 12:00AM EST,320.0,0.7,0.5,0.75,0.0,-,-,3,26.17,50
0,RE200717C00220000,2020-02-18 12:09AM EST,220.0,71.9,53.5,57.9,0.0,-,-,-,32.61,141
1,RE200717C00240000,2020-02-06 3:59PM EST,240.0,43.4,36.2,39.9,0.0,-,-,10,27.59,141
2,RE200717C00260000,2019-11-25 11:15AM EST,260.0,21.95,24.9,25.9,0.0,-,-,2,26.74,141
3,RE200717C00270000,2020-02-10 11:04AM EST,270.0,22.1,15.1,19.0,0.0,-,1,1,24.65,141
4,RE200717C00280000,2020-02-12 12:12PM EST,280.0,17.89,10.4,13.3,0.0,-,2,0,23.09,141
5,RE200717C00290000,2020-02-26 11:56AM EST,290.0,8.0,6.6,9.3,-2.4,-23.08%,7,26,22.61,141
6,RE200717C00300000,2020-02-25 9:54AM EST,300.0,6.5,3.9,7.0,0.0,-,40,0,23.47,141
7,RE200717C00310000,2020-02-06 2:56PM EST,310.0,3.8,2.2,4.7,0.0,-,21,35,23.16,141
8,RE200717C00320000,2020-01-16 2:25PM EST,320.0,1.78,2.0,4.2,0.0,-,8,9,25.49,141
9,RE200717C00330000,2020-02-13 3:39PM EST,330.0,1.7,0.5,2.0,0.0,-,-,24,22.88,141
