,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,RF200320C00014000,2020-02-21 1:35PM EST,14.0,1.22,0.85,0.89,0.0,-,7,0,34.96,22
1,RF200320C00015000,2020-02-25 3:42PM EST,15.0,0.35,0.3,0.32,-0.03,-7.89%,109,0,31.74,22
2,RF200320C00016000,2020-02-26 10:15AM EST,16.0,0.11,0.06,0.09,0.01,+10.00%,55,0,32.23,22
3,RF200320C00017000,2020-02-25 3:16PM EST,17.0,0.03,0.01,0.03,0.0,-,131,0,35.55,22
4,RF200320C00018000,2020-02-24 9:35AM EST,18.0,0.02,0.0,0.03,0.0,-,3,175,46.09,22
0,RF200417C00015000,2020-02-26 1:07PM EST,15.0,0.52,0.5,0.53,-0.08,-13.33%,37,14,31.25,50
1,RF200417C00016000,2020-02-26 10:17AM EST,16.0,0.26,0.24,0.28,-0.04,-13.33%,2,-,33.89,50
2,RF200417C00017000,2020-02-24 11:18AM EST,17.0,0.1,0.07,0.11,0.0,-,-,-,33.01,50
3,RF200417C00018000,2020-02-25 3:49PM EST,18.0,0.02,0.0,0.05,0.0,-,2,2,34.38,50
0,RF200515C00013000,2019-10-18 9:47AM EST,13.0,3.1,3.7,3.9,0.0,-,-,2,114.26,78
1,RF200515C00014000,2020-02-13 11:10AM EST,14.0,2.54,1.13,1.2,0.0,-,25,53,31.64,78
2,RF200515C00015000,2020-02-26 9:44AM EST,15.0,0.74,0.63,0.66,0.07,+10.45%,13,333,29.98,78
3,RF200515C00016000,2020-02-26 11:48AM EST,16.0,0.3,0.29,0.31,-0.1,-25.00%,61,1678,28.61,78
4,RF200515C00017000,2020-02-26 9:57AM EST,17.0,0.15,0.11,0.15,0.0,-,321,0,29.3,78
5,RF200515C00018000,2020-02-24 2:50PM EST,18.0,0.1,0.0,0.07,0.0,-,224,0,29.88,78
6,RF200515C00019000,2020-02-24 9:35AM EST,19.0,0.03,0.02,0.03,-0.02,-40.00%,100,669,30.08,78
7,RF200515C00020000,2020-01-27 11:21AM EST,20.0,0.02,0.0,0.03,0.0,-,2,278,34.77,78
8,RF200515C00021000,2020-01-08 1:14PM EST,21.0,0.02,0.0,0.0,0.0,-,1,15,25.0,78
9,RF200515C00022000,2019-12-24 11:23AM EST,22.0,0.04,0.0,0.05,0.0,-,1,2,47.27,78
0,RF200821C00010000,2020-01-10 10:55AM EST,10.0,6.5,6.45,6.75,0.0,-,2,2,116.6,176
1,RF200821C00012000,2020-02-20 10:14AM EST,12.0,4.6,2.76,2.92,0.0,-,100,15,31.25,176
2,RF200821C00014000,2020-02-04 9:50AM EST,14.0,2.43,1.34,1.46,0.0,-,1,1,27.98,176
3,RF200821C00015000,2020-02-25 1:28PM EST,15.0,1.01,0.87,0.94,0.0,-,41,0,27.0,176
4,RF200821C00016000,2020-02-26 11:20AM EST,16.0,0.63,0.51,0.57,-0.05,-7.35%,35,0,26.37,176
5,RF200821C00017000,2020-02-26 1:18PM EST,17.0,0.31,0.3,0.34,-0.05,-13.89%,919,925,26.37,176
6,RF200821C00018000,2020-02-26 10:51AM EST,18.0,0.19,0.15,0.19,0.01,+5.56%,115,823,26.17,176
7,RF200821C00019000,2020-02-25 3:39PM EST,19.0,0.08,0.07,0.11,0.0,-,33,166,26.47,176
8,RF200821C00020000,2020-02-05 3:19PM EST,20.0,0.12,0.03,0.07,0.0,-,10,0,27.34,176
9,RF200821C00021000,2020-01-16 1:39PM EST,21.0,0.1,0.04,0.15,0.0,-,1,1,36.13,176
0,RF210115C00005000,2019-09-04 2:14PM EST,5.0,9.5,7.6,12.35,0.0,-,-,0,90.33,323
1,RF210115C00008000,2019-07-08 2:58PM EST,8.0,7.2,4.3,9.0,0.0,-,5,31,128.22,323
2,RF210115C00010000,2019-12-18 1:19PM EST,10.0,7.26,5.8,7.1,0.0,-,5,479,82.28,323
3,RF210115C00013000,2020-02-20 9:55AM EST,13.0,3.7,2.14,2.37,0.0,-,20,1682,27.08,323
4,RF210115C00015000,2020-02-26 11:10AM EST,15.0,1.35,1.07,1.35,0.03,+2.27%,13,1138,27.42,323
5,RF210115C00017000,2020-02-26 10:27AM EST,17.0,0.67,0.55,0.6,0.02,+3.08%,21,0,25.2,323
6,RF210115C00020000,2020-02-26 10:45AM EST,20.0,0.2,0.11,0.2,-0.05,-20.00%,434,1483,25.98,323
7,RF210115C00022000,2020-01-15 11:10AM EST,22.0,0.2,0.0,0.2,0.0,-,10,689,31.25,323
8,RF210115C00025000,2019-06-09 11:05PM EST,25.0,0.47,0.0,0.23,0.0,-,1,15,39.16,323
0,RF220121C00010000,2019-12-12 2:55PM EST,10.0,7.5,5.8,7.3,0.0,-,5,0,58.01,694
1,RF220121C00013000,2020-02-21 1:49PM EST,13.0,3.74,2.17,2.79,0.0,-,14,168,24.56,694
2,RF220121C00015000,2020-02-26 1:58PM EST,15.0,1.6,1.51,1.97,-0.23,-12.57%,26,116,26.44,694
3,RF220121C00017000,2020-02-25 3:55PM EST,17.0,1.06,0.46,1.23,-0.02,-1.85%,10,279,25.59,694
4,RF220121C00020000,2020-02-05 1:21PM EST,20.0,0.78,0.43,0.57,0.0,-,10,0,24.78,694
5,RF220121C00022000,2019-12-16 10:38AM EST,22.0,0.71,0.0,1.5,0.0,-,1,0,42.73,694
6,RF220121C00025000,2020-02-26 11:35AM EST,25.0,0.2,0.11,0.18,-0.01,-4.76%,41,92,25.29,694
7,RF220121C00027000,2020-02-26 1:14PM EST,27.0,0.1,0.0,0.52,-0.03,-23.08%,57,0,36.23,694
8,RF220121C00030000,2020-02-26 1:06PM EST,30.0,0.07,0.07,0.13,-0.03,-30.00%,83,431,29.4,694
