,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,RHI200320P00040000,2019-11-11 3:55PM EST,40.0,0.32,0.0,0.5,0.0,-,1,0,71.39,22
1,RHI200320P00045000,2019-12-17 9:31AM EST,45.0,0.25,0.0,3.1,0.0,-,1,0,86.82,22
2,RHI200320P00050000,2020-02-25 2:08PM EST,50.0,0.7,0.85,0.95,0.0,-,3,41,37.55,22
3,RHI200320P00055000,2020-02-24 11:41AM EST,55.0,2.5,2.35,3.3,0.0,-,25,0,33.06,22
4,RHI200320P00060000,2020-02-21 10:48AM EST,60.0,2.23,6.1,7.8,0.0,-,3,0,43.16,22
6,RHI200320P00075000,2020-02-05 9:37AM EST,75.0,14.54,20.1,24.7,0.0,-,7,0,149.02,22
0,RHI200417P00055000,2020-02-25 6:45PM EST,55.0,1.95,2.75,3.2,0.0,-,-,-,21.05,50
0,RHI200619P00040000,2020-01-30 2:46PM EST,40.0,0.25,0.3,0.5,0.0,-,20,0,38.82,113
1,RHI200619P00045000,2020-02-24 10:28AM EST,45.0,0.5,0.95,1.3,0.0,-,1,5,36.67,113
2,RHI200619P00050000,2020-02-21 9:56AM EST,50.0,0.85,2.3,2.55,0.0,-,1,40,32.15,113
4,RHI200619P00060000,2020-02-24 2:08PM EST,60.0,5.51,7.9,8.5,0.0,-,22,0,28.81,113
0,RHI200918P00045000,2020-02-11 10:09AM EST,45.0,0.55,1.6,1.9,0.0,-,-,6,32.65,204
1,RHI200918P00050000,2020-02-10 12:11AM EST,50.0,1.5,3.2,3.5,0.0,-,10,0,30.43,204
2,RHI200918P00055000,2020-02-14 9:30AM EST,55.0,2.0,5.0,6.0,0.0,-,10,0,29.07,204
3,RHI200918P00060000,2020-02-10 12:11AM EST,60.0,4.1,9.0,9.5,0.0,-,-,10,29.18,204
