,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,RJF200320C00080000,2020-01-31 10:12AM EST,80.0,12.47,10.6,11.6,0.0,-,-,1,50.0,22
1,RJF200320C00085000,2020-02-03 1:05PM EST,85.0,8.5,6.3,7.0,0.0,-,1,0,38.67,22
2,RJF200320C00087500,2020-02-21 3:39PM EST,87.5,10.4,4.3,5.1,0.0,-,1,1,36.13,22
3,RJF200320C00090000,2020-02-06 11:47AM EST,90.0,5.8,3.1,3.5,0.0,-,1,0,34.28,22
4,RJF200320C00092500,2020-02-26 1:19PM EST,92.5,2.15,1.8,2.1,-1.15,-34.85%,10,309,31.32,22
5,RJF200320C00095000,2020-02-25 3:51PM EST,95.0,1.4,0.9,1.25,0.0,-,18,87,30.84,22
6,RJF200320C00097500,2020-02-25 9:52AM EST,97.5,0.95,0.4,0.65,0.0,-,1,283,29.76,22
7,RJF200320C00100000,2020-02-24 2:55PM EST,100.0,0.6,0.2,0.35,0.0,-,144,0,29.98,22
8,RJF200320C00105000,2020-02-20 3:54PM EST,105.0,0.85,0.05,0.2,0.0,-,12,0,35.55,22
9,RJF200320C00110000,2020-02-19 2:17PM EST,110.0,0.15,0.0,0.35,0.0,-,-,0,49.51,22
10,RJF200320C00115000,2020-02-05 12:24PM EST,115.0,0.01,0.0,0.8,0.0,-,-,0,59.57,22
0,RJF200417C00090000,2020-02-25 2:39PM EST,90.0,4.3,4.5,4.8,0.0,-,-,-,32.89,50
1,RJF200417C00092500,2020-02-25 1:46PM EST,92.5,3.4,3.1,3.4,0.0,-,-,-,30.93,50
2,RJF200417C00097500,2020-02-24 11:03AM EST,97.5,1.9,1.2,1.4,0.0,-,-,-,27.61,50
3,RJF200417C00100000,2020-02-25 12:24PM EST,100.0,1.05,0.65,0.85,0.0,-,-,-,26.83,50
0,RJF200515C00075000,2020-01-16 11:29AM EST,75.0,20.9,22.2,26.5,0.0,-,2,1,99.9,78
1,RJF200515C00080000,2020-01-23 10:03AM EST,80.0,11.65,17.4,18.9,0.0,-,8,39,76.36,78
2,RJF200515C00085000,2020-02-25 2:48PM EST,85.0,8.9,7.8,8.6,0.0,-,7,0,32.39,78
3,RJF200515C00087500,2020-02-18 10:49AM EST,87.5,12.63,5.9,6.9,0.0,-,47,0,31.14,78
4,RJF200515C00090000,2020-02-24 2:54PM EST,90.0,6.93,4.6,5.4,0.0,-,25,0,30.08,78
5,RJF200515C00092500,2020-02-24 2:58PM EST,92.5,5.55,3.4,4.0,0.0,-,15,0,28.5,78
6,RJF200515C00095000,2020-02-25 2:27PM EST,95.0,3.0,2.55,2.8,0.0,-,59,0,26.88,78
7,RJF200515C00097500,2020-02-24 9:58AM EST,97.5,2.05,1.7,2.1,0.0,-,10,0,27.14,78
8,RJF200515C00100000,2020-02-26 12:39PM EST,100.0,1.3,1.1,1.35,-0.5,-27.78%,50,0,25.81,78
9,RJF200515C00105000,2020-02-21 1:38PM EST,105.0,1.05,0.45,0.65,0.0,-,6,0,25.94,78
10,RJF200515C00110000,2020-02-21 12:38PM EST,110.0,0.45,0.15,0.3,0.0,-,3,0,26.22,78
11,RJF200515C00115000,2020-02-20 2:26PM EST,115.0,0.3,0.0,0.75,0.0,-,1,0,37.87,78
0,RJF200821C00075000,2020-02-10 10:38AM EST,75.0,20.05,16.7,18.1,0.0,-,4,0,34.6,176
1,RJF200821C00080000,2020-01-23 10:03AM EST,80.0,12.65,18.7,19.3,0.0,-,-,8,55.04,176
2,RJF200821C00085000,2019-12-30 11:19AM EST,85.0,9.0,9.7,10.4,0.0,-,-,51,29.6,176
3,RJF200821C00087500,2020-01-15 10:47AM EST,87.5,10.0,13.6,14.0,0.0,-,-,50,50.07,176
4,RJF200821C00090000,2019-12-24 12:26PM EST,90.0,6.3,6.2,7.3,0.0,-,-,2,27.75,176
5,RJF200821C00092500,2020-01-24 10:56AM EST,92.5,4.99,11.6,12.1,0.0,-,12,0,50.25,176
6,RJF200821C00095000,2020-02-24 2:54PM EST,95.0,5.79,3.9,4.6,0.0,-,25,94,25.35,176
7,RJF200821C00097500,2020-02-05 11:42AM EST,97.5,5.2,3.2,3.6,0.0,-,100,98,24.67,176
8,RJF200821C00100000,2020-02-21 3:51PM EST,100.0,5.1,2.45,2.9,0.0,-,21,0,24.67,176
9,RJF200821C00105000,2020-02-19 1:13PM EST,105.0,4.1,1.35,1.7,0.0,-,18,0,23.95,176
