,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,RJF200320P00080000,2020-01-23 9:57AM EST,80.0,0.4,0.0,0.0,0.0,-,-,0,12.5,22
1,RJF200320P00082500,2020-01-30 2:59PM EST,82.5,0.5,0.65,0.9,0.0,-,-,12,40.67,22
2,RJF200320P00085000,2020-02-26 9:59AM EST,85.0,0.9,1.0,1.25,0.26,+40.62%,2,1064,37.21,22
3,RJF200320P00087500,2020-02-26 11:49AM EST,87.5,1.1,1.5,1.8,0.6,+120.00%,1,0,34.3,22
4,RJF200320P00090000,2020-02-26 9:59AM EST,90.0,2.1,2.4,2.75,0.65,+44.83%,2,34,33.15,22
5,RJF200320P00092500,2020-02-25 12:40PM EST,92.5,3.02,3.6,4.1,0.67,+28.51%,5,20,32.94,22
6,RJF200320P00095000,2020-02-24 9:58AM EST,95.0,3.2,5.1,6.0,0.0,-,1,57,35.69,22
7,RJF200320P00097500,2020-02-21 11:50AM EST,97.5,2.15,6.9,8.1,0.0,-,3,0,38.57,22
8,RJF200320P00100000,2020-02-20 11:03AM EST,100.0,1.35,8.9,10.5,0.0,-,6,49,44.12,22
9,RJF200320P00105000,2020-02-21 1:36PM EST,105.0,7.7,13.4,15.8,0.0,-,1,0,61.38,22
0,RJF200417P00090000,2020-02-25 12:44PM EST,90.0,3.2,2.9,3.1,0.0,-,-,-,25.11,50
1,RJF200417P00092500,2020-02-25 10:46AM EST,92.5,3.6,4.0,4.3,0.0,-,-,-,23.88,50
0,RJF200515P00065000,2020-02-21 3:25PM EST,65.0,0.75,0.0,0.75,0.0,-,5,0,52.3,78
1,RJF200515P00070000,2020-02-14 10:24AM EST,70.0,0.18,0.45,0.6,0.0,-,4,0,40.53,78
2,RJF200515P00075000,2020-01-21 3:18PM EST,75.0,0.4,0.0,0.0,0.0,-,1,0,12.5,78
3,RJF200515P00077500,2020-02-14 10:24AM EST,77.5,0.39,1.15,1.4,0.0,-,4,0,36.59,78
4,RJF200515P00080000,2020-02-11 10:08AM EST,80.0,0.6,1.5,1.8,0.0,-,76,0,35.11,78
5,RJF200515P00082500,2020-02-11 10:09AM EST,82.5,1.95,1.9,2.3,1.15,+143.75%,5,0,33.63,78
6,RJF200515P00085000,2020-02-21 12:37PM EST,85.0,1.85,2.5,2.85,0.0,-,3,0,31.69,78
7,RJF200515P00087500,2020-02-26 12:07PM EST,87.5,3.2,3.3,3.8,-0.1,-3.03%,5,0,31.43,78
8,RJF200515P00090000,2020-02-25 3:46PM EST,90.0,4.0,4.3,4.8,-0.1,-2.44%,9,0,30.36,78
9,RJF200515P00092500,2020-02-21 3:55PM EST,92.5,2.7,5.4,6.0,0.0,-,6,0,29.37,78
10,RJF200515P00095000,2020-02-24 12:53PM EST,95.0,5.8,6.8,7.4,0.0,-,61,0,28.41,78
11,RJF200515P00097500,2020-02-11 11:37AM EST,97.5,8.1,8.6,9.4,0.0,-,10,0,30.1,78
12,RJF200515P00100000,2020-02-18 12:10AM EST,100.0,4.4,10.4,11.3,0.0,-,14,0,30.26,78
0,RJF200821P00060000,2020-02-24 11:01AM EST,60.0,0.35,0.15,0.9,0.0,-,-,-,43.6,176
1,RJF200821P00075000,2020-02-25 11:28AM EST,75.0,1.75,1.85,2.15,0.0,-,2,58,32.78,176
2,RJF200821P00080000,2020-02-26 10:17AM EST,80.0,2.6,2.85,3.1,0.85,+48.57%,15,0,30.42,176
3,RJF200821P00082500,2020-02-07 12:30PM EST,82.5,2.4,3.4,3.8,0.0,-,1,0,29.71,176
4,RJF200821P00087500,2020-01-23 11:36AM EST,87.5,4.62,2.85,3.1,0.0,-,-,0,18.15,176
5,RJF200821P00090000,2020-02-26 11:23AM EST,90.0,5.3,6.0,6.8,0.32,+6.43%,1,0,28.35,176
6,RJF200821P00092500,2020-01-22 3:03PM EST,92.5,4.06,4.3,4.5,0.0,-,1,3,13.72,176
7,RJF200821P00095000,2020-02-19 3:46PM EST,95.0,3.8,8.4,9.2,0.0,-,2,0,26.36,176
8,RJF200821P00100000,2020-02-07 9:30AM EST,100.0,9.3,11.7,12.8,0.0,-,3,0,27.09,176
9,RJF200821P00105000,2020-02-04 12:24PM EST,105.0,12.3,15.6,16.7,0.0,-,1,1,27.32,176
0,RJF201120P00070000,2020-01-23 10:13AM EST,70.0,1.6,1.1,1.3,0.0,-,-,1,27.52,267
1,RJF201120P00075000,2020-02-10 10:41AM EST,75.0,1.93,2.65,3.3,0.0,-,10,21,32.12,267
2,RJF201120P00080000,2020-02-05 11:08AM EST,80.0,2.4,3.3,4.0,0.0,-,5,41,28.36,267
3,RJF201120P00085000,2020-01-29 11:51AM EST,85.0,4.5,5.3,6.0,0.0,-,11,11,28.44,267
