,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,RL200228P00100000,2020-02-26 11:35AM EST,100.0,0.27,0.8,1.0,0.02,+8.00%,10,12,50.68,1
1,RL200228P00103000,2020-02-25 3:59PM EST,103.0,2.45,0.95,1.15,0.0,-,-,-,21.78,1
2,RL200228P00104000,2020-02-25 3:20PM EST,104.0,2.57,2.45,2.65,0.0,-,14,9,46.29,1
4,RL200228P00106000,2020-02-25 11:52AM EST,106.0,1.4,3.8,4.0,0.0,-,23,10,41.99,1
5,RL200228P00107000,2020-02-25 3:20PM EST,107.0,4.43,4.6,5.0,0.0,-,12,11,48.83,1
6,RL200228P00108000,2020-02-24 1:15PM EST,108.0,1.5,5.3,6.8,0.0,-,2,10,57.62,1
7,RL200228P00109000,2020-02-26 11:00AM EST,109.0,4.57,6.4,6.8,-1.13,-19.82%,1,117,50.39,1
8,RL200228P00110000,2020-02-24 11:43AM EST,110.0,1.95,6.4,9.7,0.0,-,5,0,70.22,1
9,RL200228P00111000,2020-02-21 11:26AM EST,111.0,0.4,7.1,10.1,0.0,-,2,0,118.26,1
10,RL200228P00112000,2020-02-21 1:30PM EST,112.0,0.5,7.6,11.7,0.0,-,3,3,145.7,1
11,RL200228P00113000,2020-02-24 1:26PM EST,113.0,4.42,9.4,12.9,0.0,-,4,7,92.97,1
12,RL200228P00114000,2020-02-21 3:40PM EST,114.0,1.05,10.5,13.9,0.0,-,1,4,101.17,1
13,RL200228P00115000,2020-02-24 1:26PM EST,115.0,11.71,11.2,14.8,5.61,+91.97%,1,0,95.41,1
14,RL200228P00116000,2020-02-24 10:40AM EST,116.0,6.2,12.3,15.9,0.0,-,3,20,106.74,1
15,RL200228P00117000,2020-02-24 11:03AM EST,117.0,6.8,13.3,16.6,0.0,-,11,35,102.15,1
16,RL200228P00118000,2020-02-20 3:21PM EST,118.0,0.9,14.2,17.8,0.0,-,13,0,110.55,1
17,RL200228P00119000,2020-02-24 10:39AM EST,119.0,8.8,14.6,19.0,0.0,-,3,38,98.83,1
18,RL200228P00120000,2020-02-20 3:51PM EST,120.0,1.4,15.4,19.8,0.0,-,14,0,203.03,1
19,RL200228P00121000,2020-02-20 3:59PM EST,121.0,1.65,16.5,20.9,0.0,-,2,17,94.14,1
20,RL200228P00122000,2020-02-21 9:46AM EST,122.0,3.6,17.5,21.9,0.0,-,1,8,98.05,1
21,RL200228P00123000,2020-02-13 3:48PM EST,123.0,2.65,18.4,23.0,0.0,-,-,0,101.56,1
22,RL200228P00125000,2020-02-07 2:05PM EST,125.0,6.4,20.4,24.9,0.0,-,60,0,96.88,1
23,RL200228P00130000,2020-02-14 11:21AM EST,130.0,9.4,25.4,29.8,0.0,-,-,0,259.57,1
0,RL200306P00085000,2020-02-03 2:40PM EST,85.0,0.29,0.0,0.45,0.0,-,-,15,68.65,8
1,RL200306P00095000,2020-01-29 10:49AM EST,95.0,0.83,0.8,1.05,0.0,-,-,3,52.59,8
2,RL200306P00100000,2020-02-04 11:38AM EST,100.0,0.24,2.0,2.25,0.0,-,1,0,49.54,8
3,RL200306P00101000,2020-02-26 9:43AM EST,101.0,1.6,1.55,1.75,-0.5,-23.81%,6,-,35.45,8
4,RL200306P00102000,2020-02-26 9:36AM EST,102.0,1.9,1.85,2.1,-1.49,-43.95%,2,-,33.94,8
5,RL200306P00103000,2020-02-26 10:40AM EST,103.0,2.3,3.3,3.5,-0.9,-28.13%,7,34,47.0,8
6,RL200306P00104000,2020-02-26 9:43AM EST,104.0,2.65,3.7,4.1,-1.08,-28.95%,5,11,47.44,8
7,RL200306P00105000,2020-02-26 9:43AM EST,105.0,3.1,3.1,3.4,1.55,+100.00%,2,-,26.32,8
8,RL200306P00106000,2020-02-25 11:44AM EST,106.0,2.65,4.9,5.3,0.0,-,13,18,46.14,8
9,RL200306P00107000,2020-02-25 3:20PM EST,107.0,5.41,5.5,6.0,0.0,-,8,7,45.97,8
10,RL200306P00108000,2020-02-24 11:33AM EST,108.0,2.2,6.2,7.0,0.0,-,5,0,50.46,8
11,RL200306P00109000,2020-02-21 3:55PM EST,109.0,2.5,7.0,7.9,0.0,-,2,0,52.93,8
12,RL200306P00110000,2020-02-24 11:28AM EST,110.0,7.3,7.6,8.3,0.0,-,5,0,44.63,8
13,RL200306P00111000,2020-02-24 2:10PM EST,111.0,3.7,8.3,9.8,0.0,-,-,1,58.94,8
14,RL200306P00112000,2020-02-14 10:23AM EST,112.0,0.7,9.6,10.5,0.0,-,2,0,56.25,8
15,RL200306P00113000,2020-02-26 10:04AM EST,113.0,8.51,9.6,12.9,7.26,+580.80%,5,9,53.61,8
16,RL200306P00114000,2020-02-21 3:54PM EST,114.0,5.18,10.9,12.9,0.0,-,4,0,72.02,8
17,RL200306P00115000,2020-02-25 2:21PM EST,115.0,10.9,11.7,14.9,0.0,-,20,26,61.28,8
18,RL200306P00116000,2020-02-25 2:21PM EST,116.0,11.79,12.8,15.0,0.0,-,20,25,51.27,8
19,RL200306P00117000,2020-02-24 9:34AM EST,117.0,5.6,13.5,16.2,0.0,-,1,4,51.76,8
20,RL200306P00118000,2020-02-19 1:27PM EST,118.0,2.2,14.3,17.4,0.0,-,1,0,54.3,8
21,RL200306P00119000,2020-02-20 2:36PM EST,119.0,1.9,15.2,18.4,0.0,-,4,9,54.1,8
22,RL200306P00120000,2020-02-20 2:36PM EST,120.0,2.25,15.4,20.0,0.0,-,3,7,115.14,8
23,RL200306P00121000,2020-02-20 3:54PM EST,121.0,2.45,16.5,21.0,0.0,-,5,0,55.57,8
24,RL200306P00122000,2020-02-18 9:55AM EST,122.0,2.95,17.4,22.0,0.0,-,2,3,53.71,8
25,RL200306P00123000,2020-02-18 12:11AM EST,123.0,3.5,18.4,22.9,0.0,-,-,0,123.14,8
26,RL200306P00124000,2020-02-18 12:11AM EST,124.0,4.1,19.6,23.8,0.0,-,-,0,57.81,8
27,RL200306P00126000,2020-02-05 2:56PM EST,126.0,5.9,21.3,25.9,0.0,-,-,0,132.52,8
0,RL200313P00100000,2020-02-25 11:01AM EST,100.0,2.35,2.65,3.1,1.0,+74.07%,2,4,48.07,15
1,RL200313P00101000,2020-02-24 3:29PM EST,101.0,1.15,3.0,3.5,0.0,-,1,0,47.51,15
2,RL200313P00102000,2020-02-26 10:27AM EST,102.0,2.55,2.4,2.7,0.75,+41.67%,4,-,32.86,15
3,RL200313P00103000,2020-02-24 12:13PM EST,103.0,1.5,2.8,3.1,0.0,-,-,-,31.49,15
4,RL200313P00104000,2020-02-26 9:35AM EST,104.0,3.8,3.2,3.6,-0.7,-15.56%,2,-,30.62,15
5,RL200313P00105000,2020-02-24 12:13PM EST,105.0,3.9,5.0,5.3,1.9,+95.00%,10,13,43.21,15
6,RL200313P00107000,2020-02-24 1:12PM EST,107.0,2.77,5.9,6.7,0.0,-,3,0,44.14,15
7,RL200313P00108000,2020-02-24 2:29PM EST,108.0,2.8,6.5,8.6,0.0,-,-,2,58.94,15
8,RL200313P00109000,2020-02-25 1:16PM EST,109.0,5.25,7.5,8.5,0.0,-,10,6,48.76,15
10,RL200313P00111000,2020-02-04 10:22AM EST,111.0,4.1,9.0,10.1,0.0,-,2,3,49.68,15
11,RL200313P00112000,2020-02-14 11:31AM EST,112.0,1.05,9.7,11.4,0.0,-,-,3,57.03,15
12,RL200313P00113000,2020-02-24 10:26AM EST,113.0,5.5,10.7,11.9,0.0,-,1,0,52.49,15
13,RL200313P00114000,2020-02-18 11:19AM EST,114.0,1.19,11.6,13.2,0.0,-,5,7,59.94,15
14,RL200313P00115000,2020-02-21 2:42PM EST,115.0,10.78,12.2,13.7,8.33,+340.00%,10,0,54.54,15
15,RL200313P00116000,2020-02-19 1:28PM EST,116.0,1.6,11.6,16.2,0.0,-,-,0,80.13,15
16,RL200313P00117000,2020-02-21 11:23AM EST,117.0,3.14,13.2,17.2,0.0,-,1,4,83.01,15
17,RL200313P00118000,2020-02-20 2:33PM EST,118.0,2.15,13.5,18.0,0.0,-,3,8,82.96,15
18,RL200313P00119000,2020-02-18 9:55AM EST,119.0,2.3,14.6,19.0,0.0,-,1,0,85.67,15
19,RL200313P00120000,2020-02-19 9:42AM EST,120.0,3.4,15.6,19.7,0.0,-,2,5,83.76,15
20,RL200313P00121000,2020-02-20 10:13AM EST,121.0,2.9,16.5,20.9,0.0,-,1,0,89.4,15
21,RL200313P00122000,2020-02-18 9:55AM EST,122.0,4.0,17.5,21.9,0.0,-,4,0,91.94,15
22,RL200313P00123000,2020-02-14 9:54AM EST,123.0,5.1,18.3,22.8,0.0,-,-,6,92.87,15
23,RL200313P00124000,2020-02-05 10:54AM EST,124.0,4.4,19.3,23.9,0.0,-,-,2,96.88,15
0,RL200320P00080000,2020-02-25 3:54PM EST,80.0,0.27,0.1,0.3,0.0,-,3,3,54.69,22
1,RL200320P00085000,2020-02-25 3:05PM EST,85.0,0.5,0.4,0.55,0.0,-,10,27,52.44,22
2,RL200320P00090000,2020-02-25 3:54PM EST,90.0,0.65,0.8,1.05,-0.39,-37.50%,2,0,50.64,22
3,RL200320P00095000,2020-02-26 11:21AM EST,95.0,1.1,1.65,1.9,0.18,+19.57%,10,37,46.61,22
4,RL200320P00100000,2020-02-26 11:21AM EST,100.0,2.15,3.1,3.4,-1.25,-36.76%,4,65,43.43,22
5,RL200320P00105000,2020-02-26 10:33AM EST,105.0,4.2,5.4,5.9,-0.7,-14.29%,2,0,42.21,22
6,RL200320P00106000,2020-02-26 11:01AM EST,106.0,4.75,6.0,6.4,-0.25,-5.00%,9,11,40.92,22
7,RL200320P00107000,2020-02-26 10:29AM EST,107.0,5.4,5.3,5.6,1.12,+26.17%,2,-,25.12,22
8,RL200320P00108000,2020-02-25 11:34AM EST,108.0,4.4,5.8,6.1,0.0,-,-,-,21.14,22
9,RL200320P00109000,2020-02-24 2:39PM EST,109.0,4.1,8.0,8.5,0.0,-,2,7,41.04,22
10,RL200320P00110000,2020-02-25 10:40AM EST,110.0,5.45,8.7,9.2,0.0,-,1,66,40.41,22
13,RL200320P00115000,2020-02-26 12:34PM EST,115.0,12.19,12.6,13.6,0.25,+2.09%,11,0,44.41,22
14,RL200320P00120000,2020-02-26 12:34PM EST,120.0,16.5,16.3,19.2,0.5,+3.12%,2,126,63.72,22
15,RL200320P00125000,2020-02-25 1:31PM EST,125.0,19.45,20.7,24.9,0.0,-,1,0,83.57,22
16,RL200320P00130000,2020-02-14 12:19PM EST,130.0,18.57,25.6,29.9,0.0,-,1,0,93.19,22
17,RL200320P00135000,2020-02-24 9:51AM EST,135.0,27.06,30.2,34.9,0.0,-,1,0,102.12,22
0,RL200327P00100000,2020-02-26 11:35AM EST,100.0,3.5,3.7,4.1,1.65,+89.19%,11,0,44.3,29
1,RL200327P00105000,2020-02-25 12:09PM EST,105.0,5.46,5.7,6.6,1.61,+41.82%,2,13,43.09,29
2,RL200327P00110000,2020-02-25 12:09PM EST,110.0,6.3,9.3,10.7,0.0,-,1,10,49.98,29
3,RL200327P00111000,2020-02-21 11:33AM EST,111.0,7.2,9.6,11.0,0.0,-,2,7,45.92,29
4,RL200327P00112000,2020-02-26 10:04AM EST,112.0,9.2,10.1,11.8,7.35,+397.30%,5,1,46.34,29
5,RL200327P00113000,2020-02-21 11:51AM EST,113.0,2.95,9.8,14.0,0.0,-,3,5,60.33,29
6,RL200327P00114000,2020-02-24 10:35AM EST,114.0,6.94,10.5,14.9,0.0,-,10,2,61.77,29
7,RL200327P00115000,2020-02-19 5:28PM EST,115.0,2.65,11.5,16.0,0.0,-,-,0,65.05,29
8,RL200327P00116000,2020-02-21 10:08AM EST,116.0,3.2,12.1,16.1,0.0,-,3,0,58.33,29
9,RL200327P00117000,2020-02-18 3:50PM EST,117.0,3.02,13.1,17.7,0.0,-,3,19,66.58,29
10,RL200327P00118000,2020-02-18 2:26PM EST,118.0,3.8,14.0,18.7,0.0,-,2,0,68.71,29
11,RL200327P00119000,2020-02-24 10:35AM EST,119.0,10.42,15.0,19.8,0.0,-,10,10,71.83,29
12,RL200327P00120000,2020-02-18 2:26PM EST,120.0,3.9,16.0,20.6,0.0,-,2,0,71.83,29
13,RL200327P00121000,2020-02-18 9:41AM EST,121.0,4.3,17.0,21.4,0.0,-,2,8,71.7,29
14,RL200327P00122000,2020-02-18 12:11AM EST,122.0,4.9,17.8,22.5,0.0,-,-,0,74.71,29
15,RL200327P00123000,2020-02-10 1:28PM EST,123.0,6.4,18.6,23.3,0.0,-,22,30,74.44,29
16,RL200327P00124000,2020-02-10 3:30PM EST,124.0,7.0,20.0,24.3,0.0,-,-,13,76.31,29
17,RL200327P00125000,2020-02-12 11:39AM EST,125.0,6.0,21.0,25.3,0.0,-,8,16,78.13,29
18,RL200327P00126000,2020-02-18 12:11AM EST,126.0,8.6,21.5,26.3,0.0,-,-,0,79.93,29
19,RL200327P00130000,2020-02-18 12:11AM EST,130.0,11.5,26.0,30.2,0.0,-,-,0,53.52,29
20,RL200327P00132000,2020-02-18 12:11AM EST,132.0,13.3,27.5,32.4,0.0,-,-,0,52.0,29
0,RL200403P00090000,2020-02-26 11:22AM EST,90.0,1.0,1.45,1.65,-0.15,-13.04%,2,1,47.62,36
1,RL200403P00109000,2020-02-24 10:38AM EST,109.0,4.7,8.7,9.7,0.0,-,2,0,42.73,36
2,RL200403P00110000,2020-02-18 12:11AM EST,110.0,5.3,7.9,11.3,0.0,-,2,0,50.05,36
