,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,ROK200320C00145000,2020-02-19 5:30PM EST,145.0,55.2,49.3,52.0,0.0,-,-,0,55.18,22
1,ROK200320C00160000,2020-02-13 3:08PM EST,160.0,42.42,35.2,37.7,0.0,-,-,0,56.15,22
2,ROK200320C00170000,2020-02-14 10:27AM EST,170.0,30.5,26.0,27.5,0.0,-,4,4,53.42,22
3,ROK200320C00175000,2020-02-10 9:46AM EST,175.0,27.6,21.9,22.8,0.0,-,2,0,48.12,22
4,ROK200320C00180000,2020-02-05 10:40AM EST,180.0,24.3,17.5,18.4,0.0,-,2,11,44.26,22
5,ROK200320C00185000,2020-02-05 10:41AM EST,185.0,19.8,13.4,14.2,0.0,-,1,17,40.41,22
6,ROK200320C00190000,2020-02-26 9:43AM EST,190.0,13.0,9.7,10.0,-2.9,-18.24%,2,20,35.02,22
7,ROK200320C00195000,2020-02-26 1:58PM EST,195.0,6.78,6.7,7.2,-2.02,-22.95%,5,0,34.79,22
8,ROK200320C00200000,2020-02-26 11:04AM EST,200.0,6.57,4.3,4.7,1.17,+21.67%,1,0,33.19,22
9,ROK200320C00210000,2020-02-26 11:51AM EST,210.0,2.25,1.25,1.7,-0.08,-3.43%,13,0,31.59,22
10,ROK200320C00220000,2020-02-26 12:08PM EST,220.0,0.6,0.4,0.7,0.0,-,3,0,33.62,22
11,ROK200320C00230000,2020-02-25 2:20PM EST,230.0,0.25,0.0,0.25,0.0,-,18,104,34.67,22
12,ROK200320C00240000,2020-02-21 12:52PM EST,240.0,0.1,0.0,0.25,0.0,-,3,19,41.85,22
13,ROK200320C00250000,2020-01-28 11:04AM EST,250.0,0.15,0.0,0.15,0.0,-,-,16,44.92,22
0,ROK200417C00105000,2020-02-18 12:13AM EST,105.0,97.62,88.3,92.5,0.0,-,-,-,113.79,50
1,ROK200417C00110000,2020-02-18 12:13AM EST,110.0,92.41,83.7,88.1,0.0,-,-,-,77.59,50
2,ROK200417C00115000,2020-02-13 3:21PM EST,115.0,87.48,79.0,83.1,0.0,-,11,0,76.27,50
3,ROK200417C00150000,2020-02-13 3:14PM EST,150.0,52.4,44.7,48.8,0.0,-,100,0,50.78,50
4,ROK200417C00155000,2020-02-13 3:20PM EST,155.0,46.9,40.1,42.9,0.0,-,3,0,55.1,50
5,ROK200417C00160000,2019-12-06 10:19AM EST,160.0,41.0,45.2,47.4,0.0,-,5,0,92.6,50
7,ROK200417C00170000,2020-01-30 12:37PM EST,170.0,35.0,27.1,28.8,0.0,-,3,0,43.6,50
8,ROK200417C00175000,2019-12-10 11:54AM EST,175.0,29.55,31.7,32.4,0.0,-,2,0,72.58,50
9,ROK200417C00180000,2020-02-26 12:01PM EST,180.0,23.05,19.6,20.7,-1.45,-5.92%,1,0,40.02,50
10,ROK200417C00185000,2020-02-12 11:57AM EST,185.0,21.41,15.8,16.8,0.0,-,4,0,37.54,50
11,ROK200417C00190000,2020-02-04 11:32AM EST,190.0,18.7,12.3,13.1,0.0,-,1,0,34.86,50
12,ROK200417C00195000,2020-02-21 12:01PM EST,195.0,17.03,9.4,10.2,0.0,-,1,48,33.86,50
13,ROK200417C00200000,2020-02-26 1:58PM EST,200.0,6.8,7.1,7.5,-1.0,-12.82%,12,470,32.2,50
14,ROK200417C00210000,2020-02-25 3:55PM EST,210.0,3.7,3.2,3.7,0.0,-,96,0,30.12,50
15,ROK200417C00220000,2020-02-24 1:49PM EST,220.0,1.8,1.35,1.65,0.05,+2.86%,2,0,29.15,50
16,ROK200417C00230000,2020-02-24 2:12PM EST,230.0,0.95,0.2,1.0,0.0,-,4,0,31.56,50
17,ROK200417C00240000,2020-02-24 2:12PM EST,240.0,0.45,0.1,0.45,0.0,-,3,0,31.59,50
18,ROK200417C00250000,2020-01-29 1:46PM EST,250.0,0.2,0.0,0.75,0.0,-,2,3,40.31,50
19,ROK200417C00260000,2020-01-24 11:57AM EST,260.0,0.13,0.0,2.15,0.0,-,-,0,57.47,50
0,ROK200717C00150000,2019-12-09 12:01AM EST,150.0,48.11,55.3,56.9,0.0,-,-,0,64.75,141
1,ROK200717C00155000,2019-12-19 10:04AM EST,155.0,51.7,50.3,51.5,0.0,-,3,0,59.41,141
2,ROK200717C00165000,2020-02-03 9:42AM EST,165.0,32.4,34.5,35.3,0.0,-,-,0,34.59,141
3,ROK200717C00170000,2020-02-25 11:53AM EST,170.0,34.9,30.3,31.3,0.0,-,3,0,33.59,141
4,ROK200717C00175000,2020-01-14 12:40PM EST,175.0,34.02,28.3,29.0,0.0,-,1,1,36.42,141
5,ROK200717C00180000,2019-12-09 12:01AM EST,180.0,25.9,30.0,30.9,0.0,-,-,0,47.76,141
6,ROK200717C00185000,2020-02-20 12:02PM EST,185.0,24.09,19.2,21.0,0.0,-,3,0,32.0,141
7,ROK200717C00190000,2020-02-03 11:29AM EST,190.0,15.1,16.3,17.3,0.0,-,2,0,29.92,141
8,ROK200717C00195000,2020-02-03 11:29AM EST,195.0,12.4,13.4,14.5,0.0,-,2,0,29.26,141
9,ROK200717C00200000,2020-02-25 11:01AM EST,200.0,13.8,11.1,11.8,0.9,+6.98%,7,92,28.25,141
10,ROK200717C00210000,2020-02-26 11:55AM EST,210.0,9.0,7.4,8.0,0.17,+1.93%,19,251,27.85,141
11,ROK200717C00220000,2020-02-25 12:20PM EST,220.0,5.7,4.5,4.8,0.3,+5.56%,22,0,26.47,141
12,ROK200717C00230000,2020-02-21 3:36PM EST,230.0,2.95,2.4,2.95,-1.65,-35.87%,1,0,26.22,141
13,ROK200717C00240000,2020-02-26 12:59PM EST,240.0,1.7,1.25,2.3,-0.13,-7.10%,1,17,28.15,141
14,ROK200717C00250000,2020-01-30 12:26PM EST,250.0,0.45,0.65,1.2,0.0,-,1,0,26.95,141
