,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,ROL200320C00030000,2020-02-24 2:54PM EST,30.0,9.8,8.1,10.4,0.0,-,2,0,78.13,22
1,ROL200320C00035000,2020-02-24 2:55PM EST,35.0,4.6,3.8,4.3,0.0,-,4,0,42.97,22
2,ROL200320C00040000,2020-02-26 10:46AM EST,40.0,0.61,0.35,0.55,0.11,+22.00%,1,137,24.56,22
3,ROL200320C00045000,2020-02-12 10:27AM EST,45.0,0.3,0.0,0.1,0.0,-,2,0,36.23,22
1,ROL200515C00025000,2020-01-22 3:02PM EST,25.0,11.37,14.9,16.4,0.0,-,3,0,110.25,78
2,ROL200515C00030000,2020-02-06 9:59AM EST,30.0,9.3,8.4,9.3,0.0,-,2,0,44.58,78
3,ROL200515C00035000,2020-02-25 3:21PM EST,35.0,4.7,4.4,4.7,0.1,+2.17%,3,150,31.74,78
4,ROL200515C00040000,2020-02-24 12:16PM EST,40.0,1.3,1.2,1.35,-0.18,-12.16%,5,0,24.85,78
5,ROL200515C00045000,2020-02-25 2:37PM EST,45.0,0.2,0.15,0.25,0.0,-,13,0,24.85,78
0,ROL200821C00020000,2020-02-21 9:56AM EST,20.0,19.9,18.4,20.1,0.0,-,-,21,61.62,176
1,ROL200821C00025000,2020-02-21 9:56AM EST,25.0,15.1,13.4,15.1,0.0,-,21,22,63.94,176
2,ROL200821C00030000,2020-02-20 10:26AM EST,30.0,10.2,9.1,9.6,0.0,-,21,30,35.94,176
3,ROL200821C00035000,2020-02-19 11:23AM EST,35.0,5.0,4.7,5.3,0.0,-,1,0,28.37,176
4,ROL200821C00040000,2020-02-19 12:49PM EST,40.0,2.27,1.9,2.15,0.0,-,6,0,24.09,176
5,ROL200821C00045000,2020-02-25 11:56AM EST,45.0,0.65,0.4,0.7,0.0,-,16,128,23.34,176
