,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,ROP200320P00320000,2020-02-18 1:37PM EST,320.0,0.01,0.9,1.2,0.0,-,10,10,37.28,22
1,ROP200320P00330000,2020-02-24 1:14PM EST,330.0,1.58,1.5,2.1,0.0,-,5,31,35.83,22
2,ROP200320P00340000,2020-02-24 1:14PM EST,340.0,2.58,2.5,3.5,0.0,-,5,11,34.21,22
3,ROP200320P00350000,2020-02-25 1:30PM EST,350.0,3.8,4.1,5.3,0.0,-,2,52,31.47,22
4,ROP200320P00360000,2020-02-25 12:38PM EST,360.0,7.9,6.9,8.0,0.0,-,14,0,28.7,22
5,ROP200320P00370000,2020-02-25 3:39PM EST,370.0,12.7,10.7,13.5,0.0,-,2,0,29.97,22
6,ROP200320P00380000,2020-02-26 11:41AM EST,380.0,13.1,17.7,18.9,-2.6,-16.56%,2,0,26.95,22
7,ROP200320P00390000,2020-02-25 1:23PM EST,390.0,23.3,25.3,26.6,0.0,-,8,43,26.59,22
8,ROP200320P00400000,2020-02-25 12:27PM EST,400.0,30.29,33.7,38.3,0.0,-,4,4,39.83,22
0,ROP200417P00330000,2020-02-26 12:53PM EST,330.0,3.2,3.6,4.6,0.55,+20.75%,3,1,32.04,50
1,ROP200417P00340000,2020-02-25 11:14AM EST,340.0,3.9,3.4,3.9,0.0,-,-,-,24.29,50
2,ROP200417P00350000,2020-02-25 11:14AM EST,350.0,5.8,7.6,8.9,0.0,-,1,3,28.86,50
3,ROP200417P00360000,2020-02-26 1:21PM EST,360.0,10.2,10.7,12.1,1.4,+15.91%,4,2,27.14,50
4,ROP200417P00370000,2020-02-25 11:27AM EST,370.0,12.6,10.7,11.9,0.0,-,-,-,17.44,50
5,ROP200417P00380000,2020-02-25 12:21PM EST,380.0,18.11,14.9,16.7,0.0,-,-,-,13.5,50
6,ROP200417P00390000,2020-02-25 12:20PM EST,390.0,24.61,27.4,29.3,0.0,-,3,3,24.62,50
7,ROP200417P00400000,2020-02-25 12:27PM EST,400.0,32.19,34.5,39.1,0.0,-,3,3,29.05,50
0,ROP200515P00210000,2020-02-26 12:35PM EST,210.0,0.2,0.0,1.95,-0.9,-81.82%,10,0,63.4,78
1,ROP200515P00220000,2020-02-26 12:38PM EST,220.0,0.24,0.1,1.0,-1.61,-87.03%,15,0,53.47,78
2,ROP200515P00250000,2019-11-29 12:35PM EST,250.0,1.07,0.15,4.0,0.0,-,1,0,53.3,78
3,ROP200515P00260000,2019-11-22 1:41PM EST,260.0,2.15,0.0,3.5,0.0,-,8,9,55.42,78
4,ROP200515P00270000,2020-01-23 9:51AM EST,270.0,0.6,0.0,2.5,0.0,-,60,0,46.38,78
5,ROP200515P00280000,2019-12-02 2:18PM EST,280.0,3.1,1.35,1.6,0.0,-,5,0,37.72,78
6,ROP200515P00290000,2020-02-25 1:10PM EST,290.0,1.6,1.2,1.55,0.0,-,1,4,33.45,78
7,ROP200515P00300000,2019-11-15 12:15PM EST,300.0,5.5,4.2,4.7,0.0,-,1,1,40.28,78
8,ROP200515P00310000,2020-01-13 11:09AM EST,310.0,2.3,0.0,1.4,0.0,-,1,3,25.01,78
9,ROP200515P00320000,2020-02-25 11:21AM EST,320.0,3.5,4.3,5.1,0.0,-,2,4,31.75,78
