,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,ROST200320C00100000,2020-02-21 2:54PM EST,100.0,23.18,18.60,20.1,0.0,-,1,11,56.32,22
1,ROST200320C00105000,2020-02-10 10:27AM EST,105.0,13.5,14.00,15.3,0.0,-,3,0,47.63,22
2,ROST200320C00110000,2020-02-25 3:58PM EST,110.0,8.2,9.90,11.1,0.0,-,6,44,44.58,22
3,ROST200320C00115000,2020-02-25 3:59PM EST,115.0,5.5,6.40,7.4,0.0,-,12,284,41.66,22
4,ROST200320C00120000,2020-02-26 12:58PM EST,120.0,4.6,3.90,4.4,1.65,+55.93%,38,437,38.95,22
5,ROST200320C00125000,2020-02-26 12:08PM EST,125.0,2.4,2.05,2.25,0.6,+33.33%,128,2107,36.52,22
6,ROST200320C00130000,2020-02-26 11:22AM EST,130.0,1.25,0.70,1.0,0.53,+73.61%,27,212,34.99,22
7,ROST200320C00135000,2020-02-25 12:27PM EST,135.0,0.44,0.20,0.35,0.19,+76.00%,6,153,33.25,22
8,ROST200320C00140000,2020-02-26 10:18AM EST,140.0,0.15,0.05,0.15,0.05,+50.00%,4,0,34.18,22
9,ROST200320C00145000,2020-02-21 2:54PM EST,145.0,0.1,0.00,0.1,0.0,-,1,4,37.6,22
10,ROST200320C00150000,2020-02-11 9:30AM EST,150.0,0.05,-,0.1,0.0,-,-,1,42.97,22
11,ROST200320C00155000,2020-02-18 10:32AM EST,155.0,0.05,0.00,0.1,0.0,-,-,1,48.05,22
0,ROST200417C00115000,2020-02-24 9:48AM EST,115.0,10.2,7.4,8.1,0.0,-,-,1,32.48,50
1,ROST200417C00125000,2020-02-26 12:29PM EST,125.0,3.22,2.85,3.1,0.84,+35.29%,21,31,29.94,50
2,ROST200417C00130000,2020-02-26 1:02PM EST,130.0,1.68,1.45,1.6,0.03,+1.82%,10,29,28.48,50
3,ROST200417C00135000,2020-02-25 12:15PM EST,135.0,0.7,0.75,0.95,0.0,-,-,-,29.58,50
4,ROST200417C00145000,2020-02-25 6:49PM EST,145.0,0.2,0.05,0.2,0.0,-,-,-,28.66,50
1,ROST200515C00090000,2020-01-31 3:53PM EST,90.0,22.85,28.8,31.2,0.0,-,3,0,55.96,78
2,ROST200515C00095000,2020-01-28 10:21AM EST,95.0,20.75,23.7,25.7,0.0,-,-,10,43.63,78
3,ROST200515C00100000,2020-02-20 10:35AM EST,100.0,24.34,19.9,20.9,0.0,-,7,12,38.01,78
4,ROST200515C00105000,2020-02-21 2:04PM EST,105.0,18.4,15.5,16.6,0.0,-,4,24,35.36,78
5,ROST200515C00110000,2020-02-21 2:12PM EST,110.0,14.2,11.8,12.5,0.0,-,1,204,32.32,78
6,ROST200515C00115000,2020-02-25 11:26AM EST,115.0,9.8,8.5,8.8,0.8,+8.89%,2,0,29.52,78
7,ROST200515C00120000,2020-02-26 1:47PM EST,120.0,5.85,5.8,6.3,0.95,+19.39%,7,537,29.87,78
8,ROST200515C00125000,2020-02-26 11:42AM EST,125.0,4.2,3.6,4.0,0.4,+10.53%,15,451,28.4,78
9,ROST200515C00130000,2020-02-26 11:24AM EST,130.0,2.65,2.0,2.4,0.55,+26.19%,54,468,27.47,78
10,ROST200515C00135000,2020-02-25 2:53PM EST,135.0,0.95,1.1,1.3,0.0,-,12,243,26.43,78
11,ROST200515C00140000,2020-02-25 2:53PM EST,140.0,0.46,0.5,0.65,0.0,-,4,15,25.61,78
12,ROST200515C00145000,2020-02-20 2:43PM EST,145.0,0.3,0.15,0.3,0.0,-,1,7,24.95,78
13,ROST200515C00150000,2019-12-20 9:59AM EST,150.0,0.28,0.0,0.25,0.0,-,4,0,27.34,78
14,ROST200515C00155000,2020-01-02 10:38AM EST,155.0,0.2,0.0,0.15,0.0,-,4,0,27.98,78
0,ROST200821C00095000,2020-01-28 3:47PM EST,95.0,22.0,25.4,26.9,0.0,-,-,0,35.96,176
1,ROST200821C00105000,2020-01-02 12:54PM EST,105.0,16.68,11.7,15.0,0.0,-,-,0,15.7,176
