,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,SBUX200228P00070000,2020-02-26 9:30AM EST,70.0,0.05,0.0,0.04,0.0,-,3,10,74.22,1
1,SBUX200228P00075000,2020-02-26 12:11PM EST,75.0,0.05,0.05,0.07,-0.09,-64.29%,25,0,52.54,1
2,SBUX200228P00077000,2020-02-26 12:57PM EST,77.0,0.09,0.1,0.12,-0.12,-57.14%,19,45,45.12,1
3,SBUX200228P00078000,2020-02-26 2:00PM EST,78.0,0.2,0.16,0.18,-0.09,-31.03%,72,198,41.8,1
4,SBUX200228P00079000,2020-02-26 1:17PM EST,79.0,0.19,0.26,0.28,-0.24,-55.81%,356,0,38.48,1
5,SBUX200228P00080000,2020-02-26 1:57PM EST,80.0,0.47,0.44,0.46,-0.14,-22.95%,477,1126,36.04,1
6,SBUX200228P00081000,2020-02-26 1:41PM EST,81.0,0.8,0.73,0.77,-0.02,-2.44%,318,0,34.47,1
7,SBUX200228P00082000,2020-02-26 1:58PM EST,82.0,1.26,1.18,1.22,0.06,+5.00%,1062,711,32.72,1
8,SBUX200228P00083000,2020-02-26 2:03PM EST,83.0,1.93,1.82,1.88,0.25,+14.88%,451,1002,32.72,1
9,SBUX200228P00083500,2020-02-26 1:58PM EST,83.5,2.26,2.18,2.24,0.43,+23.50%,75,422,31.74,1
10,SBUX200228P00084000,2020-02-26 1:57PM EST,84.0,2.71,2.71,2.71,0.51,+23.18%,98,946,34.77,1
11,SBUX200228P00084500,2020-02-26 1:43PM EST,84.5,3.2,3.25,3.15,0.64,+25.00%,64,342,35.55,1
12,SBUX200228P00085000,2020-02-26 1:48PM EST,85.0,3.55,3.45,3.6,0.5,+16.39%,115,1148,36.04,1
13,SBUX200228P00085500,2020-02-26 11:48AM EST,85.5,4.12,4.05,4.1,0.62,+17.71%,24,716,39.65,1
14,SBUX200228P00086000,2020-02-26 1:40PM EST,86.0,4.75,4.5,4.6,0.55,+13.10%,13,845,43.16,1
15,SBUX200228P00086500,2020-02-26 2:07PM EST,86.5,5.0,5.0,5.05,0.65,+14.94%,22,613,41.8,1
16,SBUX200228P00087000,2020-02-26 1:05PM EST,87.0,4.9,5.6,5.65,0.25,+5.38%,31,593,52.15,1
17,SBUX200228P00087500,2020-02-25 3:10PM EST,87.5,5.25,6.05,6.15,0.32,+6.49%,45,0,53.32,1
18,SBUX200228P00088000,2020-02-25 3:28PM EST,88.0,5.55,6.5,6.75,-0.1,-1.77%,23,0,58.98,1
19,SBUX200228P00088500,2020-02-26 1:47PM EST,88.5,7.08,7.0,7.15,1.03,+17.02%,32,0,57.03,1
20,SBUX200228P00089000,2020-02-25 2:56PM EST,89.0,6.54,7.5,7.8,-0.11,-1.65%,1,0,67.77,1
21,SBUX200228P00089500,2020-02-26 1:47PM EST,89.5,8.08,7.9,8.25,0.78,+10.68%,21,0,63.09,1
22,SBUX200228P00090000,2020-02-26 10:58AM EST,90.0,7.5,8.4,8.9,-0.4,-5.06%,1,521,74.02,1
23,SBUX200228P00090500,2020-02-25 12:54PM EST,90.5,7.38,8.5,9.75,0.0,-,2,88,74.61,1
24,SBUX200228P00091000,2020-02-26 11:53AM EST,91.0,8.89,9.15,10.15,3.29,+58.75%,1,77,80.27,1
25,SBUX200228P00091500,2020-02-25 12:50PM EST,91.5,8.3,9.5,10.5,0.0,-,10,47,60.16,1
26,SBUX200228P00092000,2020-02-24 9:40AM EST,92.0,6.39,10.4,11.3,0.0,-,9,61,103.52,1
27,SBUX200228P00092500,2020-02-21 11:50AM EST,92.5,5.2,10.55,11.45,0.0,-,2,31,65.23,1
28,SBUX200228P00093000,2020-02-24 1:11PM EST,93.0,8.55,10.8,12.0,0.0,-,4,96,120.7,1
29,SBUX200228P00093500,2020-02-10 12:12PM EST,93.5,6.0,11.5,12.55,0.0,-,4,24,76.56,1
30,SBUX200228P00094000,2020-02-20 11:51AM EST,94.0,5.75,10.7,14.05,0.0,-,8,0,183.4,1
31,SBUX200228P00094500,2020-02-21 3:32PM EST,94.5,7.25,11.1,15.05,0.0,-,1,0,90.82,1
32,SBUX200228P00095000,2020-02-21 1:33PM EST,95.0,7.7,11.75,15.45,0.0,-,2,2,97.27,1
33,SBUX200228P00095500,2020-02-21 3:54PM EST,95.5,8.05,12.5,16.05,0.0,-,2,0,119.34,1
0,SBUX200306P00070000,2020-02-26 10:12AM EST,70.0,0.1,0.1,0.13,0.0,-,35,0,53.32,8
1,SBUX200306P00075000,2020-02-26 2:06PM EST,75.0,0.31,0.3,0.33,-0.02,-6.06%,598,0,42.97,8
2,SBUX200306P00080000,2020-02-26 1:41PM EST,80.0,1.18,1.13,1.21,0.11,+10.28%,393,0,35.11,8
3,SBUX200306P00081000,2020-02-26 1:33PM EST,81.0,1.39,1.47,1.51,0.03,+2.21%,65,0,32.76,8
4,SBUX200306P00081500,2020-02-26 1:33PM EST,81.5,1.6,1.67,1.77,0.1,+6.67%,56,0,33.08,8
5,SBUX200306P00082000,2020-02-26 1:44PM EST,82.0,1.95,1.91,2.02,0.12,+6.56%,138,69,32.79,8
6,SBUX200306P00082500,2020-02-26 12:58PM EST,82.5,1.92,2.24,2.3,-0.16,-7.69%,88,0,32.62,8
7,SBUX200306P00083000,2020-02-26 2:06PM EST,83.0,2.47,2.58,2.59,0.31,+14.35%,85,0,32.25,8
8,SBUX200306P00083500,2020-02-26 12:02PM EST,83.5,2.74,2.82,2.9,0.39,+16.60%,30,78,31.84,8
9,SBUX200306P00084000,2020-02-26 10:35AM EST,84.0,2.44,3.25,3.25,-0.4,-14.08%,26,484,31.76,8
10,SBUX200306P00085000,2020-02-26 11:57AM EST,85.0,3.45,4.0,4.0,-0.1,-2.82%,61,0,31.49,8
11,SBUX200306P00086000,2020-02-26 11:22AM EST,86.0,3.73,4.8,4.85,-0.22,-5.57%,7,0,32.23,8
12,SBUX200306P00086500,2020-02-25 1:07PM EST,86.5,4.18,5.2,5.25,-0.28,-6.28%,1,0,31.2,8
13,SBUX200306P00087000,2020-02-26 12:51PM EST,87.0,4.98,5.7,5.75,-0.62,-11.07%,7,0,33.3,8
14,SBUX200306P00087500,2020-02-26 11:29AM EST,87.5,5.05,6.1,6.35,-0.35,-6.48%,11,353,38.77,8
15,SBUX200306P00088000,2020-02-25 3:23PM EST,88.0,5.57,6.55,6.65,-0.21,-3.63%,22,0,33.01,8
16,SBUX200306P00088500,2020-02-24 10:30AM EST,88.5,5.18,7.0,7.3,0.0,-,4,0,41.11,8
