,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
1,SHW200228P00465000,2020-02-25 10:40AM EST,465.0,0.01,-,0.75,0.0,-,-,-,107.47,1
2,SHW200228P00470000,2020-02-26 9:47AM EST,470.0,0.37,0.00,0.75,0.09,+32.14%,1,1,90.43,1
3,SHW200228P00475000,2020-02-26 10:22AM EST,475.0,0.01,0.00,0.60,0.0,-,2,4,82.42,1
4,SHW200228P00480000,2020-02-24 12:02AM EST,480.0,0.55,-,0.75,0.0,-,2,3,90.87,1
5,SHW200228P00485000,2020-02-21 10:05AM EST,485.0,0.4,0.00,0.60,0.32,+400.00%,1,1,72.66,1
6,SHW200228P00495000,2020-01-31 2:25PM EST,495.0,1.25,0.00,2.40,0.0,-,10,0,82.35,1
7,SHW200228P00500000,2020-02-25 11:09AM EST,500.0,0.25,0.10,0.60,0.0,-,1,5,59.57,1
8,SHW200228P00510000,2020-02-25 3:21PM EST,510.0,0.8,0.10,1.40,0.0,-,-,5,57.84,1
9,SHW200228P00515000,2020-02-25 3:38PM EST,515.0,1.25,0.50,1.05,0.0,-,6,6,52.66,1
10,SHW200228P00520000,2020-02-25 3:34PM EST,520.0,1.45,0.70,1.10,0.0,-,4,10,51.29,1
11,SHW200228P00530000,2020-02-26 1:06PM EST,530.0,0.95,1.45,1.80,-1.15,-54.76%,3,21,45.61,1
12,SHW200228P00535000,2020-02-26 10:22AM EST,535.0,1.09,2.15,2.75,-1.41,-56.40%,1,58,45.64,1
13,SHW200228P00540000,2020-02-26 12:05PM EST,540.0,1.9,3.00,3.60,-0.3,-13.64%,2,24,43.07,1
14,SHW200228P00542500,2020-02-25 12:42PM EST,542.5,1.9,3.40,4.30,0.3,+18.75%,2,0,42.76,1
15,SHW200228P00545000,2020-02-25 2:07PM EST,545.0,3.3,4.30,5.30,0.0,-,3,43,43.54,1
16,SHW200228P00547500,2020-02-26 11:14AM EST,547.5,2.3,5.20,6.00,-1.45,-38.67%,1,5,42.13,1
17,SHW200228P00550000,2020-02-25 3:53PM EST,550.0,8.65,5.90,7.00,0.0,-,8,26,41.72,1
18,SHW200228P00552500,2020-02-25 1:42PM EST,552.5,4.1,7.10,8.20,0.0,-,7,12,41.75,1
19,SHW200228P00555000,2020-02-25 1:40PM EST,555.0,4.4,8.40,9.40,-3.0,-40.54%,3,0,41.17,1
20,SHW200228P00557500,2020-02-26 1:51PM EST,557.5,9.82,9.90,10.90,0.82,+9.11%,3,14,41.51,1
