,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,SIVB200320C00190000,2020-02-07 3:12PM EST,190.0,68.03,36.1,39.0,0.0,-,2,2,53.42,22
1,SIVB200320C00195000,2020-02-11 2:22PM EST,195.0,69.51,31.7,34.4,0.0,-,-,1,51.98,22
2,SIVB200320C00200000,2020-02-25 1:11PM EST,200.0,38.5,27.6,29.9,0.0,-,6,0,50.87,22
3,SIVB200320C00220000,2020-02-26 12:32PM EST,220.0,15.9,12.9,14.3,-27.0,-62.94%,1,0,47.94,22
4,SIVB200320C00230000,2020-02-25 3:37PM EST,230.0,10.91,7.8,8.7,0.0,-,1,6,45.02,22
5,SIVB200320C00240000,2020-02-26 11:42AM EST,240.0,5.9,4.2,4.8,-0.43,-6.79%,14,15,43.08,22
6,SIVB200320C00250000,2020-02-26 10:53AM EST,250.0,3.3,1.8,2.35,-0.8,-19.51%,2,130,41.47,22
7,SIVB200320C00260000,2020-02-25 2:48PM EST,260.0,1.9,0.85,1.1,0.0,-,135,0,41.02,22
8,SIVB200320C00270000,2020-02-26 10:20AM EST,270.0,0.5,0.3,0.55,-0.25,-33.33%,4,277,41.9,22
9,SIVB200320C00280000,2020-02-25 11:43AM EST,280.0,0.24,0.0,1.05,-0.16,-40.00%,10,74,55.52,22
10,SIVB200320C00290000,2020-02-26 12:17PM EST,290.0,0.15,0.0,0.9,-0.08,-34.78%,10,0,52.78,22
11,SIVB200320C00300000,2020-02-25 3:39PM EST,300.0,0.2,0.0,0.5,0.0,-,9,21,53.22,22
12,SIVB200320C00310000,2020-02-05 11:39AM EST,310.0,0.35,0.0,1.85,0.0,-,-,1,72.78,22
13,SIVB200320C00320000,2020-02-05 11:39AM EST,320.0,0.14,0.0,1.8,0.0,-,1,1,78.0,22
0,SIVB200417C00220000,2020-02-25 3:10PM EST,220.0,21.7,16.4,18.1,0.0,-,1,1,44.12,50
1,SIVB200417C00240000,2020-02-25 6:49PM EST,240.0,12.0,9.9,11.0,0.0,-,-,-,48.58,50
2,SIVB200417C00250000,2020-02-26 11:22AM EST,250.0,5.43,4.5,5.0,-3.69,-40.46%,6,12,38.42,50
3,SIVB200417C00260000,2020-02-24 12:04PM EST,260.0,6.9,3.7,4.3,0.0,-,-,-,43.18,50
