,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,SJM200320C00095000,2020-02-05 1:56PM EST,95.0,14.7,14.4,17.2,0.0,-,1,0,48.73,22
2,SJM200320C00105000,2020-02-25 3:35PM EST,105.0,7.65,6.4,6.6,2.58,+50.89%,13,0,6.25,22
3,SJM200320C00110000,2020-02-26 1:46PM EST,110.0,3.2,2.8,3.1,0.55,+20.75%,118,178,19.48,22
4,SJM200320C00115000,2020-02-26 1:41PM EST,115.0,1.0,0.75,1.05,0.0,-,118,1309,20.47,22
5,SJM200320C00120000,2020-02-26 12:47PM EST,120.0,0.2,0.15,0.3,-0.1,-33.33%,21,0,21.88,22
6,SJM200320C00125000,2020-02-26 10:21AM EST,125.0,0.05,0.0,0.05,-0.05,-50.00%,26,29,21.68,22
7,SJM200320C00130000,2020-02-26 10:12AM EST,130.0,0.31,0.05,1.5,0.21,+210.00%,1,0,59.13,22
0,SJM200417C00085000,2020-02-12 3:19PM EST,85.0,24.7,23.9,28.5,0.0,-,4,0,68.68,50
1,SJM200417C00090000,2020-02-12 3:27PM EST,90.0,19.86,18.8,23.2,0.0,-,13,9,54.86,50
2,SJM200417C00095000,2020-02-12 10:39AM EST,95.0,14.6,13.7,18.4,0.0,-,1,5,46.95,50
3,SJM200417C00100000,2020-02-21 2:13PM EST,100.0,12.5,10.7,12.1,0.0,-,1,42,23.66,50
4,SJM200417C00105000,2020-02-26 11:27AM EST,105.0,7.75,7.0,7.7,1.83,+30.91%,4,307,21.09,50
5,SJM200417C00110000,2020-02-26 11:37AM EST,110.0,4.4,3.7,4.1,1.13,+34.56%,6,0,19.4,50
6,SJM200417C00115000,2020-02-26 10:58AM EST,115.0,2.15,1.55,1.85,0.7,+48.28%,28,579,19.19,50
7,SJM200417C00120000,2020-02-26 10:38AM EST,120.0,0.9,0.45,0.65,0.2,+28.57%,10,120,18.75,50
8,SJM200417C00125000,2020-02-25 3:09PM EST,125.0,0.25,0.1,0.25,0.0,-,1,71,19.83,50
9,SJM200417C00130000,2020-01-31 1:25PM EST,130.0,0.01,0.0,0.2,0.0,-,3,39,23.83,50
10,SJM200417C00135000,2019-11-19 1:43PM EST,135.0,0.15,0.0,0.35,0.0,-,9,100,31.74,50
11,SJM200417C00160000,2019-08-27 11:32AM EST,160.0,0.2,0.0,0.0,0.0,-,-,1,25.0,50
0,SJM200717C00085000,2020-01-13 2:44PM EST,85.0,20.4,24.3,28.4,0.0,-,1,0,40.67,141
1,SJM200717C00090000,2020-02-12 2:28PM EST,90.0,20.07,20.5,22.6,0.0,-,2,0,28.57,141
2,SJM200717C00095000,2020-02-12 3:56PM EST,95.0,17.6,16.8,17.8,1.95,+12.46%,2,0,24.54,141
3,SJM200717C00100000,2020-02-19 1:51PM EST,100.0,13.0,12.7,13.3,0.0,-,9,0,21.69,141
4,SJM200717C00105000,2020-02-25 3:26PM EST,105.0,7.51,9.0,9.7,0.0,-,4,0,21.51,141
5,SJM200717C00110000,2020-02-25 3:49PM EST,110.0,5.36,6.0,6.6,0.0,-,2,0,20.84,141
6,SJM200717C00115000,2020-02-21 12:28PM EST,115.0,4.5,3.8,4.3,0.84,+22.95%,151,0,20.66,141
7,SJM200717C00120000,2020-02-21 1:05PM EST,120.0,2.61,2.1,2.55,0.0,-,31,154,20.11,141
8,SJM200717C00125000,2020-02-14 2:07PM EST,125.0,1.3,1.15,1.45,0.0,-,55,72,19.91,141
9,SJM200717C00130000,2020-02-21 1:51PM EST,130.0,0.75,0.6,0.8,0.0,-,214,245,19.91,141
10,SJM200717C00135000,2019-11-26 2:21PM EST,135.0,0.72,0.05,0.45,0.0,-,-,4,20.22,141
11,SJM200717C00140000,2020-02-18 11:16AM EST,140.0,0.15,0.05,0.25,0.0,-,1,2,20.51,141
12,SJM200717C00145000,2019-11-26 2:28PM EST,145.0,0.28,0.0,0.35,0.0,-,-,2,24.51,141
0,SJM201016C00145000,2020-02-25 2:58PM EST,145.0,0.35,0.25,0.45,0.0,-,10,10,20.14,232
0,SJM210115C00065000,2019-06-09 11:01PM EST,65.0,42.99,52.5,57.5,0.0,-,1,2,79.14,323
1,SJM210115C00070000,2020-02-12 3:22PM EST,70.0,39.78,38.6,43.5,0.0,-,0,5,41.08,323
2,SJM210115C00075000,2020-02-12 3:20PM EST,75.0,34.7,34.1,39.0,0.0,-,2,1,39.04,323
3,SJM210115C00080000,2020-01-22 12:39PM EST,80.0,27.5,29.5,34.4,0.0,-,2,0,36.15,323
5,SJM210115C00090000,2020-02-18 2:39PM EST,90.0,22.03,22.0,23.3,0.0,-,1,0,22.33,323
6,SJM210115C00095000,2020-02-18 2:39PM EST,95.0,18.2,18.5,19.2,0.0,-,1,0,21.69,323
7,SJM210115C00100000,2020-02-24 9:58AM EST,100.0,14.4,14.1,15.7,0.0,-,20,51,21.86,323
8,SJM210115C00105000,2020-01-23 3:18PM EST,105.0,10.1,11.9,12.5,0.0,-,2,72,21.62,323
9,SJM210115C00110000,2020-02-19 11:04AM EST,110.0,8.6,8.2,9.8,0.0,-,2,0,21.53,323
10,SJM210115C00115000,2020-02-21 11:35AM EST,115.0,6.8,6.8,7.5,0.0,-,1,27,21.35,323
11,SJM210115C00120000,2020-02-24 10:14AM EST,120.0,4.7,4.8,5.7,0.0,-,1,63,21.37,323
12,SJM210115C00125000,2020-02-19 2:49PM EST,125.0,3.5,3.3,4.0,0.0,-,1,80,20.67,323
13,SJM210115C00130000,2020-02-21 10:21AM EST,130.0,2.4,2.35,2.85,0.0,-,1,0,20.49,323
14,SJM210115C00135000,2020-02-24 12:45PM EST,135.0,1.45,1.5,1.9,0.0,-,6,52,20.01,323
15,SJM210115C00140000,2020-02-11 12:33PM EST,140.0,0.65,1.0,1.3,0.0,-,5,0,19.92,323
16,SJM210115C00145000,2020-02-07 3:14PM EST,145.0,0.3,0.5,0.9,0.0,-,3,0,19.97,323
17,SJM210115C00150000,2020-01-21 1:25PM EST,150.0,0.35,0.0,0.0,0.0,-,1,0,6.25,323
18,SJM210115C00155000,2020-01-02 9:30AM EST,155.0,0.55,0.05,0.65,0.0,-,1,2,21.92,323
19,SJM210115C00160000,2019-09-27 12:14PM EST,160.0,1.0,0.0,1.45,0.0,-,1,20,28.27,323
20,SJM210115C00170000,2019-11-06 9:49AM EST,170.0,0.45,0.0,0.45,0.0,-,4,0,24.7,323
