,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,SNA200320C00105000,2019-08-27 2:53PM EST,105.0,41.87,49.3,54.0,0.0,-,-,-,172.33,22
1,SNA200320C00115000,2020-02-20 1:24PM EST,115.0,44.51,33.6,36.6,0.0,-,-,0,83.2,22
2,SNA200320C00120000,2020-02-20 1:24PM EST,120.0,39.52,28.6,31.5,0.0,-,-,0,71.48,22
3,SNA200320C00125000,2020-02-20 1:24PM EST,125.0,34.51,24.2,27.0,0.0,-,7,0,68.19,22
4,SNA200320C00130000,2020-02-20 1:22PM EST,130.0,29.54,19.1,21.9,0.0,-,-,0,56.67,22
5,SNA200320C00135000,2020-02-20 2:04PM EST,135.0,24.62,15.4,16.6,0.0,-,19,0,43.2,22
6,SNA200320C00140000,2020-02-20 2:04PM EST,140.0,19.62,10.9,12.8,0.0,-,35,0,43.6,22
7,SNA200320C00145000,2020-02-20 2:04PM EST,145.0,13.93,7.5,8.2,0.0,-,6,0,34.44,22
8,SNA200320C00150000,2020-02-21 3:46PM EST,150.0,7.81,4.4,4.9,0.0,-,16,0,31.3,22
9,SNA200320C00155000,2020-02-24 1:19PM EST,155.0,3.3,2.15,2.4,-1.2,-26.67%,3,0,28.15,22
10,SNA200320C00160000,2020-02-25 3:55PM EST,160.0,1.3,0.85,1.05,-0.45,-25.71%,3,0,27.0,22
11,SNA200320C00165000,2020-02-26 11:24AM EST,165.0,0.6,0.3,0.4,-0.25,-29.41%,10,0,26.39,22
12,SNA200320C00170000,2020-02-26 10:35AM EST,170.0,0.18,0.05,0.25,-0.02,-10.00%,2201,0,29.35,22
13,SNA200320C00175000,2020-02-26 12:07PM EST,175.0,0.1,0.0,0.1,-0.05,-33.33%,394,0,29.59,22
14,SNA200320C00180000,2020-02-24 1:59PM EST,180.0,0.05,0.0,0.1,0.0,-,15,0,34.08,22
15,SNA200320C00185000,2020-02-21 3:47PM EST,185.0,0.3,0.0,0.6,0.0,-,2,142,52.73,22
16,SNA200320C00190000,2020-02-03 3:42PM EST,190.0,0.01,0.0,0.1,0.0,-,10,0,42.38,22
17,SNA200320C00195000,2019-12-09 2:54PM EST,195.0,0.4,0.0,0.5,0.0,-,1,0,53.22,22
18,SNA200320C00200000,2020-02-14 3:59PM EST,200.0,0.15,0.0,0.1,0.0,-,1,11,50.1,22
0,SNA200417C00160000,2020-02-25 12:02PM EST,160.0,5.1,1.9,2.65,0.0,-,1,1,27.39,50
1,SNA200417C00165000,2020-02-25 10:45AM EST,165.0,1.75,1.1,2.55,-1.25,-41.67%,5,15,33.02,50
2,SNA200417C00170000,2020-02-25 2:21PM EST,170.0,0.54,0.45,0.7,-0.71,-56.80%,1,14,25.32,50
3,SNA200417C00175000,2020-02-25 10:54AM EST,175.0,0.55,0.15,0.55,0.0,-,-,-,27.81,50
0,SNA200619C00140000,2020-02-07 3:44PM EST,140.0,18.85,14.6,15.5,0.0,-,1,10,29.44,113
1,SNA200619C00145000,2020-02-21 3:45PM EST,145.0,19.2,11.3,12.3,0.0,-,2,6,28.71,113
2,SNA200619C00150000,2020-02-19 12:05PM EST,150.0,11.86,8.4,9.3,0.0,-,1,0,27.41,113
3,SNA200619C00155000,2020-02-26 12:55PM EST,155.0,7.24,5.9,7.0,-2.56,-26.12%,8,18,26.96,113
4,SNA200619C00160000,2020-02-26 1:18PM EST,160.0,4.8,4.2,4.7,-4.1,-46.07%,5,39,25.2,113
5,SNA200619C00165000,2020-02-07 9:54AM EST,165.0,4.8,2.6,3.1,0.0,-,1,27,24.23,113
6,SNA200619C00170000,2020-02-26 12:55PM EST,170.0,1.75,1.7,2.4,-1.58,-47.45%,12,51,25.32,113
7,SNA200619C00175000,2020-02-26 1:18PM EST,175.0,1.15,0.9,1.2,-0.85,-42.50%,2,35,22.94,113
8,SNA200619C00180000,2020-02-25 1:06PM EST,180.0,0.96,0.5,0.7,0.0,-,1,45,22.45,113
9,SNA200619C00185000,2020-02-26 12:43PM EST,185.0,0.42,0.15,0.45,-0.15,-26.32%,10,40,22.67,113
10,SNA200619C00190000,2020-02-20 10:15AM EST,190.0,0.36,0.1,0.25,0.0,-,16,0,22.34,113
11,SNA200619C00195000,2020-02-21 3:47PM EST,195.0,0.4,0.0,0.65,0.0,-,2,0,29.1,113
12,SNA200619C00200000,2020-01-10 11:21AM EST,200.0,1.1,0.0,0.65,0.0,-,1,0,31.23,113
0,SNA200918C00125000,2020-02-05 12:10PM EST,125.0,40.35,27.7,29.6,0.0,-,-,0,32.66,204
1,SNA200918C00130000,2020-02-20 10:46AM EST,130.0,30.26,23.4,25.5,0.0,-,-,0,31.03,204
2,SNA200918C00135000,2020-02-03 12:10AM EST,135.0,29.0,20.0,21.3,0.0,-,-,0,28.7,204
3,SNA200918C00140000,2020-02-07 3:55PM EST,140.0,19.84,16.5,17.8,0.0,-,1,0,27.7,204
4,SNA200918C00145000,2020-01-31 2:39PM EST,145.0,21.2,13.5,14.8,0.0,-,1,0,27.23,204
5,SNA200918C00155000,2020-02-21 10:14AM EST,155.0,12.83,8.2,9.2,0.0,-,1,0,25.06,204
6,SNA200918C00160000,2020-02-26 9:30AM EST,160.0,8.5,6.2,7.1,-0.3,-3.41%,1,0,24.42,204
7,SNA200918C00165000,2020-02-20 10:58AM EST,165.0,7.26,4.8,5.3,0.0,-,21,7,23.71,204
8,SNA200918C00175000,2020-02-14 2:33PM EST,175.0,3.05,2.25,2.7,0.0,-,-,0,22.42,204
9,SNA200918C00185000,2020-02-20 11:11AM EST,185.0,1.65,0.95,1.25,0.0,-,16,0,21.51,204
10,SNA200918C00190000,2020-02-21 2:05PM EST,190.0,1.4,0.6,0.85,0.0,-,2,7,21.31,204
11,SNA200918C00210000,2020-02-04 11:42AM EST,210.0,0.55,0.0,1.3,0.0,-,-,1,30.54,204
