,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,SPGI200228C00275000,2020-02-25 3:11PM EST,275.0,10.27,8.7,9.5,-0.02,-0.19%,1,1,35.11,1
1,SPGI200228C00280000,2020-01-24 11:11AM EST,280.0,21.2,12.5,14.4,0.0,-,-,3,112.72,1
2,SPGI200228C00282500,2020-02-25 2:25PM EST,282.5,4.0,3.2,3.6,0.0,-,2,2,28.72,1
3,SPGI200228C00285000,2020-02-26 2:04PM EST,285.0,2.15,1.85,2.35,-3.55,-62.28%,12,10,28.58,1
4,SPGI200228C00287500,2020-02-25 11:38AM EST,287.5,3.7,3.1,3.7,0.0,-,-,-,52.03,1
5,SPGI200228C00290000,2020-02-25 3:51PM EST,290.0,1.1,0.55,0.75,-0.17,-13.39%,3,0,27.49,1
6,SPGI200228C00292500,2020-02-24 3:58PM EST,292.5,0.7,0.2,0.35,0.0,-,19,0,26.76,1
7,SPGI200228C00295000,2020-02-25 11:47AM EST,295.0,0.4,0.0,0.2,0.0,-,24,39,28.03,1
8,SPGI200228C00297500,2020-02-26 10:49AM EST,297.5,0.32,0.0,0.15,-0.23,-41.82%,4,10,30.81,1
9,SPGI200228C00300000,2020-02-24 10:22AM EST,300.0,0.05,0.0,0.1,-0.2,-80.00%,23,0,32.62,1
10,SPGI200228C00302500,2020-02-26 11:54AM EST,302.5,0.01,0.0,0.1,-0.04,-80.00%,20,32,36.62,1
11,SPGI200228C00305000,2020-02-21 9:58AM EST,305.0,0.6,0.0,0.2,0.0,-,2,0,45.7,1
12,SPGI200228C00307500,2020-02-21 10:31AM EST,307.5,0.05,0.0,0.1,0.0,-,1,0,44.34,1
13,SPGI200228C00310000,2020-02-21 3:25PM EST,310.0,0.15,0.0,0.25,0.0,-,1,0,56.15,1
14,SPGI200228C00312500,2020-02-20 2:19PM EST,312.5,0.55,0.0,0.15,0.0,-,7,0,55.08,1
15,SPGI200228C00315000,2020-02-20 1:37PM EST,315.0,0.15,0.0,0.1,0.0,-,24,0,50.2,1
16,SPGI200228C00317500,2020-02-20 11:58AM EST,317.5,0.15,0.0,0.1,0.0,-,1,0,53.52,1
17,SPGI200228C00320000,2020-02-19 12:00PM EST,320.0,0.55,0.0,0.1,0.0,-,1,0,56.64,1
18,SPGI200228C00322500,2020-02-19 11:56AM EST,322.5,0.3,0.0,0.5,0.0,-,-,2,75.68,1
0,SPGI200313C00285000,2020-02-18 12:02AM EST,285.0,7.6,6.1,6.5,0.0,-,9,0,29.06,15
1,SPGI200313C00287500,2020-02-26 10:54AM EST,287.5,7.5,4.8,5.2,1.9,+33.93%,1,2,28.14,15
2,SPGI200313C00290000,2020-02-26 2:04PM EST,290.0,4.0,4.0,4.4,-0.5,-11.11%,1,0,28.74,15
3,SPGI200313C00292500,2020-02-25 2:50PM EST,292.5,3.8,3.1,3.4,0.0,-,1,6,27.89,15
4,SPGI200313C00295000,2020-02-26 12:36PM EST,295.0,2.85,2.15,2.5,-1.05,-26.92%,1,4,26.8,15
5,SPGI200313C00297500,2020-02-25 1:46PM EST,297.5,2.45,1.6,1.85,0.0,-,4,5,26.22,15
6,SPGI200313C00300000,2020-02-25 12:01PM EST,300.0,2.25,1.15,1.4,0.1,+4.65%,3,14,26.12,15
7,SPGI200313C00302500,2020-02-25 12:02PM EST,302.5,1.5,0.8,1.0,-0.05,-3.23%,1,0,25.71,15
8,SPGI200313C00305000,2020-02-19 11:29AM EST,305.0,10.0,0.5,0.6,0.0,-,2,0,24.37,15
9,SPGI200313C00307500,2020-02-20 11:37AM EST,307.5,4.0,0.35,0.5,0.0,-,-,1,25.27,15
10,SPGI200313C00310000,2020-02-20 3:58PM EST,310.0,2.85,0.15,0.8,0.0,-,3,0,30.43,15
11,SPGI200313C00312500,2020-02-20 3:58PM EST,312.5,2.05,0.1,0.25,0.0,-,5,4,25.29,15
12,SPGI200313C00315000,2020-02-20 3:57PM EST,315.0,0.23,0.0,0.25,-0.04,-14.81%,2,0,26.95,15
13,SPGI200313C00317500,2020-02-20 3:57PM EST,317.5,1.0,0.05,0.2,0.0,-,-,3,27.49,15
14,SPGI200313C00320000,2020-02-26 10:35AM EST,320.0,0.08,0.0,0.15,-0.04,-33.33%,2,4,27.74,15
0,SPGI200320C00220000,2020-02-18 2:57PM EST,220.0,87.2,61.7,64.7,0.0,-,9,0,51.07,22
1,SPGI200320C00250000,2020-02-12 2:51PM EST,250.0,54.3,32.7,36.2,0.0,-,-,1,43.38,22
2,SPGI200320C00270000,2020-02-21 11:54AM EST,270.0,25.4,16.8,17.6,0.0,-,16,0,30.15,22
3,SPGI200320C00280000,2020-02-20 12:57PM EST,280.0,22.4,9.9,10.7,0.0,-,3,0,28.83,22
4,SPGI200320C00285000,2020-02-25 2:25PM EST,285.0,7.9,7.1,7.6,0.0,-,2,3,27.13,22
5,SPGI200320C00287500,2020-02-25 1:20PM EST,287.5,6.5,6.1,6.5,0.0,-,12,10,27.21,22
6,SPGI200320C00290000,2020-02-26 12:58PM EST,290.0,5.61,4.8,5.2,-0.09,-1.58%,3,90,26.15,22
7,SPGI200320C00292500,2020-02-25 9:40AM EST,292.5,5.3,5.5,6.0,-2.7,-33.75%,3,-,32.24,22
8,SPGI200320C00295000,2020-02-25 10:29AM EST,295.0,5.4,4.4,5.1,0.0,-,-,-,31.98,22
9,SPGI200320C00300000,2020-02-26 11:53AM EST,300.0,2.3,1.85,2.1,0.05,+2.22%,8,121,24.9,22
10,SPGI200320C00310000,2020-02-26 11:15AM EST,310.0,0.65,0.45,0.5,-0.32,-32.99%,3,263,22.41,22
11,SPGI200320C00320000,2020-02-21 1:33PM EST,320.0,0.15,0.0,0.25,-0.05,-25.00%,20,0,25.0,22
12,SPGI200320C00330000,2020-02-19 3:01PM EST,330.0,0.85,0.0,0.15,0.0,-,5,6,27.88,22
13,SPGI200320C00340000,2020-02-06 3:13PM EST,340.0,0.32,0.0,0.1,0.0,-,1,13,30.76,22
14,SPGI200320C00350000,2020-02-04 9:43AM EST,350.0,0.25,0.0,0.1,0.0,-,-,4,35.01,22
0,SPGI200327C00285000,2020-02-18 12:02AM EST,285.0,22.77,8.1,8.8,0.0,-,1,0,27.5,29
1,SPGI200327C00287500,2020-02-25 3:52PM EST,287.5,7.3,6.9,7.5,0.0,-,3,6,26.98,29
2,SPGI200327C00290000,2020-02-25 3:52PM EST,290.0,6.2,5.7,6.1,0.0,-,5,0,25.81,29
3,SPGI200327C00292500,2020-02-25 3:52PM EST,292.5,5.2,4.7,5.2,0.0,-,1,10,25.82,29
4,SPGI200327C00295000,2020-02-25 3:52PM EST,295.0,4.3,5.5,5.9,0.0,-,-,-,30.74,29
5,SPGI200327C00297500,2020-02-25 10:00AM EST,297.5,6.0,3.1,3.5,0.0,-,2,7,25.12,29
6,SPGI200327C00300000,2020-02-24 9:49AM EST,300.0,4.07,2.6,2.8,0.0,-,5,0,24.72,29
7,SPGI200327C00302500,2020-02-24 9:53AM EST,302.5,3.2,1.95,2.3,0.0,-,2,11,24.74,29
8,SPGI200327C00305000,2020-02-26 1:58PM EST,305.0,1.5,1.5,1.7,-1.18,-44.03%,3,13,23.93,29
9,SPGI200327C00307500,2020-02-20 11:39AM EST,307.5,5.1,1.15,1.4,0.0,-,-,2,24.15,29
10,SPGI200327C00310000,2020-02-20 11:39AM EST,310.0,1.6,0.8,1.05,0.0,-,1,0,23.76,29
11,SPGI200327C00312500,2020-02-20 11:39AM EST,312.5,3.7,0.5,0.8,0.0,-,2,0,23.58,29
12,SPGI200327C00315000,2020-02-20 3:22PM EST,315.0,2.8,0.45,0.6,0.0,-,-,0,23.41,29
13,SPGI200327C00317500,2020-02-21 1:39PM EST,317.5,0.82,0.25,0.45,0.0,-,1,1,23.29,29
