,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,SPY200226P00275000,2020-02-25 1:26PM EST,275.0,0.02,0.01,0.02,-0.11,-84.62%,5007,0,69.53,0
1,SPY200226P00280000,2020-02-25 12:52PM EST,280.0,0.03,0.02,0.03,-0.13,-81.25%,4902,0,64.84,0
2,SPY200226P00285000,2020-02-25 1:24PM EST,285.0,0.05,0.03,0.04,-0.16,-76.19%,403,0,58.59,0
3,SPY200226P00290000,2020-02-25 1:17PM EST,290.0,0.06,0.05,0.06,-0.22,-78.57%,4369,0,52.73,0
4,SPY200226P00291000,2020-02-25 1:28PM EST,291.0,0.07,0.06,0.07,-0.22,-75.86%,1858,0,52.15,0
5,SPY200226P00292000,2020-02-25 12:32PM EST,292.0,0.07,0.06,0.07,-0.24,-77.42%,1090,0,50.39,0
6,SPY200226P00293000,2020-02-25 12:58PM EST,293.0,0.07,0.07,0.08,-0.28,-80.00%,453,0,50.0,0
7,SPY200226P00294000,2020-02-25 1:04PM EST,294.0,0.08,0.07,0.08,-0.25,-75.76%,123,0,48.05,0
8,SPY200226P00295000,2020-02-25 1:26PM EST,295.0,0.09,0.08,0.09,-0.26,-74.29%,663,0,47.07,0
9,SPY200226P00296000,2020-02-25 1:09PM EST,296.0,0.08,0.08,0.09,-0.32,-80.00%,731,0,45.12,0
10,SPY200226P00297000,2020-02-25 1:27PM EST,297.0,0.09,0.09,0.1,-0.3,-76.92%,464,0,43.85,0
11,SPY200226P00298000,2020-02-25 1:13PM EST,298.0,0.08,0.1,0.11,-0.33,-80.49%,1559,0,42.58,0
12,SPY200226P00299000,2020-02-25 1:17PM EST,299.0,0.12,0.1,0.11,-0.32,-72.73%,10226,0,40.53,0
13,SPY200226P00300000,2020-02-25 1:28PM EST,300.0,0.12,0.11,0.12,-0.34,-73.91%,3532,0,39.16,0
14,SPY200226P00301000,2020-02-25 1:22PM EST,301.0,0.13,0.12,0.13,-0.37,-74.00%,1775,0,37.6,0
15,SPY200226P00302000,2020-02-25 1:24PM EST,302.0,0.15,0.14,0.15,-0.37,-71.15%,14831,0,36.52,0
16,SPY200226P00303000,2020-02-25 1:26PM EST,303.0,0.18,0.16,0.17,-0.39,-68.42%,3156,0,35.25,0
17,SPY200226P00304000,2020-02-25 1:25PM EST,304.0,0.21,0.19,0.2,-0.36,-63.16%,6803,0,34.28,0
18,SPY200226P00305000,2020-02-25 1:26PM EST,305.0,0.23,0.24,0.26,-0.36,-61.02%,7730,0,33.99,0
19,SPY200226P00306000,2020-02-25 1:24PM EST,306.0,0.3,0.28,0.29,-0.35,-53.85%,8406,0,32.47,0
20,SPY200226P00307000,2020-02-25 1:27PM EST,307.0,0.35,0.33,0.34,-0.33,-48.53%,15380,0,31.3,0
21,SPY200226P00308000,2020-02-25 1:28PM EST,308.0,0.44,0.42,0.44,-0.32,-42.11%,14916,0,31.01,0
22,SPY200226P00309000,2020-02-25 1:28PM EST,309.0,0.52,0.5,0.51,-0.32,-38.10%,6860,0,29.69,0
23,SPY200226P00310000,2020-02-25 1:28PM EST,310.0,0.68,0.65,0.67,-0.13,-16.05%,49666,0,29.59,0
24,SPY200226P00311000,2020-02-25 1:26PM EST,311.0,0.91,0.78,0.8,-0.08,-8.08%,8674,0,28.52,0
25,SPY200226P00312000,2020-02-25 1:27PM EST,312.0,1.0,1.01,1.02,-0.02,-1.96%,16670,0,28.27,0
26,SPY200226P00313000,2020-02-25 1:28PM EST,313.0,1.28,1.25,1.27,0.1,+8.47%,17569,0,27.81,0
27,SPY200226P00314000,2020-02-25 1:28PM EST,314.0,1.58,1.5,1.52,0.34,+27.42%,22899,0,26.81,0
28,SPY200226P00315000,2020-02-25 1:28PM EST,315.0,1.9,1.85,1.88,0.63,+49.61%,71242,0,26.47,0
29,SPY200226P00316000,2020-02-25 1:28PM EST,316.0,2.3,2.25,2.28,0.74,+47.44%,28027,0,25.88,0
30,SPY200226P00317000,2020-02-25 1:28PM EST,317.0,2.74,2.68,2.71,1.17,+74.52%,38030,0,24.93,0
31,SPY200226P00318000,2020-02-25 1:28PM EST,318.0,3.19,3.17,3.2,1.41,+79.21%,33278,0,23.85,0
32,SPY200226P00319000,2020-02-25 1:27PM EST,319.0,3.7,3.78,3.82,1.7,+85.00%,21034,0,23.41,0
33,SPY200226P00320000,2020-02-25 1:28PM EST,320.0,4.45,4.43,4.47,2.21,+98.66%,59865,0,22.41,0
34,SPY200226P00321000,2020-02-25 1:27PM EST,321.0,5.0,4.98,5.02,2.47,+97.63%,27062,0,18.26,0
35,SPY200226P00322000,2020-02-25 1:27PM EST,322.0,5.83,5.69,5.81,2.95,+102.43%,21285,0,15.28,0
36,SPY200226P00323000,2020-02-25 1:27PM EST,323.0,6.53,6.65,6.79,3.24,+98.48%,21764,0,16.5,0
0,SPY200228P00270000,2020-02-25 1:27PM EST,270.0,0.07,0.07,0.08,-0.09,-56.25%,1436,0,66.02,2
1,SPY200228P00275000,2020-02-25 1:23PM EST,275.0,0.1,0.08,0.09,-0.11,-52.38%,401,0,60.16,2
2,SPY200228P00280000,2020-02-25 1:21PM EST,280.0,0.12,0.11,0.12,-0.13,-52.00%,3826,0,55.66,2
3,SPY200228P00285000,2020-02-25 1:26PM EST,285.0,0.14,0.14,0.15,-0.18,-56.25%,561,0,50.49,2
4,SPY200228P00287500,2020-02-25 1:26PM EST,287.5,0.17,0.17,0.18,-0.2,-54.05%,1265,0,48.63,2
5,SPY200228P00290000,2020-02-25 1:24PM EST,290.0,0.2,0.18,0.2,-0.2,-50.00%,3157,0,45.75,2
6,SPY200228P00291000,2020-02-25 1:28PM EST,291.0,0.2,0.2,0.21,-0.2,-50.00%,596,0,44.63,2
7,SPY200228P00292000,2020-02-25 1:18PM EST,292.0,0.24,0.22,0.23,-0.18,-42.86%,1606,0,43.85,2
8,SPY200228P00292500,2020-02-25 1:12PM EST,292.5,0.2,0.23,0.24,-0.22,-52.38%,118,0,43.46,2
9,SPY200228P00293000,2020-02-25 12:57PM EST,293.0,0.24,0.25,0.26,-0.21,-46.67%,1097,0,43.36,2
10,SPY200228P00294000,2020-02-25 12:32PM EST,294.0,0.26,0.27,0.28,-0.22,-45.83%,1262,0,42.38,2
11,SPY200228P00295000,2020-02-25 1:22PM EST,295.0,0.29,0.3,0.31,-0.24,-45.28%,6370,0,41.7,2
12,SPY200228P00296000,2020-02-25 1:26PM EST,296.0,0.32,0.31,0.32,-0.26,-44.83%,851,0,40.33,2
13,SPY200228P00297000,2020-02-25 1:11PM EST,297.0,0.29,0.35,0.36,-0.29,-50.00%,1061,0,39.7,2
14,SPY200228P00297500,2020-02-25 1:26PM EST,297.5,0.38,0.36,0.38,-0.16,-29.63%,4401,0,39.36,2
15,SPY200228P00298000,2020-02-25 1:22PM EST,298.0,0.4,0.37,0.39,-0.16,-28.57%,730,0,38.77,2
16,SPY200228P00299000,2020-02-25 1:26PM EST,299.0,0.45,0.43,0.44,-0.16,-26.23%,1279,0,38.14,2
17,SPY200228P00300000,2020-02-25 1:27PM EST,300.0,0.49,0.49,0.5,-0.21,-30.00%,15815,0,37.6,2
18,SPY200228P00301000,2020-02-25 1:27PM EST,301.0,0.54,0.54,0.55,-0.16,-22.86%,1101,0,36.72,2
19,SPY200228P00302000,2020-02-25 1:27PM EST,302.0,0.61,0.62,0.63,-0.19,-23.75%,9961,0,36.23,2
20,SPY200228P00302500,2020-02-25 1:24PM EST,302.5,0.67,0.65,0.66,-0.05,-6.94%,10250,0,35.79,2
21,SPY200228P00303000,2020-02-25 1:27PM EST,303.0,0.69,0.69,0.71,-0.12,-14.81%,1664,0,35.6,2
22,SPY200228P00304000,2020-02-25 1:26PM EST,304.0,0.81,0.77,0.78,-0.11,-11.96%,9741,0,34.67,2
23,SPY200228P00305000,2020-02-25 1:26PM EST,305.0,0.98,0.9,0.92,-0.01,-1.01%,5704,0,34.52,2
24,SPY200228P00306000,2020-02-25 1:27PM EST,306.0,1.04,1.06,1.08,0.0,-,2463,0,34.38,2
25,SPY200228P00307000,2020-02-25 1:26PM EST,307.0,1.25,1.18,1.19,0.18,+16.82%,5679,0,33.45,2
26,SPY200228P00307500,2020-02-25 1:24PM EST,307.5,1.3,1.25,1.27,0.11,+9.24%,2095,0,33.18,2
27,SPY200228P00308000,2020-02-25 1:28PM EST,308.0,1.34,1.34,1.36,0.18,+15.52%,5553,0,32.98,2
28,SPY200228P00309000,2020-02-25 1:23PM EST,309.0,1.56,1.5,1.52,0.26,+20.00%,4628,0,32.2,2
29,SPY200228P00310000,2020-02-25 1:28PM EST,310.0,1.74,1.72,1.74,0.39,+28.89%,25018,0,31.8,2
30,SPY200228P00311000,2020-02-25 1:27PM EST,311.0,1.94,1.98,2.0,0.49,+33.79%,3696,0,31.49,2
31,SPY200228P00312000,2020-02-25 1:28PM EST,312.0,2.23,2.22,2.23,0.54,+31.95%,14368,0,30.69,2
32,SPY200228P00312500,2020-02-25 1:28PM EST,312.5,2.37,2.35,2.38,0.57,+31.67%,1713,0,30.49,2
33,SPY200228P00313000,2020-02-25 1:28PM EST,313.0,2.53,2.46,2.48,0.63,+33.16%,4642,0,29.82,2
34,SPY200228P00314000,2020-02-25 1:27PM EST,314.0,2.84,2.78,2.8,0.88,+44.90%,6614,0,29.25,2
35,SPY200228P00315000,2020-02-25 1:28PM EST,315.0,3.2,3.18,3.2,1.06,+49.53%,28825,0,29.0,2
36,SPY200228P00316000,2020-02-25 1:27PM EST,316.0,3.61,3.53,3.56,1.19,+49.17%,8161,0,28.16,2
37,SPY200228P00317000,2020-02-25 1:27PM EST,317.0,3.99,3.95,3.98,1.49,+59.60%,12067,0,27.45,2
38,SPY200228P00317500,2020-02-25 1:26PM EST,317.5,4.34,4.21,4.23,1.65,+61.34%,4887,0,27.27,2
39,SPY200228P00318000,2020-02-25 1:27PM EST,318.0,4.41,4.47,4.49,1.73,+64.55%,15785,0,27.09,2
40,SPY200228P00319000,2020-02-25 1:27PM EST,319.0,4.94,4.89,4.91,1.78,+56.33%,13947,0,25.66,2
41,SPY200228P00320000,2020-02-25 1:28PM EST,320.0,5.52,5.48,5.5,2.3,+71.43%,46474,0,25.16,2
42,SPY200228P00321000,2020-02-25 1:27PM EST,321.0,6.03,6.07,6.09,2.45,+68.44%,11677,0,24.23,2
43,SPY200228P00322000,2020-02-25 1:28PM EST,322.0,6.7,6.6,6.66,2.64,+65.02%,10876,0,22.53,2
44,SPY200228P00322500,2020-02-25 1:26PM EST,322.5,7.26,7.04,7.08,3.16,+77.07%,3592,0,22.8,2
