,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,STE200320C00130000,2020-02-11 10:36AM EST,130.0,28.5,34.8,37.0,0.0,-,4,0,62.06,22
3,STE200320C00145000,2020-02-12 12:46PM EST,145.0,22.06,19.9,22.7,0.0,-,3,2,48.52,22
4,STE200320C00150000,2020-02-14 2:04PM EST,150.0,17.23,15.1,17.3,0.0,-,4,0,35.47,22
5,STE200320C00155000,2020-02-14 10:21AM EST,155.0,11.5,10.9,12.2,0.0,-,6,0,26.22,22
6,STE200320C00160000,2020-02-24 1:29PM EST,160.0,9.22,7.3,8.2,0.0,-,3,0,25.55,22
7,STE200320C00165000,2020-02-26 11:07AM EST,165.0,5.3,4.1,4.7,1.4,+35.90%,2,22,23.4,22
8,STE200320C00170000,2020-02-25 1:59PM EST,170.0,2.92,1.65,2.4,1.12,+62.22%,1,14,22.93,22
9,STE200320C00175000,2020-02-24 2:46PM EST,175.0,1.27,0.65,1.0,0.0,-,23,49,22.19,22
10,STE200320C00180000,2020-02-24 9:30AM EST,180.0,0.3,0.2,0.35,0.0,-,2,12,21.8,22
11,STE200320C00185000,2019-08-18 11:08PM EST,185.0,1.5,0.3,4.0,0.0,-,-,10,60.55,22
0,STE200619C00130000,2020-02-12 9:30AM EST,130.0,35.0,36.0,40.0,0.0,-,3,8,46.89,113
2,STE200619C00155000,2020-02-20 12:05PM EST,155.0,15.4,13.6,15.7,0.0,-,2,7,24.66,113
3,STE200619C00160000,2020-02-11 2:48PM EST,160.0,8.2,10.3,12.2,0.0,-,1,0,23.63,113
4,STE200619C00165000,2020-01-24 12:18PM EST,165.0,5.0,8.8,10.0,0.0,-,7,0,25.05,113
5,STE200619C00170000,2020-02-21 2:55PM EST,170.0,7.74,5.4,6.9,0.0,-,1,0,22.8,113
6,STE200619C00175000,2020-02-19 9:59AM EST,175.0,4.41,2.2,5.0,0.0,-,51,0,22.6,113
7,STE200619C00180000,2020-02-13 10:58AM EST,180.0,2.1,1.85,3.3,0.0,-,-,40,21.7,113
8,STE200619C00185000,2020-02-24 12:22PM EST,185.0,1.9,1.05,2.25,0.0,-,19,0,21.65,113
0,STE200918C00145000,2020-02-18 12:06AM EST,145.0,19.3,24.1,25.5,0.0,-,-,-,25.48,204
1,STE200918C00150000,2020-02-12 9:41AM EST,150.0,19.0,20.3,22.2,0.0,-,-,1,26.01,204
2,STE200918C00155000,2020-02-12 2:55PM EST,155.0,18.15,16.8,18.5,0.0,-,2,0,24.85,204
3,STE200918C00160000,2020-02-25 2:17PM EST,160.0,13.58,13.0,16.0,0.0,-,2,3,25.68,204
4,STE200918C00165000,2020-02-12 9:53AM EST,165.0,11.5,10.7,12.2,0.0,-,3,20,23.16,204
5,STE200918C00170000,2020-02-24 1:20PM EST,170.0,9.5,8.8,9.5,0.0,-,1,1,22.26,204
6,STE200918C00175000,2020-02-24 2:27PM EST,175.0,7.5,6.4,7.5,0.0,-,1,0,22.08,204
7,STE200918C00180000,2020-02-12 11:29AM EST,180.0,5.35,4.5,6.0,0.0,-,6,0,22.28,204
8,STE200918C00200000,2020-02-18 9:30AM EST,200.0,1.6,1.05,1.6,0.0,-,1,61,20.53,204
