,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,STE200320P00105000,2019-10-31 8:30AM EST,105.0,0.8,0.0,0.0,0.0,-,10,0,50.0,22
1,STE200320P00115000,2019-08-18 11:08PM EST,115.0,1.05,0.0,1.95,0.0,-,-,10,95.65,22
2,STE200320P00120000,2019-11-05 9:30AM EST,120.0,1.05,0.3,1.75,0.0,-,-,20,87.6,22
3,STE200320P00125000,2020-02-11 10:35AM EST,125.0,0.32,0.1,2.85,0.0,-,1,20,86.38,22
4,STE200320P00130000,2019-11-21 11:44AM EST,130.0,1.25,0.5,1.25,0.0,-,10,20,67.43,22
5,STE200320P00135000,2020-02-07 4:00PM EST,135.0,0.1,0.05,2.9,0.0,-,1,0,68.12,22
6,STE200320P00140000,2020-02-11 2:49PM EST,140.0,0.3,0.0,0.25,0.0,-,1,17,38.67,22
7,STE200320P00145000,2020-02-21 1:40PM EST,145.0,0.2,0.1,0.3,0.0,-,1,38,33.3,22
8,STE200320P00150000,2020-02-26 10:04AM EST,150.0,0.35,0.25,0.55,-0.05,-12.50%,1,0,30.76,22
9,STE200320P00155000,2020-02-25 1:59PM EST,155.0,0.95,0.65,1.1,0.0,-,1,4,29.14,22
10,STE200320P00160000,2020-02-26 10:21AM EST,160.0,1.49,1.45,2.25,-0.69,-31.65%,1,0,28.65,22
11,STE200320P00165000,2020-02-20 3:46PM EST,165.0,3.49,3.1,3.9,0.0,-,5,10,26.92,22
12,STE200320P00170000,2020-02-13 12:36PM EST,170.0,5.74,5.6,6.7,0.0,-,-,-,27.19,22
13,STE200320P00175000,2020-02-13 4:42PM EST,175.0,8.87,8.2,10.6,0.0,-,-,0,29.8,22
0,STE200619P00100000,2019-11-18 3:11PM EST,100.0,0.7,0.25,1.2,0.0,-,-,4,53.71,113
1,STE200619P00120000,2019-11-11 12:09AM EST,120.0,2.35,0.65,2.0,0.0,-,-,0,47.56,113
2,STE200619P00125000,2019-11-25 12:02AM EST,125.0,2.05,0.95,1.85,0.0,-,-,0,42.02,113
3,STE200619P00130000,2019-12-16 12:06AM EST,130.0,2.35,0.25,2.7,0.0,-,-,0,42.38,113
4,STE200619P00135000,2020-01-23 12:13PM EST,135.0,2.9,0.5,0.8,0.0,-,-,0,26.45,113
5,STE200619P00145000,2020-02-04 11:04AM EST,145.0,5.0,1.15,2.05,0.0,-,20,0,25.78,113
6,STE200619P00155000,2020-02-18 12:06AM EST,155.0,3.3,3.1,4.4,0.0,-,-,0,24.96,113
0,STE200918P00135000,2020-01-23 12:16PM EST,135.0,4.2,1.35,1.65,0.0,-,-,0,24.04,204
1,STE200918P00145000,2020-02-10 9:43AM EST,145.0,6.6,2.95,4.1,0.0,-,-,1,25.48,204
2,STE200918P00155000,2020-02-12 9:36AM EST,155.0,5.95,4.6,6.7,0.0,-,1,1,23.95,204
3,STE200918P00160000,2020-02-18 12:06AM EST,160.0,7.0,7.3,8.8,0.0,-,1,0,24.0,204
