,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,SYY200228C00070000,2020-01-22 12:12PM EST,70.0,7.5,4.7,9.1,0.0,-,-,2,203.56,1
1,SYY200228C00071000,2020-02-18 12:03AM EST,71.0,5.29,2.15,2.6,0.0,-,-,0,52.34,1
2,SYY200228C00073000,2020-02-25 6:55PM EST,73.0,1.75,1.25,1.6,0.0,-,-,-,53.71,1
3,SYY200228C00074000,2020-02-26 1:10PM EST,74.0,0.46,0.25,0.35,-0.59,-56.19%,4,6,27.88,1
4,SYY200228C00074500,2020-02-25 6:56PM EST,74.5,0.75,0.4,0.55,0.0,-,-,-,42.87,1
5,SYY200228C00075000,2020-02-21 12:06PM EST,75.0,0.4,0.05,0.2,-0.1,-20.00%,7,0,31.64,1
6,SYY200228C00076000,2020-02-24 12:37PM EST,76.0,0.15,0.0,0.1,-0.5,-76.92%,1,0,33.59,1
7,SYY200228C00076500,2020-02-24 12:36PM EST,76.5,0.45,0.05,0.1,0.0,-,2,31,37.5,1
8,SYY200228C00077000,2020-02-24 3:21PM EST,77.0,0.25,0.0,0.1,0.0,-,1,0,41.41,1
9,SYY200228C00078000,2020-02-25 10:54AM EST,78.0,0.1,0.0,0.1,0.0,-,1,43,48.83,1
10,SYY200228C00078500,2020-02-24 10:23AM EST,78.5,0.1,0.0,0.05,0.0,-,25,0,45.7,1
11,SYY200228C00079000,2020-02-26 12:47PM EST,79.0,0.05,0.0,0.05,0.0,-,4,0,48.83,1
12,SYY200228C00079500,2020-02-12 3:58PM EST,79.5,0.05,0.05,0.1,0.0,-,1,0,56.06,1
13,SYY200228C00080000,2020-02-18 10:19AM EST,80.0,0.2,0.0,0.05,0.0,-,4,0,55.08,1
14,SYY200228C00080500,2020-02-24 10:23AM EST,80.5,0.01,0.0,0.05,0.0,-,20,21,51.95,1
15,SYY200228C00081000,2020-02-13 11:24AM EST,81.0,0.15,0.0,0.05,0.0,-,1,0,54.69,1
16,SYY200228C00082000,2020-02-03 3:57PM EST,82.0,0.1,0.0,0.15,0.0,-,27,27,71.88,1
17,SYY200228C00082500,2020-01-30 3:08PM EST,82.5,1.9,0.0,0.25,0.0,-,-,2,82.42,1
18,SYY200228C00083000,2020-02-03 10:54AM EST,83.0,0.12,0.0,0.1,0.0,-,3,23,72.66,1
19,SYY200228C00083500,2020-01-24 9:36AM EST,83.5,2.35,0.0,0.2,0.0,-,-,6,85.16,1
20,SYY200228C00084000,2020-02-12 11:56AM EST,84.0,0.03,0.0,0.2,0.0,-,1,12,88.28,1
21,SYY200228C00085000,2020-02-12 3:53PM EST,85.0,0.05,0.0,0.15,0.0,-,1,2,89.45,1
22,SYY200228C00086500,2020-02-10 12:58PM EST,86.5,0.03,0.0,0.4,0.0,-,2,0,117.38,1
23,SYY200228C00088000,2020-02-14 11:49AM EST,88.0,0.05,0.0,0.1,0.0,-,2,0,99.22,1
24,SYY200228C00089000,2020-01-10 2:09PM EST,89.0,0.6,0.0,0.0,0.0,-,1,1,50.0,1
25,SYY200228C00089500,2020-01-13 12:00PM EST,89.5,0.4,0.0,0.0,0.0,-,-,0,50.0,1
