,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,TFX200320P00280000,2019-09-03 1:55PM EST,280.0,4.9,5.6,10.1,0.0,-,-,1,94.67,22
1,TFX200320P00300000,2020-02-13 1:53PM EST,300.0,0.3,0.0,5.0,0.0,-,1,0,61.74,22
2,TFX200320P00330000,2020-02-26 1:28PM EST,330.0,3.9,2.5,6.5,-6.1,-61.00%,10,3,38.12,22
3,TFX200320P00340000,2020-02-25 3:33PM EST,340.0,6.95,5.0,9.7,0.0,-,12,16,36.31,22
4,TFX200320P00350000,2020-02-25 3:33PM EST,350.0,11.15,9.8,14.4,0.0,-,1,0,35.52,22
5,TFX200320P00360000,2020-02-24 10:54AM EST,360.0,9.87,16.3,20.5,0.0,-,2,63,35.21,22
6,TFX200320P00370000,2020-02-24 1:50PM EST,370.0,14.2,24.0,28.2,0.0,-,1,0,36.6,22
7,TFX200320P00380000,2020-02-20 10:53AM EST,380.0,6.8,32.2,37.0,0.0,-,1,0,39.5,22
8,TFX200320P00390000,2020-02-20 3:52PM EST,390.0,10.71,41.6,46.5,0.0,-,-,1,43.87,22
9,TFX200320P00400000,2020-02-20 3:51PM EST,400.0,15.81,51.6,56.5,0.0,-,-,50,49.89,22
0,TFX200417P00270000,2019-12-16 10:35AM EST,270.0,1.8,0.0,5.0,0.0,-,1,0,50.06,50
1,TFX200417P00300000,2019-12-06 10:09AM EST,300.0,2.9,0.1,3.3,0.0,-,1,0,36.27,50
2,TFX200417P00340000,2020-02-21 1:09PM EST,340.0,6.3,8.7,13.0,0.0,-,2,0,31.17,50
3,TFX200417P00350000,2020-02-21 1:09PM EST,350.0,4.9,13.0,17.2,0.0,-,10,10,29.5,50
6,TFX200417P00410000,2020-02-18 12:10AM EST,410.0,43.0,61.5,66.4,0.0,-,2,0,37.39,50
0,TFX200515P00280000,2019-12-09 12:01AM EST,280.0,3.46,0.15,4.8,0.0,-,-,1,43.5,78
1,TFX200515P00290000,2019-09-06 6:38PM EST,290.0,7.5,11.4,15.9,0.0,-,1,0,59.05,78
2,TFX200515P00310000,2020-02-20 2:05PM EST,310.0,0.35,3.7,7.0,0.0,-,1,7,33.12,78
3,TFX200515P00340000,2020-01-02 2:51PM EST,340.0,9.37,6.9,10.8,0.0,-,1,0,21.64,78
4,TFX200515P00350000,2020-02-25 2:19PM EST,350.0,17.4,17.6,21.1,0.0,-,10,18,29.81,78
5,TFX200515P00360000,2019-11-20 10:24AM EST,360.0,26.4,15.1,20.0,0.0,-,1,0,18.46,78
6,TFX200515P00370000,2019-10-31 10:59AM EST,370.0,39.22,29.7,33.4,0.0,-,2,2,29.24,78
7,TFX200515P00380000,2019-09-12 9:07AM EST,380.0,50.41,60.1,64.7,0.0,-,1,1,64.71,78
0,TFX200717P00230000,2019-11-18 2:01PM EST,230.0,2.4,0.0,5.0,0.0,-,-,1,53.53,141
1,TFX200717P00280000,2020-02-25 10:54AM EST,280.0,3.0,2.2,6.1,0.0,-,5,7,35.32,141
2,TFX200717P00300000,2020-01-21 10:04AM EST,300.0,3.3,0.0,5.0,0.0,-,-,0,25.3,141
3,TFX200717P00370000,2019-11-20 10:58AM EST,370.0,35.7,23.1,26.5,0.0,-,-,0,12.47,141
