,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,TIF200228C00133000,2020-02-06 9:30AM EST,133.0,0.05,0.00,3.0,0.0,-,-,10,55.1,1
1,TIF200228C00135000,2020-02-24 11:22AM EST,135.0,0.05,0.00,0.04,-0.01,-16.67%,2,24,8.11,1
2,TIF200228C00138000,2020-02-24 11:29AM EST,138.0,0.01,-,2.13,0.0,-,-,-,79.88,1
3,TIF200228C00141000,2020-01-14 3:37PM EST,141.0,0.05,0.00,0.0,0.0,-,-,7,12.5,1
0,TIF200306C00134000,2020-02-05 9:36AM EST,134.0,1.2,0.0,2.37,0.0,-,-,1,28.71,8
1,TIF200306C00135000,2020-02-24 11:22AM EST,135.0,0.05,0.0,0.1,0.0,-,2,12,5.81,8
0,TIF200313C00135000,2020-02-21 12:34PM EST,135.0,0.1,0.0,0.1,0.0,-,2,13,4.44,15
0,TIF200320C00132000,2020-02-24 1:33PM EST,132.0,2.5,0.05,4.25,0.0,-,-,-,24.68,22
1,TIF200320C00135000,2020-02-25 12:44PM EST,135.0,0.04,0.01,0.04,0.0,-,14,102,2.88,22
2,TIF200320C00140000,2020-02-25 9:30AM EST,140.0,0.15,0.0,0.42,0.0,-,5,0,16.75,22
0,TIF200327C00135000,2020-02-19 11:52AM EST,135.0,0.05,0.00,0.1,0.0,-,-,2,3.3,29
1,TIF200327C00138000,2020-02-24 11:29AM EST,138.0,2.13,-,2.13,0.0,-,-,-,24.85,29
0,TIF200403C00135000,2020-02-19 11:52AM EST,135.0,0.02,0.0,0.1,0.0,-,-,0,2.98,36
0,TIF200417C00135000,2020-02-24 10:18AM EST,135.0,0.1,-,0.1,0.0,-,-,-,2.54,50
0,TIF200515C00080000,2020-01-02 11:52AM EST,80.0,51.5,52.0,56.6,0.0,-,-,0,66.04,78
2,TIF200515C00100000,2019-11-26 11:46AM EST,100.0,34.6,31.5,36.4,0.0,-,1,0,61.68,78
3,TIF200515C00105000,2019-12-19 10:07AM EST,105.0,28.65,27.1,31.8,0.0,-,5,7,57.04,78
4,TIF200515C00110000,2019-11-01 8:38AM EST,110.0,17.8,21.35,26.0,0.0,-,3,2,44.29,78
5,TIF200515C00120000,2019-11-13 3:13PM EST,120.0,10.0,12.45,14.85,0.0,-,1,43,23.39,78
6,TIF200515C00125000,2019-11-26 2:03PM EST,125.0,6.7,7.3,11.4,0.0,-,10,28,25.35,78
7,TIF200515C00130000,2020-02-13 9:38AM EST,130.0,3.76,3.9,5.0,0.0,-,5,0,11.35,78
8,TIF200515C00135000,2020-02-24 2:21PM EST,135.0,0.06,0.0,0.0,0.0,-,177,0,0.78,78
9,TIF200515C00140000,2020-02-24 12:24PM EST,140.0,0.04,0.02,0.25,0.0,-,16,358,7.86,78
10,TIF200515C00145000,2019-11-25 3:24PM EST,145.0,0.14,0.0,0.26,0.0,-,2,12,12.04,78
11,TIF200515C00150000,2019-11-04 9:56AM EST,150.0,0.75,0.0,0.26,0.0,-,76,76,15.7,78
12,TIF200515C00165000,2019-12-02 12:02AM EST,165.0,0.1,0.0,0.26,0.0,-,-,0,25.22,78
1,TIF200619C00090000,2019-10-25 12:22PM EST,90.0,16.1,41.3,46.0,0.0,-,2,22,61.41,113
3,TIF200619C00100000,2019-12-12 2:19PM EST,100.0,33.74,31.7,36.4,0.0,-,1,7,51.44,113
4,TIF200619C00105000,2019-11-14 2:36PM EST,105.0,19.3,27.3,30.1,0.0,-,3,56,36.63,113
5,TIF200619C00110000,2019-10-25 9:07AM EST,110.0,7.42,21.9,26.2,0.0,-,35,36,38.06,113
6,TIF200619C00115000,2019-10-25 9:46AM EST,115.0,5.65,16.9,21.2,0.0,-,17,31,32.19,113
7,TIF200619C00120000,2019-12-31 3:18PM EST,120.0,15.05,12.7,16.7,0.0,-,1,0,28.58,113
9,TIF200619C00130000,2020-01-17 1:04PM EST,130.0,4.6,4.2,5.0,0.0,-,3,233,9.47,113
10,TIF200619C00135000,2020-02-24 9:59AM EST,135.0,0.07,0.0,0.1,0.0,-,50,0,1.71,113
11,TIF200619C00140000,2020-01-06 3:02PM EST,140.0,0.05,0.0,0.05,0.0,-,5,49,4.59,113
12,TIF200619C00145000,2019-12-02 12:21PM EST,145.0,0.1,0.05,0.26,0.0,-,1,0,10.04,113
0,TIF200821C00110000,2020-01-30 11:17PM EST,110.0,22.0,21.65,26.4,0.0,-,-,0,31.48,176
1,TIF200821C00130000,2020-02-06 12:28PM EST,130.0,4.3,4.1,6.05,0.0,-,1,0,10.76,176
2,TIF200821C00135000,2020-02-25 1:27PM EST,135.0,0.05,0.0,0.1,0.0,-,3,6614,1.37,176
0,TIF201120C00100000,2020-01-29 9:30AM EST,100.0,49.05,31.8,35.95,0.0,-,-,196,31.65,267
1,TIF201120C00105000,2020-01-30 11:17PM EST,105.0,35.25,26.8,31.0,0.0,-,-,0,27.96,267
2,TIF201120C00110000,2020-01-30 11:17PM EST,110.0,35.35,0.0,26.1,0.0,-,-,0,24.51,267
3,TIF201120C00115000,2020-01-29 9:30AM EST,115.0,21.4,16.9,21.1,0.0,-,-,0,20.7,267
4,TIF201120C00130000,2020-02-14 1:42PM EST,130.0,4.9,4.4,5.1,0.0,-,6,82,6.43,267
5,TIF201120C00135000,2020-02-25 12:37PM EST,135.0,0.06,0.0,0.15,-0.05,-45.45%,1,2457,1.29,267
6,TIF201120C00145000,2019-12-27 1:41PM EST,145.0,0.25,0.0,0.26,0.0,-,2,2,6.56,267
0,TIF210115C00060000,2019-12-02 9:48AM EST,60.0,74.0,71.1,76.0,0.0,-,1,0,64.6,323
1,TIF210115C00070000,2020-01-14 2:42PM EST,70.0,63.95,0.0,66.8,0.0,-,3,14,58.73,323
2,TIF210115C00075000,2019-10-29 11:36AM EST,75.0,52.55,56.1,61.0,0.0,-,0,10,49.19,323
3,TIF210115C00080000,2019-12-17 3:24PM EST,80.0,53.7,51.7,56.5,0.0,-,5,0,47.38,323
4,TIF210115C00085000,2019-10-29 1:32PM EST,85.0,42.7,46.1,51.0,0.0,-,1,19,40.52,323
5,TIF210115C00090000,2019-12-23 10:05AM EST,90.0,43.75,42.0,46.8,0.0,-,1,1,40.1,323
6,TIF210115C00095000,2019-11-25 10:00AM EST,95.0,38.0,36.7,41.4,0.0,-,1,5,34.39,323
8,TIF210115C00105000,2019-12-26 2:04PM EST,105.0,29.1,27.0,31.8,0.0,-,1,15,28.28,323
9,TIF210115C00110000,2019-12-27 12:04PM EST,110.0,25.0,22.0,26.6,0.0,-,1,41,23.93,323
10,TIF210115C00115000,2019-11-25 12:18PM EST,115.0,19.5,17.0,21.0,0.0,-,4,262,18.52,323
11,TIF210115C00120000,2019-12-31 3:18PM EST,120.0,14.15,12.1,16.8,0.0,-,1,0,17.25,323
12,TIF210115C00125000,2020-02-25 3:06PM EST,125.0,9.7,9.5,10.0,0.0,-,20,5205,8.96,323
13,TIF210115C00130000,2020-02-14 11:36AM EST,130.0,5.1,4.8,5.0,0.0,-,6,1298,5.62,323
14,TIF210115C00135000,2020-02-25 1:28PM EST,135.0,0.01,0.1,0.15,-0.16,-94.12%,1,5751,1.17,323
