,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,TJX200320P00047500,2020-02-25 3:52PM EST,47.5,0.05,0.0,0.1,0.0,-,1,3,55.08,22
1,TJX200320P00050000,2020-02-26 9:53AM EST,50.0,0.04,0.0,0.05,-0.08,-66.67%,5,99,46.88,22
2,TJX200320P00055000,2020-02-26 1:43PM EST,55.0,0.15,0.1,0.15,-0.4,-72.73%,191,0,37.99,22
3,TJX200320P00057500,2020-02-26 1:29PM EST,57.5,0.22,0.2,0.35,-0.88,-80.00%,163,668,36.18,22
4,TJX200320P00060000,2020-02-26 2:11PM EST,60.0,0.55,0.55,0.65,-1.45,-72.50%,492,1166,32.37,22
5,TJX200320P00062500,2020-02-26 2:03PM EST,62.5,1.2,1.1,1.2,-2.5,-67.57%,425,641,28.49,22
6,TJX200320P00065000,2020-02-26 2:04PM EST,65.0,2.4,2.25,2.4,-3.1,-56.36%,131,116,27.88,22
0,TJX200417P00035000,2019-08-20 2:54PM EST,35.0,0.35,0.0,0.45,0.0,-,-,21,88.87,50
1,TJX200417P00037500,2019-08-20 2:55PM EST,37.5,0.5,0.1,0.5,0.0,-,-,90,84.47,50
2,TJX200417P00040000,2019-12-12 2:35PM EST,40.0,0.05,0.0,0.05,0.0,-,8,42,51.56,50
3,TJX200417P00042500,2019-11-26 3:27PM EST,42.5,0.13,0.0,0.15,0.0,-,1,0,52.73,50
4,TJX200417P00045000,2019-12-09 1:00PM EST,45.0,0.12,0.0,0.0,0.0,-,5,168,25.0,50
5,TJX200417P00047500,2020-02-03 1:04PM EST,47.5,0.1,0.0,0.1,0.0,-,40,624,41.8,50
6,TJX200417P00050000,2020-02-26 11:27AM EST,50.0,0.1,0.05,0.1,-0.15,-60.00%,1013,1548,35.65,50
7,TJX200417P00052500,2020-02-25 3:48PM EST,52.5,0.15,0.1,0.15,-0.35,-70.00%,2,0,32.03,50
8,TJX200417P00055000,2020-02-26 1:24PM EST,55.0,0.25,0.25,0.35,-0.45,-64.29%,51,1598,31.74,50
9,TJX200417P00057500,2020-02-26 1:37PM EST,57.5,0.57,0.5,0.55,-0.85,-59.86%,70,1172,28.47,50
10,TJX200417P00060000,2020-02-26 1:46PM EST,60.0,0.95,0.85,1.0,-1.4,-59.57%,140,2773,26.81,50
11,TJX200417P00062500,2020-02-26 2:13PM EST,62.5,1.65,1.65,1.75,-1.85,-52.86%,3680,0,25.37,50
12,TJX200417P00065000,2020-02-26 12:02PM EST,65.0,3.02,2.75,2.95,-1.06,-25.98%,124,0,24.73,50
13,TJX200417P00067500,2020-01-31 2:09PM EST,67.5,4.26,4.4,4.6,-4.28,-50.12%,9,0,24.66,50
0,TJX200717P00040000,2020-02-21 9:32AM EST,40.0,0.05,0.0,0.15,0.0,-,2,0,40.04,141
1,TJX200717P00042500,2020-02-24 2:56PM EST,42.5,0.15,0.0,0.15,0.0,-,10,0,35.55,141
2,TJX200717P00045000,2020-02-25 3:24PM EST,45.0,0.3,0.05,0.4,0.0,-,-,0,38.23,141
3,TJX200717P00047500,2020-01-30 1:30PM EST,47.5,0.24,0.2,0.25,0.0,-,8,0,30.03,141
4,TJX200717P00050000,2020-02-26 10:20AM EST,50.0,0.4,0.35,0.4,-0.34,-45.95%,40,0,28.78,141
5,TJX200717P00052500,2020-02-26 1:00PM EST,52.5,0.6,0.55,0.7,-0.15,-20.00%,14,163,28.54,141
6,TJX200717P00055000,2020-02-26 12:41PM EST,55.0,0.9,0.9,1.0,-0.6,-40.00%,97,0,26.84,141
7,TJX200717P00057500,2020-02-26 12:42PM EST,57.5,1.45,1.35,1.5,-0.95,-39.58%,77,0,25.86,141
8,TJX200717P00060000,2020-02-26 1:01PM EST,60.0,2.11,2.05,2.15,-1.29,-37.94%,16,519,24.66,141
9,TJX200717P00062500,2020-02-26 1:00PM EST,62.5,2.85,2.95,3.1,-2.15,-43.00%,17,75,24.04,141
10,TJX200717P00065000,2020-02-26 9:54AM EST,65.0,3.86,4.2,4.4,-0.98,-20.25%,8,0,24.02,141
0,TJX201016P00050000,2020-02-26 10:37AM EST,50.0,0.75,0.7,0.9,-0.55,-42.31%,1,-,28.32,232
1,TJX201016P00055000,2020-02-25 2:15PM EST,55.0,2.47,1.55,1.75,0.0,-,1,1,26.45,232
2,TJX201016P00057500,2020-02-24 12:26PM EST,57.5,2.75,2.0,2.35,0.0,-,-,-,25.44,232
0,TJX210115P00025000,2019-10-01 1:13PM EST,25.0,0.22,0.05,0.35,0.0,-,4,0,51.86,323
1,TJX210115P00027500,2019-06-07 10:09AM EST,27.5,0.45,0.2,0.6,0.0,-,1,3,53.37,323
2,TJX210115P00030000,2020-02-07 11:40AM EST,30.0,0.1,0.0,0.15,0.0,-,1,0,40.63,323
3,TJX210115P00032500,2020-02-10 3:43PM EST,32.5,0.15,0.05,0.2,0.0,-,1,0,38.57,323
4,TJX210115P00035000,2020-01-08 11:35AM EST,35.0,0.2,0.05,0.3,0.0,-,1,219,37.5,323
5,TJX210115P00037500,2020-02-24 12:44PM EST,37.5,0.25,0.15,0.3,0.0,-,10,188,33.79,323
6,TJX210115P00040000,2020-02-24 12:44PM EST,40.0,0.39,0.15,0.4,0.0,-,10,252,32.15,323
7,TJX210115P00042500,2020-01-21 12:12PM EST,42.5,0.4,0.0,0.0,0.0,-,9,0,12.5,323
8,TJX210115P00045000,2020-02-24 9:41AM EST,45.0,0.75,0.6,0.75,0.0,-,9,0,29.72,323
9,TJX210115P00047500,2020-01-30 2:52PM EST,47.5,1.05,0.9,1.0,0.0,-,2,0,28.52,323
10,TJX210115P00050000,2020-02-18 1:26PM EST,50.0,1.5,1.2,1.35,0.0,-,1,0,27.59,323
11,TJX210115P00052500,2020-02-20 12:40PM EST,52.5,1.55,1.6,1.75,0.0,-,4,2552,26.4,323
12,TJX210115P00055000,2020-02-25 12:12PM EST,55.0,2.46,2.15,2.35,-0.49,-16.61%,6,0,25.82,323
13,TJX210115P00057500,2020-02-26 1:16PM EST,57.5,2.85,2.9,3.1,-1.15,-28.75%,4,0,25.31,323
14,TJX210115P00060000,2020-02-25 2:51PM EST,60.0,5.1,3.7,4.0,0.0,-,2,341,24.78,323
15,TJX210115P00062500,2020-02-25 2:53PM EST,62.5,4.7,4.8,5.0,-1.9,-28.79%,1,0,24.01,323
16,TJX210115P00065000,2020-02-26 1:47PM EST,65.0,6.2,6.1,6.3,0.2,+3.33%,6,17,23.82,323
17,TJX210115P00067500,2020-01-30 11:09AM EST,67.5,9.2,7.4,7.7,0.0,-,1,0,23.34,323
18,TJX210115P00070000,2020-01-14 10:56AM EST,70.0,9.8,9.4,10.3,0.0,-,2,16,27.32,323
19,TJX210115P00075000,2019-12-18 11:12AM EST,75.0,15.3,12.2,14.8,0.0,-,-,-,31.22,323
21,TJX210115P00082500,2019-07-21 11:04PM EST,82.5,27.65,0.0,30.8,0.0,-,-,-,75.21,323
0,TJX220121P00030000,2019-10-03 11:51AM EST,30.0,1.55,0.8,1.3,0.0,-,2,20,43.86,694
1,TJX220121P00032500,2019-10-18 1:52PM EST,32.5,1.2,0.65,1.2,0.0,-,-,20,39.06,694
2,TJX220121P00035000,2020-02-19 3:46PM EST,35.0,0.7,0.55,1.0,0.2,+40.00%,2,30,33.77,694
3,TJX220121P00037500,2020-02-05 3:52PM EST,37.5,0.8,0.75,1.05,0.0,-,2,0,31.01,694
4,TJX220121P00040000,2020-02-20 11:40AM EST,40.0,0.6,0.9,1.75,0.0,-,2,8,32.8,694
5,TJX220121P00042500,2020-01-27 2:03PM EST,42.5,1.55,1.3,1.75,0.0,-,24,0,29.6,694
6,TJX220121P00045000,2020-02-14 2:16PM EST,45.0,1.59,1.7,2.05,-0.11,-6.47%,6,1025,28.14,694
7,TJX220121P00047500,2020-01-16 2:51PM EST,47.5,2.39,1.95,2.3,0.0,-,4,9,26.29,694
8,TJX220121P00050000,2020-02-24 1:54PM EST,50.0,3.2,2.7,3.2,0.0,-,10,19,27.06,694
9,TJX220121P00052500,2020-02-20 3:23PM EST,52.5,3.24,3.3,3.9,0.0,-,4,6,26.49,694
10,TJX220121P00055000,2020-02-20 12:39PM EST,55.0,4.1,4.1,4.7,0.0,-,4,18,25.94,694
11,TJX220121P00057500,2019-12-30 11:25AM EST,57.5,6.24,6.2,6.8,0.0,-,1,0,29.2,694
12,TJX220121P00060000,2020-01-17 3:23PM EST,60.0,6.45,5.8,6.2,0.0,-,2,4,23.63,694
13,TJX220121P00065000,2019-10-23 9:55AM EST,65.0,12.14,10.5,12.1,0.0,-,20,20,32.88,694
14,TJX220121P00070000,2020-02-21 2:28PM EST,70.0,11.05,11.2,12.0,-2.75,-19.93%,23,0,23.58,694
15,TJX220121P00075000,2019-11-25 12:08AM EST,75.0,17.5,16.3,17.5,0.0,-,-,2,29.34,694
