,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,TMO200320C00175000,2019-12-27 12:39PM EST,175.0,151.7,136.4,140.8,0.0,-,30,0,152.71,22
1,TMO200320C00200000,2020-01-09 11:58AM EST,200.0,130.5,124.1,128.5,0.0,-,20,40,211.48,22
2,TMO200320C00220000,2020-01-16 11:38AM EST,220.0,116.95,117.2,121.8,0.0,-,1,1,242.59,22
3,TMO200320C00230000,2019-12-16 12:15AM EST,230.0,90.02,105.3,109.4,0.0,-,-,0,215.03,22
4,TMO200320C00240000,2020-02-25 3:09PM EST,240.0,72.02,68.7,73.2,0.0,-,17,0,77.38,22
5,TMO200320C00250000,2019-12-13 1:28PM EST,250.0,72.1,85.5,89.4,0.0,-,1,0,181.79,22
6,TMO200320C00260000,2020-02-07 2:21PM EST,260.0,66.22,50.0,53.1,0.0,-,2,0,57.83,22
7,TMO200320C00270000,2020-02-20 3:53PM EST,270.0,43.5,40.6,42.8,0.0,-,1,0,46.69,22
8,TMO200320C00280000,2020-02-25 2:55PM EST,280.0,34.7,31.4,33.6,0.0,-,3,64,42.19,22
9,TMO200320C00290000,2020-02-19 3:54PM EST,290.0,25.8,22.9,24.7,0.0,-,4,61,37.31,22
10,TMO200320C00300000,2020-02-25 3:53PM EST,300.0,15.85,15.9,16.8,0.0,-,33,162,33.83,22
11,TMO200320C00310000,2020-02-26 12:02PM EST,310.0,11.7,9.5,10.2,2.0,+20.62%,10,298,30.93,22
12,TMO200320C00320000,2020-02-26 1:07PM EST,320.0,5.72,4.8,5.4,0.42,+7.92%,37,0,28.84,22
13,TMO200320C00330000,2020-02-26 1:29PM EST,330.0,2.3,2.05,2.35,-0.2,-8.00%,37,626,26.96,22
14,TMO200320C00340000,2020-02-26 11:48AM EST,340.0,1.15,0.6,0.9,-0.05,-4.17%,1852,0,26.1,22
15,TMO200320C00350000,2020-02-26 2:06PM EST,350.0,0.3,0.15,0.35,-0.22,-42.31%,154,1577,26.34,22
16,TMO200320C00360000,2020-02-26 12:03PM EST,360.0,0.1,0.05,0.2,-0.07,-41.18%,8,363,28.49,22
17,TMO200320C00370000,2020-02-24 2:05PM EST,370.0,0.07,0.0,0.15,0.0,-,14,71,31.49,22
18,TMO200320C00380000,2020-02-19 3:32PM EST,380.0,0.05,0.0,0.1,0.0,-,1,50,33.69,22
19,TMO200320C00390000,2020-02-20 3:52PM EST,390.0,0.04,0.0,0.1,0.0,-,3,7,37.4,22
20,TMO200320C00400000,2020-02-04 12:09PM EST,400.0,0.04,0.0,0.1,0.0,-,-,1,41.02,22
0,TMO200417C00260000,2020-02-25 3:25PM EST,260.0,52.26,55.6,58.2,0.0,-,-,-,54.25,50
1,TMO200417C00270000,2020-02-25 2:55PM EST,270.0,45.5,42.6,45.1,0.0,-,2,2,40.72,50
2,TMO200417C00280000,2020-02-25 3:54PM EST,280.0,34.33,37.9,39.8,0.0,-,-,-,47.15,50
3,TMO200417C00300000,2020-02-25 3:54PM EST,300.0,19.16,19.1,20.2,0.0,-,8,6,30.85,50
4,TMO200417C00310000,2020-02-25 3:40PM EST,310.0,12.81,12.8,13.9,0.0,-,1,0,28.94,50
5,TMO200417C00320000,2020-02-26 1:55PM EST,320.0,8.6,8.2,8.8,0.65,+8.18%,51,40,27.18,50
6,TMO200417C00330000,2020-02-26 1:22PM EST,330.0,5.1,4.7,5.0,0.59,+13.08%,24,24,25.52,50
7,TMO200417C00340000,2020-02-26 1:31PM EST,340.0,2.65,2.35,2.75,0.2,+8.16%,5,3,24.87,50
8,TMO200417C00350000,2020-02-26 1:31PM EST,350.0,1.25,1.1,1.4,-0.55,-30.56%,390,29,24.37,50
9,TMO200417C00360000,2020-02-24 2:01PM EST,360.0,1.0,0.4,0.7,0.0,-,-,4,24.26,50
2,TMO200619C00175000,2020-02-03 12:20PM EST,175.0,145.4,134.1,138.5,0.0,-,1,31,50.88,113
4,TMO200619C00200000,2020-02-24 9:30AM EST,200.0,125.0,110.1,114.2,0.0,-,1,43,58.81,113
6,TMO200619C00230000,2019-12-20 1:37PM EST,230.0,96.7,106.6,111.3,0.0,-,1,42,101.44,113
7,TMO200619C00240000,2020-01-30 10:26AM EST,240.0,88.5,72.2,75.5,0.0,-,1,0,42.92,113
8,TMO200619C00250000,2020-01-31 12:39PM EST,250.0,73.0,67.5,70.5,0.0,-,1,0,49.95,113
9,TMO200619C00260000,2020-01-03 10:49AM EST,260.0,70.0,67.8,71.4,0.0,-,4,15,61.64,113
10,TMO200619C00270000,2020-02-20 3:53PM EST,270.0,68.68,45.8,49.0,0.0,-,18,0,35.69,113
11,TMO200619C00280000,2020-02-19 2:42PM EST,280.0,63.54,38.1,40.5,0.0,-,6,0,32.96,113
12,TMO200619C00290000,2020-02-19 3:59PM EST,290.0,34.0,30.5,33.2,-20.4,-37.50%,2,0,31.61,113
13,TMO200619C00300000,2020-02-24 10:03AM EST,300.0,24.2,24.5,25.7,0.0,-,1,88,29.07,113
14,TMO200619C00310000,2020-02-26 12:16PM EST,310.0,19.5,18.7,19.5,-0.17,-0.86%,2,0,27.53,113
15,TMO200619C00320000,2020-02-26 2:03PM EST,320.0,14.0,13.4,14.3,-0.06,-0.43%,5,69,26.3,113
16,TMO200619C00330000,2020-02-26 12:44PM EST,330.0,10.6,9.5,10.4,0.1,+0.95%,4,193,25.74,113
17,TMO200619C00340000,2020-02-26 12:44PM EST,340.0,7.2,6.3,6.9,0.1,+1.41%,3,351,24.52,113
18,TMO200619C00350000,2020-02-26 12:44PM EST,350.0,4.6,4.0,4.4,0.2,+4.55%,10,254,23.6,113
19,TMO200619C00360000,2020-02-26 10:34AM EST,360.0,3.11,2.4,2.8,0.41,+15.19%,9,0,23.16,113
20,TMO200619C00370000,2020-02-26 11:05AM EST,370.0,2.3,1.35,1.7,0.4,+21.05%,1,0,22.73,113
21,TMO200619C00380000,2020-02-19 3:52PM EST,380.0,0.95,0.8,1.1,0.0,-,1,0,22.84,113
22,TMO200619C00390000,2020-02-10 9:38AM EST,390.0,0.65,0.35,0.7,0.05,+8.33%,10,0,22.95,113
23,TMO200619C00400000,2020-02-24 10:01AM EST,400.0,0.4,0.15,0.55,0.0,-,1,10,23.93,113
0,TMO200918C00250000,2020-02-12 1:25PM EST,250.0,89.23,66.3,69.5,0.0,-,1,1,35.66,204
1,TMO200918C00270000,2020-02-05 11:57AM EST,270.0,69.38,50.2,52.6,0.0,-,-,0,31.79,204
2,TMO200918C00290000,2020-01-22 3:00PM EST,290.0,60.48,53.7,55.4,0.0,-,-,0,49.45,204
