,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,TMUS200228C00076500,2020-02-11 11:56AM EST,76.5,17.31,17.15,17.75,0.0,-,-,20,128.52,1
1,TMUS200228C00077000,2020-02-06 11:16AM EST,77.0,6.75,16.70,17.3,0.0,-,-,0,132.42,1
2,TMUS200228C00078000,2020-02-06 12:03PM EST,78.0,6.35,15.75,16.3,0.0,-,1,1,125.39,1
3,TMUS200228C00079000,2020-02-12 1:27PM EST,79.0,16.85,14.80,15.35,0.0,-,1,0,124.02,1
4,TMUS200228C00079500,2020-02-07 10:36AM EST,79.5,5.4,14.20,14.8,0.0,-,11,0,114.84,1
5,TMUS200228C00080000,2020-02-21 12:50PM EST,80.0,18.52,13.70,14.3,0.0,-,3,0,111.33,1
6,TMUS200228C00080500,2020-02-06 3:05PM EST,80.5,3.85,13.15,13.75,0.0,-,1,31,101.76,1
7,TMUS200228C00081000,2020-02-11 10:48AM EST,81.0,13.5,12.65,13.3,0.0,-,1,26,104.49,1
8,TMUS200228C00081500,2020-02-25 10:01AM EST,81.5,15.38,12.15,12.75,0.0,-,5,40,95.12,1
9,TMUS200228C00082000,2020-02-11 10:44AM EST,82.0,12.16,11.70,12.25,0.0,-,1,206,91.8,1
10,TMUS200228C00082500,2020-02-13 11:36AM EST,82.5,13.15,11.20,11.75,0.0,-,2,4,88.67,1
11,TMUS200228C00083000,2020-02-11 2:09PM EST,83.0,11.83,10.70,11.3,0.0,-,1,0,90.63,1
12,TMUS200228C00083500,2020-02-10 9:51AM EST,83.5,3.17,10.30,10.85,0.0,-,1,0,91.8,1
13,TMUS200228C00084000,2020-02-14 2:22PM EST,84.0,12.0,9.80,10.3,0.0,-,1,0,83.79,1
14,TMUS200228C00084500,2020-02-20 10:35AM EST,84.5,14.9,9.20,9.8,0.0,-,1,0,80.27,1
15,TMUS200228C00085000,2020-02-20 9:41AM EST,85.0,14.75,8.65,9.2,0.0,-,2,73,66.21,1
16,TMUS200228C00085500,2020-02-14 2:23PM EST,85.5,10.69,8.20,8.75,0.0,-,1,37,68.75,1
17,TMUS200228C00086000,2020-02-14 10:33AM EST,86.0,10.87,7.65,8.25,0.0,-,5,0,65.43,1
18,TMUS200228C00087000,2020-02-19 3:37PM EST,87.0,13.25,6.65,7.25,0.0,-,5,18,58.79,1
19,TMUS200228C00088000,2020-02-20 12:08PM EST,88.0,8.05,5.60,6.3,0.0,-,1,0,55.86,1
20,TMUS200228C00088500,2020-02-12 11:00AM EST,88.5,7.35,5.15,5.9,0.0,-,1,5,58.69,1
21,TMUS200228C00089000,2020-02-25 3:21PM EST,89.0,6.0,4.60,5.3,0.0,-,11,22,48.73,1
22,TMUS200228C00090000,2020-02-19 12:47PM EST,90.0,5.25,3.70,4.35,0.0,-,12,0,44.34,1
23,TMUS200228C00092000,2020-02-25 2:28PM EST,92.0,3.75,1.81,2.5,0.25,+7.14%,1,0,34.47,1
24,TMUS200228C00093000,2020-02-20 3:46PM EST,93.0,1.67,1.23,1.71,-4.58,-73.28%,1,22,31.64,1
25,TMUS200228C00094000,2020-02-26 12:19PM EST,94.0,1.08,0.88,1.17,-1.37,-55.92%,7,21,32.91,1
26,TMUS200228C00095000,2020-02-26 12:19PM EST,95.0,0.55,0.37,1.01,-0.6,-52.17%,59,104,41.36,1
27,TMUS200228C00096000,2020-02-26 10:53AM EST,96.0,0.32,0.09,0.69,-0.71,-68.93%,102,51,42.09,1
28,TMUS200228C00097000,2020-02-26 1:49PM EST,97.0,0.18,0.10,0.53,-0.72,-80.00%,2,318,45.51,1
29,TMUS200228C00098000,2020-02-26 2:07PM EST,98.0,0.1,0.00,0.34,-0.3,-75.00%,71,226,45.51,1
30,TMUS200228C00099000,2020-02-26 11:55AM EST,99.0,0.09,0.00,0.09,-0.07,-43.75%,16,146,36.82,1
31,TMUS200228C00100000,2020-02-26 11:55AM EST,100.0,0.02,0.02,0.04,-0.11,-84.62%,12,389,36.33,1
32,TMUS200228C00101000,2020-02-26 9:43AM EST,101.0,0.01,0.00,0.05,-0.05,-83.33%,6,0,42.58,1
33,TMUS200228C00102000,2020-02-25 2:38PM EST,102.0,0.05,0.00,0.05,0.02,+66.67%,1,0,47.46,1
34,TMUS200228C00103000,2020-02-26 9:57AM EST,103.0,0.02,0.01,0.01,-0.01,-33.33%,3,475,41.41,1
35,TMUS200228C00104000,2020-02-25 12:37PM EST,104.0,0.02,0.00,0.01,0.0,-,10,317,45.31,1
36,TMUS200228C00105000,2020-02-25 1:24PM EST,105.0,0.01,0.00,0.02,0.0,-,9,382,53.52,1
37,TMUS200228C00106000,2020-02-24 9:30AM EST,106.0,0.11,0.00,0.02,0.0,-,11,153,53.13,1
38,TMUS200228C00107000,2020-02-24 9:30AM EST,107.0,0.1,0.00,0.04,0.0,-,1,29,61.72,1
39,TMUS200228C00108000,2020-02-20 10:19AM EST,108.0,0.09,0.00,0.01,0.0,-,2,0,56.25,1
40,TMUS200228C00109000,2020-02-24 12:07AM EST,109.0,0.09,-,0.07,0.0,-,-,0,82.42,1
41,TMUS200228C00110000,2020-02-21 12:19PM EST,110.0,0.02,0.00,0.01,0.0,-,2,0,62.5,1
42,TMUS200228C00111000,2020-02-19 1:15PM EST,111.0,0.09,0.00,0.07,0.0,-,-,0,82.03,1
43,TMUS200228C00114000,2020-02-25 6:53PM EST,114.0,0.03,-,0.07,0.0,-,-,1,102.73,1
44,TMUS200228C00115000,2020-02-24 11:01AM EST,115.0,0.05,0.00,0.07,0.0,-,-,2,96.88,1
0,TMUS200306C00079500,2020-02-06 10:49AM EST,79.5,3.8,14.20,14.85,0.0,-,-,0,66.02,8
1,TMUS200306C00080000,2020-02-11 12:25PM EST,80.0,14.0,13.70,14.3,0.0,-,2,0,61.04,8
2,TMUS200306C00081000,2020-02-07 12:06PM EST,81.0,4.8,12.75,13.4,0.0,-,2,13,62.7,8
3,TMUS200306C00081500,2020-02-11 11:32AM EST,81.5,10.45,12.20,12.85,0.0,-,3,0,58.11,8
4,TMUS200306C00082000,2020-02-11 11:28AM EST,82.0,11.0,11.70,12.3,0.0,-,2,0,53.42,8
5,TMUS200306C00082500,2020-02-18 9:55AM EST,82.5,14.45,11.20,11.85,0.0,-,1,4,54.2,8
6,TMUS200306C00083000,2020-02-07 1:21PM EST,83.0,3.75,10.70,11.3,0.0,-,4,15,49.61,8
7,TMUS200306C00083500,2020-02-11 10:17AM EST,83.5,10.65,10.15,10.8,0.0,-,1,0,47.75,8
8,TMUS200306C00084000,2020-02-11 9:51AM EST,84.0,10.15,9.65,10.4,0.0,-,5,0,50.59,8
9,TMUS200306C00084500,2020-02-20 9:38AM EST,84.5,12.5,9.15,9.8,0.0,-,1,4,43.95,8
10,TMUS200306C00085000,2020-02-11 9:33AM EST,85.0,8.95,8.65,9.4,0.0,-,1,0,46.48,8
11,TMUS200306C00085500,2020-02-11 11:34AM EST,85.5,8.2,8.05,8.9,0.0,-,3,1,44.53,8
12,TMUS200306C00087000,2020-02-11 3:36PM EST,87.0,8.35,6.70,7.4,0.0,-,-,1,38.38,8
13,TMUS200306C00087500,2020-02-19 10:56AM EST,87.5,12.96,6.35,6.85,0.0,-,2,0,34.52,8
