,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,TROW200228P00117000,2020-02-03 12:02AM EST,117.0,0.35,0.1,0.55,0.0,-,-,0,72.56,1
1,TROW200228P00122000,2020-02-25 3:01PM EST,122.0,0.71,0.35,0.55,0.0,-,4,127,50.68,1
2,TROW200228P00124000,2020-02-25 6:45PM EST,124.0,1.05,0.4,1.1,0.0,-,-,-,57.18,1
3,TROW200228P00125000,2020-02-25 3:01PM EST,125.0,1.22,0.75,1.0,0.0,-,4,2,47.07,1
4,TROW200228P00126000,2020-02-25 1:55PM EST,126.0,1.25,1.05,1.25,0.0,-,6,11,45.07,1
5,TROW200228P00127000,2020-02-25 1:55PM EST,127.0,1.15,1.35,1.55,-0.4,-25.81%,10,11,42.87,1
6,TROW200228P00128000,2020-02-25 2:47PM EST,128.0,1.5,1.75,2.05,-1.1,-42.31%,13,36,43.41,1
7,TROW200228P00129000,2020-02-21 10:45AM EST,129.0,1.35,2.25,2.7,0.0,-,10,0,45.56,1
8,TROW200228P00130000,2020-02-25 11:00AM EST,130.0,2.5,2.25,2.8,0.55,+28.21%,15,-,33.06,1
9,TROW200228P00131000,2020-02-25 2:14PM EST,131.0,3.9,3.5,4.1,0.0,-,17,29,47.61,1
10,TROW200228P00133000,2020-02-25 2:14PM EST,133.0,6.5,4.7,6.6,0.0,-,4,4,73.93,1
11,TROW200228P00134000,2020-02-21 12:11PM EST,134.0,0.77,5.8,7.6,0.0,-,1,0,55.03,1
12,TROW200228P00135000,2020-02-21 3:45PM EST,135.0,6.0,6.7,9.3,4.7,+361.54%,5,0,70.02,1
13,TROW200228P00136000,2020-02-20 10:25AM EST,136.0,1.05,7.7,10.1,0.0,-,1,0,72.46,1
14,TROW200228P00137000,2020-02-19 3:01PM EST,137.0,0.71,8.7,11.0,0.0,-,-,39,76.12,1
15,TROW200228P00138000,2020-02-20 11:20AM EST,138.0,1.5,9.1,12.4,0.0,-,-,0,77.64,1
16,TROW200228P00139000,2020-02-21 1:43PM EST,139.0,12.25,10.1,13.1,0.0,-,1,0,76.47,1
17,TROW200228P00140000,2020-01-29 3:59PM EST,140.0,4.5,11.0,14.3,0.0,-,5,0,83.2,1
0,TROW200306P00110000,2020-02-25 6:45PM EST,110.0,0.35,-,0.95,0.0,-,-,-,78.91,8
1,TROW200306P00120000,2020-02-04 11:59AM EST,120.0,0.4,0.85,1.15,0.0,-,1,2,47.61,8
2,TROW200306P00123000,2020-01-27 1:24PM EST,123.0,1.0,1.35,1.65,0.0,-,-,0,43.31,8
3,TROW200306P00124000,2020-02-25 2:29PM EST,124.0,2.18,1.25,1.5,0.0,-,-,-,36.91,8
4,TROW200306P00125000,2020-02-25 3:12PM EST,125.0,1.35,1.90,2.2,-1.0,-42.55%,39,0,41.53,8
5,TROW200306P00129000,2020-02-18 12:04AM EST,129.0,1.95,3.40,3.8,0.0,-,3,0,38.11,8
6,TROW200306P00130000,2020-01-30 10:36AM EST,130.0,2.2,4.00,4.6,0.0,-,-,0,40.65,8
7,TROW200306P00131000,2020-02-25 2:14PM EST,131.0,4.8,3.90,4.3,0.0,-,-,-,28.78,8
8,TROW200306P00132000,2020-02-24 9:35AM EST,132.0,6.2,5.20,5.7,0.0,-,2,18,38.04,8
9,TROW200306P00133000,2020-02-25 2:14PM EST,133.0,7.0,5.80,7.0,0.0,-,4,9,45.9,8
10,TROW200306P00135000,2020-02-21 10:47AM EST,135.0,4.6,6.70,8.3,0.0,-,4,0,43.12,8
11,TROW200306P00136000,2020-02-18 1:06PM EST,136.0,1.85,8.10,9.7,0.0,-,9,0,52.44,8
12,TROW200306P00138000,2020-02-18 12:04AM EST,138.0,3.3,9.60,11.7,0.0,-,-,0,58.94,8
0,TROW200313P00122000,2020-02-25 3:01PM EST,122.0,2.15,1.8,2.1,0.0,-,4,5,41.36,15
1,TROW200313P00124000,2020-02-07 3:40PM EST,124.0,0.65,2.4,2.8,0.0,-,9,0,41.43,15
2,TROW200313P00125000,2020-02-25 3:01PM EST,125.0,3.01,2.8,3.1,0.0,-,4,14,40.49,15
3,TROW200313P00127000,2020-02-24 9:48AM EST,127.0,2.0,3.6,4.0,0.0,-,5,5,40.53,15
4,TROW200313P00128000,2020-02-24 9:48AM EST,128.0,2.25,3.9,4.3,0.0,-,-,5,38.67,15
5,TROW200313P00129000,2020-02-24 9:48AM EST,129.0,2.5,4.3,4.9,0.0,-,4,0,39.23,15
6,TROW200313P00130000,2020-02-24 9:48AM EST,130.0,2.85,5.1,5.7,0.0,-,5,6,41.31,15
7,TROW200313P00131000,2020-02-18 10:52AM EST,131.0,0.95,5.6,6.4,0.0,-,5,0,42.19,15
8,TROW200313P00133000,2020-02-11 11:30AM EST,133.0,1.48,7.0,7.9,0.0,-,-,3,44.1,15
9,TROW200313P00134000,2020-02-10 12:07AM EST,134.0,2.75,7.8,8.4,0.0,-,-,0,42.19,15
10,TROW200313P00135000,2020-02-12 3:30PM EST,135.0,2.15,7.8,9.9,0.0,-,-,4,50.15,15
11,TROW200313P00136000,2020-02-05 9:45AM EST,136.0,3.6,9.3,10.2,0.0,-,-,10,45.73,15
12,TROW200313P00137000,2020-02-12 12:02PM EST,137.0,2.87,10.1,11.1,0.0,-,10,27,47.27,15
13,TROW200313P00139000,2020-02-10 12:07AM EST,139.0,4.9,11.3,13.9,0.0,-,-,0,61.11,15
14,TROW200313P00141000,2020-02-05 10:50AM EST,141.0,6.8,12.6,16.2,0.0,-,-,0,69.41,15
0,TROW200320P00090000,2020-02-25 3:46PM EST,90.0,0.11,0.0,1.7,0.0,-,3,0,94.58,22
1,TROW200320P00100000,2020-02-03 12:02AM EST,100.0,0.38,0.2,0.3,0.0,-,-,0,54.59,22
2,TROW200320P00105000,2020-02-25 3:46PM EST,105.0,0.47,0.35,0.45,0.0,-,6,6,50.1,22
