,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,TSCO200228C00084000,2020-02-26 11:29AM EST,84.0,11.5,8.1,8.4,0.0,-,4,2,68.75,1
1,TSCO200228C00085000,2020-02-25 6:46PM EST,85.0,10.3,7.1,7.4,0.0,-,-,2,61.72,1
2,TSCO200228C00085500,2020-02-25 2:13PM EST,85.5,8.8,6.4,6.8,0.0,-,6,0,62.11,1
3,TSCO200228C00086000,2020-02-25 12:52PM EST,86.0,9.1,6.0,6.4,0.0,-,3,3,50.39,1
4,TSCO200228C00088000,2020-02-25 11:31AM EST,88.0,7.3,4.2,4.4,0.0,-,2,2,48.93,1
5,TSCO200228C00089500,2020-01-27 7:09PM EST,89.5,4.7,2.85,3.0,-0.7,-12.96%,6,6,40.53,1
6,TSCO200228C00090500,2020-01-17 2:48PM EST,90.5,4.3,7.1,7.5,0.0,-,1,1,196.48,1
7,TSCO200228C00091000,2020-02-19 2:13PM EST,91.0,3.6,1.7,1.8,-4.75,-56.89%,1,0,35.74,1
8,TSCO200228C00091500,2020-02-25 12:51PM EST,91.5,3.8,1.45,1.6,0.0,-,2,2,38.82,1
9,TSCO200228C00092500,2020-02-04 3:55PM EST,92.5,1.65,0.9,1.05,0.0,-,-,0,37.4,1
10,TSCO200228C00093000,2020-02-04 10:36AM EST,93.0,4.38,0.7,0.8,0.0,-,1,0,35.99,1
11,TSCO200228C00093500,2020-02-20 10:17AM EST,93.5,4.7,0.5,0.65,0.0,-,1,0,36.72,1
12,TSCO200228C00094000,2020-02-14 10:47AM EST,94.0,4.55,0.35,0.5,0.0,-,1,0,36.52,1
13,TSCO200228C00094500,2020-02-05 1:31PM EST,94.5,1.6,0.25,0.35,0.0,-,4,0,35.21,1
14,TSCO200228C00095000,2020-02-26 10:22AM EST,95.0,0.75,0.15,0.25,-0.2,-21.05%,2,17,34.77,1
15,TSCO200228C00095500,2020-02-06 9:57AM EST,95.5,1.85,0.1,0.2,0.0,-,4,17,35.84,1
16,TSCO200228C00096000,2020-02-26 12:00PM EST,96.0,0.5,0.05,0.15,-0.45,-47.37%,1,205,36.23,1
17,TSCO200228C00096500,2020-02-24 2:13PM EST,96.5,1.1,0.0,0.1,0.0,-,15,0,35.74,1
18,TSCO200228C00097000,2020-02-26 10:08AM EST,97.0,0.17,0.0,0.1,-0.73,-81.11%,1,114,38.67,1
