,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,TWTR200228C00025000,2020-02-24 3:47PM EST,25.0,10.7,9.6,9.7,0.0,-,50,0,190.63,1
1,TWTR200228C00026000,2020-01-24 10:33AM EST,26.0,7.79,12.15,12.45,0.0,-,2,0,672.27,1
2,TWTR200228C00027000,2020-02-25 6:48PM EST,27.0,8.8,7.6,7.7,0.0,-,-,-,151.56,1
3,TWTR200228C00027500,2020-02-25 1:31PM EST,27.5,8.2,7.1,7.2,0.0,-,11,0,142.19,1
4,TWTR200228C00028000,2020-01-22 12:57PM EST,28.0,6.34,10.15,10.45,0.0,-,1,1,581.05,1
5,TWTR200228C00028500,2020-02-25 1:14PM EST,28.5,6.7,6.05,6.15,0.0,-,8,48,93.75,1
6,TWTR200228C00029000,2020-02-05 3:43PM EST,29.0,6.9,5.65,5.7,0.0,-,2,0,122.66,1
7,TWTR200228C00029500,2020-02-03 9:32AM EST,29.5,4.5,5.05,5.15,0.0,-,1,0,78.13,1
8,TWTR200228C00030000,2020-02-24 1:31PM EST,30.0,5.15,4.6,4.7,0.0,-,55,0,96.09,1
9,TWTR200228C00030500,2020-02-26 10:28AM EST,30.5,5.25,4.1,4.2,0.35,+7.14%,2,40,86.72,1
10,TWTR200228C00031000,2020-02-25 1:33PM EST,31.0,4.45,3.6,3.65,-0.2,-4.30%,1,26,69.53,1
11,TWTR200228C00031500,2020-02-25 10:00AM EST,31.5,3.67,3.15,3.25,0.0,-,36,0,79.69,1
12,TWTR200228C00032000,2020-02-26 1:52PM EST,32.0,2.72,2.71,2.71,-0.68,-20.00%,55,0,71.48,1
13,TWTR200228C00032500,2020-02-26 10:54AM EST,32.5,2.51,2.24,2.27,-0.41,-14.04%,6,0,67.58,1
14,TWTR200228C00033000,2020-02-26 2:06PM EST,33.0,1.8,1.8,1.82,-0.61,-25.31%,39,0,62.7,1
15,TWTR200228C00033500,2020-02-25 3:49PM EST,33.5,1.52,1.38,1.41,-0.39,-20.42%,35,0,58.79,1
16,TWTR200228C00034000,2020-02-26 2:05PM EST,34.0,0.99,0.98,1.01,-0.52,-34.44%,266,0,53.13,1
17,TWTR200228C00034500,2020-02-26 1:45PM EST,34.5,0.64,0.69,0.72,-0.56,-46.67%,383,1389,52.73,1
18,TWTR200228C00035000,2020-02-26 2:13PM EST,35.0,0.44,0.4,0.42,-0.43,-49.43%,1055,913,47.85,1
19,TWTR200228C00035500,2020-02-26 1:33PM EST,35.5,0.27,0.25,0.26,-0.33,-55.00%,5246,0,48.05,1
20,TWTR200228C00036000,2020-02-26 1:58PM EST,36.0,0.13,0.14,0.16,-0.28,-68.29%,5637,0,49.22,1
21,TWTR200228C00036500,2020-02-26 2:15PM EST,36.5,0.08,0.07,0.09,-0.17,-68.00%,6090,0,49.61,1
22,TWTR200228C00037000,2020-02-26 2:12PM EST,37.0,0.05,0.04,0.05,-0.1,-66.67%,1099,5364,50.0,1
23,TWTR200228C00037500,2020-02-26 1:35PM EST,37.5,0.02,0.02,0.03,-0.06,-75.00%,652,0,50.0,1
24,TWTR200228C00038000,2020-02-26 1:33PM EST,38.0,0.02,0.02,0.03,-0.06,-75.00%,256,0,57.03,1
25,TWTR200228C00038500,2020-02-26 2:14PM EST,38.5,0.01,0.01,0.02,-0.03,-75.00%,3688,5495,57.81,1
26,TWTR200228C00039000,2020-02-26 1:02PM EST,39.0,0.01,0.01,0.03,-0.01,-50.00%,67,2321,67.19,1
27,TWTR200228C00039500,2020-02-26 10:08AM EST,39.5,0.02,0.01,0.02,0.01,+100.00%,7,925,69.53,1
28,TWTR200228C00040000,2020-02-26 1:24PM EST,40.0,0.01,0.0,0.01,-0.01,-50.00%,102,3954,65.63,1
29,TWTR200228C00040500,2020-02-25 3:20PM EST,40.5,0.03,0.0,0.01,0.02,+200.00%,51,0,68.75,1
30,TWTR200228C00041000,2020-02-25 1:31PM EST,41.0,0.01,0.0,0.01,0.0,-,1,1468,75.0,1
31,TWTR200228C00042000,2020-02-24 3:33PM EST,42.0,0.02,0.0,0.01,0.0,-,312,0,84.38,1
32,TWTR200228C00043000,2020-02-25 1:08PM EST,43.0,0.01,0.0,0.02,0.0,-,1,357,100.0,1
33,TWTR200228C00043500,2020-02-25 12:21PM EST,43.5,0.01,0.0,0.01,0.0,-,14,26,96.88,1
34,TWTR200228C00044000,2020-02-25 11:40AM EST,44.0,0.02,0.0,0.02,0.0,-,2,0,109.38,1
35,TWTR200228C00045000,2020-02-24 9:30AM EST,45.0,0.01,0.0,0.01,0.0,-,2,20,109.38,1
0,TWTR200306C00026000,2020-02-25 1:17PM EST,26.0,9.85,9.4,9.55,0.0,-,-,-,186.72,8
1,TWTR200306C00027000,2020-01-24 11:38AM EST,27.0,6.5,11.05,11.45,0.0,-,-,0,340.04,8
2,TWTR200306C00027500,2020-02-10 11:54AM EST,27.5,7.7,7.15,7.25,0.0,-,13,34,87.89,8
3,TWTR200306C00028000,2020-02-25 11:21AM EST,28.0,7.1,6.65,6.75,-0.7,-8.97%,1,0,82.23,8
4,TWTR200306C00028500,2020-02-07 11:43AM EST,28.5,7.3,6.15,6.25,0.0,-,4,0,76.56,8
5,TWTR200306C00029000,2020-02-26 1:51PM EST,29.0,5.75,5.7,5.8,0.9,+18.56%,28,1,77.73,8
6,TWTR200306C00029500,2020-02-25 1:58PM EST,29.5,5.75,5.2,5.3,0.0,-,4,1,71.88,8
7,TWTR200306C00030000,2020-02-25 9:48AM EST,30.0,6.05,4.75,4.8,0.0,-,2,3,68.75,8
8,TWTR200306C00030500,2020-02-25 3:40PM EST,30.5,4.85,4.25,4.35,0.0,-,1,22,65.04,8
9,TWTR200306C00031000,2020-02-24 2:49PM EST,31.0,5.1,3.75,3.9,0.0,-,27,6,61.13,8
10,TWTR200306C00031500,2020-02-24 11:32AM EST,31.5,4.65,3.35,3.45,0.0,-,20,0,60.35,8
11,TWTR200306C00032000,2020-02-24 10:49AM EST,32.0,4.15,2.93,2.94,0.0,-,9,0,55.96,8
12,TWTR200306C00032500,2020-02-25 2:15PM EST,32.5,3.0,2.5,2.52,0.0,-,26,0,53.42,8
13,TWTR200306C00033000,2020-02-26 2:00PM EST,33.0,2.07,2.14,2.17,-0.79,-27.62%,33,85,53.61,8
14,TWTR200306C00033500,2020-02-25 2:39PM EST,33.5,1.97,1.75,1.78,-0.44,-18.26%,11,0,50.59,8
15,TWTR200306C00034000,2020-02-26 12:49PM EST,34.0,1.65,1.45,1.47,-0.32,-16.24%,26,2190,50.39,8
16,TWTR200306C00034500,2020-02-26 1:39PM EST,34.5,1.06,1.15,1.17,-0.56,-34.57%,57,175,49.32,8
17,TWTR200306C00035000,2020-02-26 1:14PM EST,35.0,0.91,0.92,0.94,-0.35,-27.78%,1251,0,49.32,8
18,TWTR200306C00035500,2020-02-26 2:06PM EST,35.5,0.73,0.7,0.72,-0.32,-30.48%,1434,608,48.24,8
19,TWTR200306C00036000,2020-02-26 1:47PM EST,36.0,0.55,0.54,0.56,-0.29,-34.52%,764,0,48.44,8
20,TWTR200306C00036500,2020-02-26 2:06PM EST,36.5,0.4,0.4,0.41,-0.21,-34.43%,180,704,47.46,8
21,TWTR200306C00037000,2020-02-26 2:02PM EST,37.0,0.3,0.29,0.31,-0.19,-38.78%,585,1700,47.75,8
22,TWTR200306C00037500,2020-02-26 1:56PM EST,37.5,0.2,0.21,0.22,-0.17,-45.95%,269,1788,47.27,8
23,TWTR200306C00038000,2020-02-26 1:31PM EST,38.0,0.17,0.15,0.16,-0.09,-34.62%,664,0,47.46,8
24,TWTR200306C00038500,2020-02-26 2:09PM EST,38.5,0.12,0.11,0.13,-0.08,-40.00%,65,1353,49.02,8
25,TWTR200306C00039000,2020-02-26 11:54AM EST,39.0,0.09,0.08,0.09,-0.06,-40.00%,269,0,48.83,8
26,TWTR200306C00039500,2020-02-26 11:54AM EST,39.5,0.07,0.06,0.07,-0.05,-41.67%,87,727,50.0,8
27,TWTR200306C00040000,2020-02-26 2:02PM EST,40.0,0.06,0.05,0.06,-0.05,-45.45%,145,1644,51.17,8
28,TWTR200306C00040500,2020-02-25 1:26PM EST,40.5,0.06,0.04,0.05,-0.03,-33.33%,71,318,52.73,8
29,TWTR200306C00041000,2020-02-26 12:04PM EST,41.0,0.04,0.03,0.04,-0.03,-42.86%,2,589,53.52,8
30,TWTR200306C00041500,2020-02-26 12:02PM EST,41.5,0.04,0.02,0.04,-0.01,-20.00%,9,1071,55.47,8
31,TWTR200306C00042000,2020-02-26 10:08AM EST,42.0,0.03,0.02,0.03,-0.01,-25.00%,22,0,56.64,8
32,TWTR200306C00043000,2020-02-21 2:46PM EST,43.0,0.03,0.01,0.03,0.0,-,32,0,60.16,8
33,TWTR200306C00043500,2020-02-25 11:47AM EST,43.5,0.02,0.01,0.03,0.0,-,1,12,63.28,8
34,TWTR200306C00044000,2020-02-24 12:12PM EST,44.0,0.01,0.01,0.03,-0.03,-75.00%,1,0,65.63,8
35,TWTR200306C00045000,2020-02-26 12:00PM EST,45.0,0.02,0.01,0.02,-0.01,-33.33%,1,5,68.75,8
0,TWTR200313C00027000,2020-02-05 1:05PM EST,27.0,11.2,7.55,7.8,0.0,-,1,0,67.97,15
1,TWTR200313C00027500,2020-01-31 3:32PM EST,27.5,5.35,7.05,7.3,0.0,-,40,20,63.87,15
2,TWTR200313C00028000,2020-02-18 12:08AM EST,28.0,8.65,6.65,6.85,0.0,-,-,0,68.75,15
3,TWTR200313C00028500,2020-02-19 3:33PM EST,28.5,10.4,6.1,6.35,0.0,-,-,0,61.52,15
