,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,URI200228C00125000,2020-02-14 2:09PM EST,125.0,31.5,8.1,8.5,0.0,-,2,0,63.53,1
1,URI200228C00126000,2020-02-25 11:48AM EST,126.0,8.8,7.1,7.7,0.0,-,7,7,61.13,1
2,URI200228C00127000,2020-02-25 6:55PM EST,127.0,7.5,6.7,7.0,0.0,-,-,4,68.16,1
3,URI200228C00129000,2020-02-25 6:55PM EST,129.0,7.3,4.9,5.3,0.0,-,-,1,60.35,1
4,URI200228C00130000,2020-02-24 9:57AM EST,130.0,4.0,4.4,4.7,-2.9,-42.03%,11,0,62.92,1
5,URI200228C00131000,2020-02-26 9:59AM EST,131.0,3.6,3.7,4.1,-2.2,-37.93%,27,8,61.96,1
6,URI200228C00132000,2020-02-26 1:35PM EST,132.0,3.5,3.1,3.3,-0.8,-18.60%,4,19,58.91,1
7,URI200228C00133000,2020-02-26 10:13AM EST,133.0,4.7,5.4,5.6,0.7,+17.50%,9,-,117.29,1
8,URI200228C00134000,2020-02-26 1:58PM EST,134.0,2.0,2.15,2.5,-2.04,-50.50%,6,0,60.45,1
9,URI200228C00135000,2020-02-26 9:59AM EST,135.0,3.4,1.85,2.0,0.12,+3.66%,8,0,60.35,1
10,URI200228C00136000,2020-02-26 9:44AM EST,136.0,3.3,3.4,3.6,0.58,+21.32%,3,-,102.2,1
11,URI200228C00137000,2020-02-26 1:45PM EST,137.0,0.8,1.0,1.25,-1.6,-66.67%,30,25,56.35,1
12,URI200228C00138000,2020-02-26 12:18PM EST,138.0,1.35,0.7,0.85,-0.5,-27.03%,40,0,53.22,1
13,URI200228C00139000,2020-02-26 1:45PM EST,139.0,0.43,0.55,0.7,-1.17,-73.12%,19,56,54.25,1
14,URI200228C00140000,2020-02-26 2:09PM EST,140.0,0.44,0.35,0.55,-0.56,-56.00%,89,0,53.32,1
15,URI200228C00141000,2020-02-26 11:20AM EST,141.0,0.22,0.25,0.4,-0.54,-71.05%,24,30,52.93,1
16,URI200228C00142000,2020-02-26 11:39AM EST,142.0,0.4,0.15,0.25,-0.2,-33.33%,25,88,50.78,1
17,URI200228C00143000,2020-02-26 12:04PM EST,143.0,0.15,0.1,0.2,-0.55,-78.57%,32,100,51.47,1
18,URI200228C00144000,2020-02-26 1:44PM EST,144.0,0.09,0.0,0.15,-0.41,-82.00%,58,153,55.18,1
