,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,USB200228C00048000,2020-02-10 12:06AM EST,48.0,6.55,2.14,2.25,0.0,-,-,0,46.88,1
1,USB200228C00049500,2020-02-21 1:55PM EST,49.5,0.84,0.84,0.86,-4.11,-83.03%,13,0,29.1,1
2,USB200228C00050000,2020-02-26 1:09PM EST,50.0,0.6,0.53,0.56,-3.85,-86.52%,144,0,28.81,1
3,USB200228C00051000,2020-02-26 1:59PM EST,51.0,0.17,0.19,0.21,-0.42,-71.19%,516,201,30.27,1
4,USB200228C00051500,2020-02-25 2:03PM EST,51.5,0.1,0.08,0.09,-0.46,-82.14%,7,0,28.32,1
5,USB200228C00052000,2020-02-26 1:26PM EST,52.0,0.07,0.04,0.05,-0.2,-74.07%,102,0,29.69,1
6,USB200228C00052500,2020-02-25 10:56AM EST,52.5,0.05,0.0,0.03,-0.18,-78.26%,34,0,31.64,1
7,USB200228C00053000,2020-02-26 2:03PM EST,53.0,0.02,0.0,0.03,-0.06,-75.00%,55,82,36.72,1
8,USB200228C00053500,2020-02-26 9:54AM EST,53.5,0.03,0.0,0.03,-0.13,-81.25%,300,0,41.41,1
9,USB200228C00054000,2020-02-26 9:52AM EST,54.0,0.01,0.0,0.03,-0.02,-66.67%,33,111,46.09,1
10,USB200228C00054500,2020-02-25 1:33PM EST,54.5,0.03,0.0,0.03,0.0,-,454,432,50.39,1
11,USB200228C00055000,2020-02-25 2:11PM EST,55.0,0.03,0.0,0.03,0.01,+50.00%,3,322,54.69,1
12,USB200228C00055500,2020-02-24 3:50PM EST,55.5,0.01,0.0,0.03,0.0,-,1,0,53.13,1
13,USB200228C00056000,2020-02-24 9:57AM EST,56.0,0.01,0.0,0.04,0.0,-,4,0,59.38,1
14,USB200228C00056500,2020-02-24 2:32PM EST,56.5,0.01,0.0,0.04,0.0,-,130,0,63.28,1
15,USB200228C00057000,2020-02-20 3:51PM EST,57.0,0.02,0.0,0.01,0.0,-,1,0,56.25,1
16,USB200228C00057500,2020-02-18 12:07PM EST,57.5,0.02,0.0,0.04,0.0,-,5,74,71.09,1
17,USB200228C00058000,2020-02-26 1:35PM EST,58.0,0.02,0.0,0.04,-0.14,-87.50%,1,1,75.0,1
18,USB200228C00059500,2020-01-16 3:16PM EST,59.5,0.05,0.03,0.04,0.0,-,126,119,92.97,1
19,USB200228C00060000,2020-01-15 3:54PM EST,60.0,0.05,0.0,0.03,0.0,-,10,15,85.94,1
20,USB200228C00060500,2020-01-13 1:47PM EST,60.5,0.13,0.0,0.03,0.0,-,-,20,89.06,1
21,USB200228C00061000,2020-01-16 11:24AM EST,61.0,0.02,0.0,0.03,0.0,-,2,3,92.19,1
0,USB200306C00048500,2020-02-26 2:10PM EST,48.5,1.95,2.02,2.06,-1.15,-37.10%,30,0,33.69,8
1,USB200306C00049000,2020-02-25 3:34PM EST,49.0,2.24,2.44,2.49,0.0,-,-,-,57.47,8
2,USB200306C00049500,2020-02-25 2:18PM EST,49.5,2.21,2.03,2.06,0.0,-,-,-,53.03,8
3,USB200306C00050000,2020-02-25 2:18PM EST,50.0,1.84,1.68,1.71,0.0,-,-,9,50.2,8
4,USB200306C00050500,2020-02-26 1:16PM EST,50.5,0.74,0.74,0.76,-0.76,-50.67%,83,25,28.81,8
5,USB200306C00051000,2020-02-26 1:30PM EST,51.0,0.66,0.54,0.56,-0.58,-46.77%,113,22,28.52,8
6,USB200306C00051500,2020-02-26 10:31AM EST,51.5,0.79,0.76,0.77,-0.12,-13.19%,34,-,40.72,8
7,USB200306C00052000,2020-02-26 11:09AM EST,52.0,0.47,0.24,0.25,-0.13,-21.67%,19,0,26.86,8
8,USB200306C00052500,2020-02-25 3:34PM EST,52.5,0.41,0.15,0.17,0.0,-,74,14,26.95,8
9,USB200306C00053000,2020-02-26 10:59AM EST,53.0,0.24,0.09,0.11,-0.05,-17.24%,242,3,26.95,8
10,USB200306C00053500,2020-02-26 11:52AM EST,53.5,0.1,0.06,0.08,-0.15,-60.00%,2,0,27.74,8
11,USB200306C00054000,2020-02-26 10:07AM EST,54.0,0.1,0.03,0.06,-0.06,-37.50%,1,169,28.71,8
12,USB200306C00054500,2020-02-25 9:37AM EST,54.5,0.1,0.01,0.06,0.0,-,29,0,31.45,8
13,USB200306C00055000,2020-02-26 12:15PM EST,55.0,0.04,0.0,0.04,-0.01,-20.00%,90,254,31.64,8
14,USB200306C00055500,2020-02-24 11:57AM EST,55.5,0.02,0.02,0.03,0.0,-,1,0,32.42,8
15,USB200306C00056000,2020-02-25 12:08PM EST,56.0,0.04,0.0,0.03,0.0,-,2,0,34.77,8
16,USB200306C00056500,2020-02-07 10:25AM EST,56.5,0.31,0.0,0.03,0.0,-,2,0,37.11,8
17,USB200306C00057000,2020-02-20 10:46AM EST,57.0,0.05,0.0,0.03,0.0,-,1,0,39.06,8
18,USB200306C00057500,2020-02-18 12:03AM EST,57.5,0.08,0.0,0.03,0.0,-,20,25,41.41,8
19,USB200306C00058000,2020-02-24 10:20AM EST,58.0,0.01,0.0,0.03,0.0,-,250,414,43.75,8
0,USB200313C00047500,2020-02-25 2:08PM EST,47.5,4.0,2.95,3.1,0.0,-,3,0,34.82,15
1,USB200313C00048000,2020-02-25 1:04PM EST,48.0,4.05,3.45,3.7,0.0,-,-,-,56.69,15
2,USB200313C00050000,2020-02-25 2:08PM EST,50.0,1.99,1.23,1.3,0.0,-,12,33,29.25,15
3,USB200313C00050500,2020-02-04 12:43PM EST,50.5,4.5,0.94,0.97,0.0,-,19,47,26.98,15
4,USB200313C00051500,2020-02-26 2:02PM EST,51.5,0.59,0.52,0.56,-2.46,-80.66%,35,80,25.88,15
5,USB200313C00052000,2020-02-26 12:32PM EST,52.0,0.53,0.4,0.41,-0.33,-38.37%,21,1,25.44,15
6,USB200313C00053000,2020-02-25 9:51AM EST,53.0,0.44,0.18,0.22,-0.06,-12.00%,3,0,25.39,15
7,USB200313C00053500,2020-02-26 1:39PM EST,53.5,0.15,0.13,0.16,-0.19,-55.88%,5,124,25.49,15
8,USB200313C00054000,2020-02-26 1:38PM EST,54.0,0.1,0.08,0.11,-0.14,-58.33%,11,198,25.39,15
9,USB200313C00054500,2020-02-21 10:55AM EST,54.5,0.18,0.05,0.09,0.0,-,21,0,26.37,15
10,USB200313C00055000,2020-02-24 11:53AM EST,55.0,0.06,0.03,0.07,-0.15,-71.43%,3,0,26.95,15
11,USB200313C00055500,2020-02-24 10:52AM EST,55.5,0.26,0.02,0.05,0.0,-,2,0,27.15,15
12,USB200313C00056000,2020-02-25 1:08PM EST,56.0,0.06,0.0,0.04,0.0,-,10,697,27.93,15
13,USB200313C00056500,2020-02-25 12:03PM EST,56.5,0.07,0.0,0.04,0.0,-,70,2097,29.69,15
14,USB200313C00057000,2020-02-21 12:45PM EST,57.0,0.13,0.0,0.06,0.0,-,5,0,33.79,15
15,USB200313C00057500,2020-02-11 12:33PM EST,57.5,0.28,0.0,0.05,0.0,-,-,5,34.57,15
16,USB200313C00058000,2020-02-21 12:45PM EST,58.0,0.04,0.0,0.05,0.0,-,5,0,36.33,15
17,USB200313C00058500,2020-02-05 10:19AM EST,58.5,0.15,0.0,0.03,0.0,-,-,4,35.16,15
0,USB200320C00035000,2020-02-13 11:15AM EST,35.0,20.0,14.90,15.2,0.0,-,1,0,77.73,22
1,USB200320C00037500,2019-12-27 3:19PM EST,37.5,22.1,15.45,16.25,0.0,-,7,0,182.42,22
2,USB200320C00040000,2020-01-22 3:10PM EST,40.0,15.0,14.10,15.35,0.0,-,-,1,193.31,22
3,USB200320C00042500,2020-01-14 3:11PM EST,42.5,11.2,12.70,12.85,0.0,-,1,2,180.42,22
4,USB200320C00045000,2020-02-19 2:01PM EST,45.0,9.83,5.25,5.45,0.0,-,1,0,39.84,22
5,USB200320C00047500,2020-02-11 3:07PM EST,47.5,7.81,3.15,3.25,0.0,-,1,0,33.06,22
6,USB200320C00050000,2020-02-26 10:23AM EST,50.0,2.0,1.39,1.41,-1.4,-41.18%,1,143,26.76,22
7,USB200320C00051000,2020-02-25 3:41PM EST,51.0,1.41,1.41,1.43,0.0,-,-,-,35.86,22
8,USB200320C00051500,2020-02-25 6:57PM EST,51.5,1.19,1.14,1.16,0.0,-,-,-,34.28,22
9,USB200320C00052500,2020-02-26 1:45PM EST,52.5,0.4,0.38,0.39,-0.42,-51.22%,31,1260,23.68,22
10,USB200320C00053000,2020-02-26 11:21AM EST,53.0,0.46,0.31,0.31,-0.31,-40.26%,34,181,24.12,22
11,USB200320C00053500,2020-02-26 12:40PM EST,53.5,0.27,0.21,0.23,-0.22,-44.90%,24,51,23.98,22
12,USB200320C00054000,2020-02-26 9:55AM EST,54.0,0.31,0.26,0.27,-0.04,-11.43%,29,-,27.59,22
13,USB200320C00054500,2020-02-26 9:45AM EST,54.5,0.26,0.18,0.19,0.03,+13.04%,13,-,26.86,22
14,USB200320C00055000,2020-02-26 1:31PM EST,55.0,0.1,0.07,0.09,-0.06,-37.50%,553,5082,24.02,22
15,USB200320C00055500,2020-02-25 3:25PM EST,55.5,0.12,0.05,0.07,0.0,-,15,1,24.41,22
16,USB200320C00056000,2020-02-26 12:15PM EST,56.0,0.05,0.03,0.06,-0.09,-64.29%,2,3,25.39,22
17,USB200320C00056500,2020-02-25 6:57PM EST,56.5,0.2,0.02,0.05,0.0,-,-,-,25.98,22
18,USB200320C00057000,2020-02-25 3:52PM EST,57.0,0.03,-,0.04,0.0,-,-,-,26.56,22
19,USB200320C00057500,2020-02-26 1:29PM EST,57.5,0.03,0.00,0.04,0.01,+50.00%,54,5258,27.93,22
20,USB200320C00058500,2020-02-24 10:13AM EST,58.5,0.05,0.00,0.05,0.0,-,-,1,32.03,22
21,USB200320C00060000,2020-02-26 1:45PM EST,60.0,0.02,0.00,0.03,0.0,-,11,5628,33.59,22
22,USB200320C00062500,2020-02-24 3:51PM EST,62.5,0.01,0.00,0.04,0.0,-,24,0,41.41,22
23,USB200320C00065000,2020-02-24 11:36AM EST,65.0,0.02,0.00,0.02,0.0,-,50,0,43.36,22
24,USB200320C00067500,2020-02-24 3:46PM EST,67.5,0.01,0.00,0.04,0.0,-,5,0,53.13,22
