,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,VAR200320P00120000,2020-02-24 1:14PM EST,120.0,0.65,1.15,1.45,0.0,-,-,5,38.15,22
1,VAR200320P00125000,2020-02-25 1:13PM EST,125.0,1.85,2.2,2.6,-0.23,-11.06%,1,0,35.51,22
2,VAR200320P00130000,2020-02-26 12:53PM EST,130.0,3.8,4.1,4.7,0.4,+11.76%,1,1078,34.82,22
3,VAR200320P00135000,2020-02-24 3:53PM EST,135.0,5.2,6.7,7.9,0.9,+20.93%,1,0,36.19,22
4,VAR200320P00140000,2020-02-25 9:30AM EST,140.0,5.85,9.8,12.1,0.0,-,2,319,40.82,22
5,VAR200320P00145000,2020-02-25 9:30AM EST,145.0,9.05,13.7,17.2,0.0,-,1,1010,51.59,22
6,VAR200320P00150000,2020-02-21 3:16PM EST,150.0,13.63,18.5,22.2,0.0,-,5,0,60.47,22
0,VAR200417P00130000,2020-02-26 12:53PM EST,130.0,4.9,5.0,6.0,1.0,+25.64%,1,1,30.3,50
1,VAR200417P00135000,2020-02-24 1:03PM EST,135.0,5.95,7.8,9.1,0.0,-,1,1,31.06,50
0,VAR200515P00080000,2019-10-13 11:02PM EST,80.0,1.8,0.25,1.8,0.0,-,-,0,70.09,78
1,VAR200515P00085000,2019-10-25 11:03AM EST,85.0,1.13,0.35,1.05,0.0,-,10,10,57.62,78
2,VAR200515P00090000,2019-10-25 11:01AM EST,90.0,1.5,0.75,1.05,0.0,-,10,0,54.13,78
3,VAR200515P00100000,2020-02-24 3:09PM EST,100.0,0.63,0.8,1.25,0.0,-,1,0,45.14,78
4,VAR200515P00105000,2020-02-24 1:03PM EST,105.0,0.93,1.15,1.65,0.0,-,2,0,42.14,78
5,VAR200515P00110000,2019-10-02 10:00AM EST,110.0,7.3,4.2,4.9,0.0,-,-,262,53.58,78
6,VAR200515P00115000,2020-01-21 2:23PM EST,115.0,0.9,0.0,0.0,0.0,-,1,0,6.25,78
7,VAR200515P00120000,2020-02-06 1:14PM EST,120.0,1.35,3.6,4.2,0.0,-,6,20,35.21,78
8,VAR200515P00125000,2020-02-12 3:11PM EST,125.0,2.2,5.2,5.7,0.0,-,1,0,33.19,78
9,VAR200515P00130000,2020-02-14 3:07PM EST,130.0,2.1,7.2,7.9,0.0,-,6,8,32.28,78
10,VAR200515P00135000,2020-02-24 3:09PM EST,135.0,6.63,9.8,10.8,0.0,-,3,27,32.23,78
12,VAR200515P00145000,2020-02-20 1:44PM EST,145.0,7.0,16.6,17.9,0.0,-,7,0,31.98,78
13,VAR200515P00150000,2020-02-20 2:06PM EST,150.0,9.5,20.8,22.3,0.0,-,11,12,33.72,78
0,VAR200821P00115000,2020-02-06 2:24PM EST,115.0,2.1,4.0,4.9,0.0,-,1,0,31.57,176
1,VAR200821P00120000,2020-01-29 12:08PM EST,120.0,2.5,5.5,6.4,0.0,-,2,7,30.55,176
2,VAR200821P00125000,2020-02-11 10:15AM EST,125.0,3.3,7.4,8.2,0.0,-,1,1,29.49,176
3,VAR200821P00130000,2020-02-04 3:55PM EST,130.0,5.07,9.5,10.4,0.0,-,1,0,28.58,176
4,VAR200821P00135000,2020-02-05 3:10PM EST,135.0,6.6,12.0,13.1,0.0,-,-,6,28.03,176
5,VAR200821P00140000,2020-02-18 12:04AM EST,140.0,6.6,15.1,16.1,0.0,-,-,0,27.3,176
7,VAR200821P00150000,2020-02-05 3:58PM EST,150.0,13.8,22.4,23.7,0.0,-,10,32,27.69,176
