,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,VFC200228C00074000,2020-02-25 10:18AM EST,74.0,5.98,4.10,4.7,0.0,-,-,-,91.6,1
1,VFC200228C00075000,2020-02-21 12:40PM EST,75.0,8.5,2.30,2.7,0.0,-,10,0,48.93,1
2,VFC200228C00077000,2020-02-18 12:06AM EST,77.0,7.2,1.00,1.2,0.0,-,20,0,39.94,1
3,VFC200228C00078000,2020-02-25 3:45PM EST,78.0,1.0,1.05,1.3,0.0,-,-,-,55.42,1
4,VFC200228C00078500,2020-02-25 3:15PM EST,78.5,0.75,0.35,0.5,0.0,-,37,0,36.62,1
5,VFC200228C00079000,2020-02-25 3:15PM EST,79.0,0.65,0.55,0.7,0.0,-,-,-,50.78,1
6,VFC200228C00080000,2020-02-25 10:56AM EST,80.0,0.7,0.10,0.2,0.0,-,11,0,37.6,1
7,VFC200228C00081500,2020-02-25 12:56PM EST,81.5,0.2,0.05,0.1,0.0,-,2,11,41.8,1
8,VFC200228C00082000,2020-02-24 12:07PM EST,82.0,0.9,0.00,0.1,0.0,-,14,24,45.31,1
9,VFC200228C00082500,2020-02-24 3:40PM EST,82.5,1.05,-,0.15,0.0,-,-,-,53.52,1
10,VFC200228C00083000,2020-02-21 2:57PM EST,83.0,1.5,0.00,0.1,0.0,-,2,16,51.95,1
11,VFC200228C00083500,2020-02-25 3:55PM EST,83.5,0.1,0.00,0.1,0.0,-,52,1298,55.27,1
12,VFC200228C00084000,2020-02-25 11:01AM EST,84.0,0.05,0.00,0.1,0.0,-,10,49,51.17,1
13,VFC200228C00085000,2020-02-24 3:59PM EST,85.0,0.05,0.00,0.1,0.0,-,4,163,57.03,1
14,VFC200228C00086000,2020-02-24 9:30AM EST,86.0,0.1,0.00,0.1,0.0,-,1,30,62.5,1
15,VFC200228C00086500,2020-02-24 11:46AM EST,86.5,0.03,0.00,0.05,0.0,-,4,16,58.59,1
16,VFC200228C00087000,2020-02-21 3:36PM EST,87.0,0.03,0.00,0.1,0.0,-,1,0,67.97,1
17,VFC200228C00088000,2020-02-18 3:55PM EST,88.0,0.05,0.00,0.1,0.0,-,22,0,73.44,1
18,VFC200228C00089000,2020-01-28 2:05PM EST,89.0,0.32,0.00,0.1,0.0,-,1,136,78.52,1
19,VFC200228C00090000,2020-02-06 3:14PM EST,90.0,0.2,0.00,0.05,0.0,-,1,0,75.78,1
20,VFC200228C00091000,2020-01-28 1:02PM EST,91.0,0.1,0.00,0.05,0.0,-,3,3,80.47,1
21,VFC200228C00091500,2020-01-24 3:53PM EST,91.5,0.3,0.00,0.1,0.0,-,-,1,91.41,1
22,VFC200228C00092000,2020-01-27 12:06AM EST,92.0,0.4,-,0.0,0.0,-,-,0,50.0,1
23,VFC200228C00092500,2020-01-23 1:40PM EST,92.5,0.31,0.00,0.05,0.0,-,-,9,87.5,1
24,VFC200228C00093000,2020-01-21 12:48PM EST,93.0,4.16,0.00,0.0,0.0,-,8,0,50.0,1
25,VFC200228C00093500,2020-01-23 12:35PM EST,93.5,0.24,0.00,0.0,0.0,-,-,0,50.0,1
26,VFC200228C00094000,2020-01-24 11:52AM EST,94.0,0.1,0.00,0.0,0.0,-,-,0,50.0,1
27,VFC200228C00094500,2020-01-21 11:10AM EST,94.5,3.1,0.00,0.0,0.0,-,-,0,50.0,1
28,VFC200228C00095000,2020-01-23 1:40PM EST,95.0,0.15,0.00,0.0,0.0,-,-,0,50.0,1
29,VFC200228C00095500,2020-01-21 12:48PM EST,95.5,2.74,0.00,0.0,0.0,-,-,0,50.0,1
30,VFC200228C00096000,2020-01-21 11:09AM EST,96.0,2.35,0.00,0.0,0.0,-,-,0,50.0,1
31,VFC200228C00096500,2020-01-22 11:04AM EST,96.5,2.44,0.00,0.0,0.0,-,-,0,50.0,1
32,VFC200228C00097000,2020-01-14 9:56AM EST,97.0,3.2,2.10,0.0,0.0,-,16,16,218.36,1
33,VFC200228C00097500,2020-01-23 12:01PM EST,97.5,0.1,0.00,0.05,0.0,-,-,5,108.59,1
34,VFC200228C00098000,2020-01-23 12:02PM EST,98.0,0.1,0.00,0.05,0.0,-,16,11,110.94,1
35,VFC200228C00100000,2020-01-16 6:39PM EST,100.0,1.9,1.20,0.0,0.0,-,7,7,204.69,1
36,VFC200228C00102000,2020-01-13 1:45PM EST,102.0,1.12,0.80,0.0,0.0,-,-,1,196.88,1
0,VFC200306C00079000,2020-02-25 10:57AM EST,79.0,1.6,0.85,1.1,0.0,-,20,0,36.38,8
1,VFC200306C00080000,2020-01-30 12:28PM EST,80.0,1.0,0.55,0.75,-3.6,-78.26%,2,0,35.21,8
2,VFC200306C00081000,2020-01-30 3:45PM EST,81.0,1.75,0.35,0.5,0.0,-,2,0,34.57,8
3,VFC200306C00081500,2020-02-25 6:57PM EST,81.5,0.53,0.25,0.4,0.0,-,-,1,34.18,8
4,VFC200306C00082000,2020-02-26 11:04AM EST,82.0,0.4,0.2,0.35,-2.15,-84.31%,2,0,35.01,8
5,VFC200306C00082500,2020-02-24 1:19PM EST,82.5,1.09,0.15,0.25,0.0,-,2,4,33.69,8
6,VFC200306C00083000,2020-02-20 10:24AM EST,83.0,1.65,0.1,0.2,0.0,-,-,4,33.69,8
7,VFC200306C00083500,2020-02-10 2:52PM EST,83.5,1.75,0.1,0.2,0.0,-,236,0,35.65,8
8,VFC200306C00084000,2020-02-24 11:50AM EST,84.0,0.65,0.05,0.15,0.0,-,1,0,35.06,8
9,VFC200306C00085000,2020-02-25 1:41PM EST,85.0,0.1,0.0,0.25,0.0,-,5,2278,43.85,8
10,VFC200306C00086000,2020-02-24 1:23PM EST,86.0,0.26,0.0,0.75,0.0,-,1,0,53.13,8
11,VFC200306C00086500,2020-02-24 12:10AM EST,86.5,0.45,0.0,0.75,0.0,-,-,1,55.08,8
12,VFC200306C00087000,2020-02-21 10:35AM EST,87.0,0.3,0.0,0.75,0.0,-,2,0,57.03,8
13,VFC200306C00088000,2020-02-10 10:40AM EST,88.0,0.45,0.0,0.75,0.0,-,6,26,60.84,8
14,VFC200306C00088500,2020-02-19 10:34AM EST,88.5,0.15,0.0,0.75,0.0,-,15,29,62.79,8
15,VFC200306C00089000,2020-01-29 2:02PM EST,89.0,0.6,0.0,0.75,0.0,-,9,85,64.65,8
16,VFC200306C00090000,2020-02-04 3:49PM EST,90.0,0.4,0.0,0.75,0.0,-,1,8,68.26,8
17,VFC200306C00092000,2020-01-27 3:45PM EST,92.0,0.11,0.0,0.4,0.0,-,-,0,65.43,8
18,VFC200306C00093000,2020-02-21 1:06PM EST,93.0,0.4,0.0,0.35,0.0,-,1,3,66.7,8
19,VFC200306C00094000,2020-01-30 11:10PM EST,94.0,0.25,0.0,0.75,0.0,-,-,0,81.93,8
0,VFC200313C00081000,2020-02-19 12:00PM EST,81.0,3.2,0.50,0.7,0.0,-,-,0,30.52,15
1,VFC200313C00083000,2020-02-18 11:25AM EST,83.0,1.7,0.20,0.35,0.0,-,7,7,30.32,15
2,VFC200313C00083500,2020-02-21 1:21PM EST,83.5,1.75,0.15,0.3,0.0,-,3,0,30.57,15
3,VFC200313C00084000,2020-02-18 12:06AM EST,84.0,1.65,0.15,0.3,0.0,-,-,0,32.18,15
4,VFC200313C00085500,2020-02-25 9:42AM EST,85.5,0.35,0.05,0.2,0.0,-,1,2,33.2,15
5,VFC200313C00086000,2020-02-20 9:41AM EST,86.0,0.58,0.10,0.15,0.0,-,1,0,32.42,15
6,VFC200313C00086500,2020-02-20 10:57AM EST,86.5,0.45,0.00,0.15,0.0,-,1,0,33.79,15
7,VFC200313C00089000,2020-02-03 3:44PM EST,89.0,0.55,0.00,0.1,0.0,-,4,0,37.11,15
8,VFC200313C00095000,2020-02-10 9:41AM EST,95.0,0.05,-,0.1,0.0,-,-,4,50.39,15
0,VFC200320C00070000,2020-02-25 9:30AM EST,70.0,11.8,7.3,7.8,0.0,-,1,1,38.18,22
1,VFC200320C00075000,2020-02-25 2:04PM EST,75.0,4.2,3.3,3.8,0.0,-,2,4,32.76,22
2,VFC200320C00077000,2020-02-25 3:42PM EST,77.0,2.75,2.2,2.5,0.0,-,2,0,30.42,22
3,VFC200320C00077500,2020-02-21 3:43PM EST,77.5,6.51,1.95,2.25,0.0,-,2,9,30.3,22
4,VFC200320C00079000,2020-02-25 12:55PM EST,79.0,2.15,1.6,2.0,0.0,-,-,-,35.16,22
5,VFC200320C00080000,2020-02-25 3:53PM EST,80.0,1.35,1.0,1.25,-0.05,-3.57%,100,18,29.79,22
6,VFC200320C00081500,2020-02-25 9:32AM EST,81.5,2.24,0.85,1.05,0.0,-,-,-,32.86,22
7,VFC200320C00082000,2020-02-24 3:27PM EST,82.0,2.4,0.8,0.95,0.0,-,-,-,33.15,22
8,VFC200320C00082500,2020-02-25 12:55PM EST,82.5,0.85,0.45,0.7,0.0,-,22,0,30.71,22
9,VFC200320C00083000,2020-02-25 12:39PM EST,83.0,0.75,0.5,0.75,0.0,-,-,-,33.25,22
10,VFC200320C00083500,2020-02-25 2:06PM EST,83.5,0.55,0.4,0.6,0.0,-,-,-,32.08,22
11,VFC200320C00084000,2020-02-24 10:43AM EST,84.0,1.2,0.4,0.55,0.0,-,-,-,32.59,22
12,VFC200320C00085000,2020-02-26 1:40PM EST,85.0,0.32,0.2,0.4,-0.03,-8.57%,237,0,32.13,22
13,VFC200320C00086500,2020-02-25 9:32AM EST,86.5,0.51,0.15,0.3,0.0,-,-,-,33.4,22
14,VFC200320C00087000,2020-02-24 10:30AM EST,87.0,0.5,0.1,0.25,0.0,-,-,1,33.11,22
15,VFC200320C00087500,2020-02-26 10:24AM EST,87.5,0.18,0.05,0.25,-0.02,-10.00%,89,1998,34.28,22
16,VFC200320C00090000,2020-02-26 1:40PM EST,90.0,0.12,0.1,0.15,-0.02,-14.29%,4,0,35.84,22
17,VFC200320C00092500,2020-02-25 3:44PM EST,92.5,0.1,0.0,0.15,0.0,-,1,6362,40.72,22
18,VFC200320C00095000,2020-02-24 2:16PM EST,95.0,0.05,0.0,0.1,0.0,-,8,524,42.38,22
19,VFC200320C00097500,2020-02-24 1:38PM EST,97.5,0.03,0.0,0.05,0.0,-,3,0,41.99,22
20,VFC200320C00100000,2020-01-31 12:53PM EST,100.0,0.08,0.0,0.1,0.0,-,2,15,50.78,22
21,VFC200320C00105000,2020-02-21 2:19PM EST,105.0,0.03,0.0,0.1,0.0,-,2,0,53.13,22
22,VFC200320C00110000,2020-01-22 3:32PM EST,110.0,0.17,0.0,0.05,0.0,-,-,1,55.08,22
0,VFC200327C00082500,2020-02-25 1:48PM EST,82.5,0.93,0.55,0.85,0.0,-,1,0,29.27,29
1,VFC200327C00083000,2020-02-24 9:56AM EST,83.0,1.55,0.5,0.75,0.0,-,4,5,29.25,29
2,VFC200327C00083500,2020-02-10 10:08AM EST,83.5,1.95,0.4,0.65,0.0,-,12,0,29.05,29
3,VFC200327C00084000,2020-02-18 12:06AM EST,84.0,0.58,0.35,0.6,-1.65,-73.99%,1,0,29.54,29
4,VFC200327C00084500,2020-02-06 3:58PM EST,84.5,2.4,0.25,0.5,0.0,-,-,2,29.05,29
5,VFC200327C00085000,2020-02-20 3:56PM EST,85.0,1.7,0.2,0.45,0.0,-,244,238,29.3,29
6,VFC200327C00085500,2020-02-20 3:29PM EST,85.5,1.39,0.2,0.4,0.0,-,12,13,29.47,29
7,VFC200327C00086000,2020-02-18 10:56AM EST,86.0,0.75,0.15,0.35,0.0,-,2,0,29.49,29
8,VFC200327C00086500,2020-02-20 9:52AM EST,86.5,0.8,0.1,0.3,0.0,-,-,12,29.4,29
9,VFC200327C00087500,2020-02-21 9:51AM EST,87.5,0.75,0.1,0.25,0.0,-,-,14,30.13,29
10,VFC200327C00088000,2020-02-26 11:36AM EST,88.0,0.2,0.05,0.25,-0.45,-69.23%,3,3,31.15,29
11,VFC200327C00089000,2020-02-24 12:10AM EST,89.0,0.4,0.05,0.2,0.0,-,-,0,31.54,29
12,VFC200327C00090000,2020-02-20 3:56PM EST,90.0,0.4,0.0,0.25,0.0,-,1,0,35.11,29
0,VFC200403C00078000,2020-02-18 12:06AM EST,78.0,6.08,2.15,2.5,0.0,-,-,7,29.1,36
1,VFC200403C00079000,2020-02-18 12:06AM EST,79.0,5.25,1.8,2.1,0.0,-,-,0,29.19,36
2,VFC200403C00082000,2020-02-18 12:06AM EST,82.0,1.1,0.85,1.15,0.0,-,30,0,28.96,36
3,VFC200403C00082500,2020-02-18 12:06AM EST,82.5,3.0,0.75,1.05,0.0,-,-,0,29.18,36
4,VFC200403C00083500,2020-02-19 5:23PM EST,83.5,2.2,0.6,0.85,0.0,-,-,0,29.25,36
5,VFC200403C00084000,2020-02-18 12:06AM EST,84.0,2.05,0.55,0.75,0.0,-,-,0,29.1,36
6,VFC200403C00084500,2020-02-20 2:45PM EST,84.5,1.9,0.45,0.7,0.0,-,-,298,29.57,36
