,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,VIAC200320C00022000,2020-02-25 11:07AM EST,22.0,4.0,3.40,3.7,0.55,+15.94%,4,-,86.33,22
1,VIAC200320C00023000,2020-02-26 10:37AM EST,23.0,2.71,2.63,2.71,-0.04,-1.45%,2,-,74.61,22
2,VIAC200320C00024000,2020-02-26 2:15PM EST,24.0,1.42,1.31,1.45,-0.48,-25.26%,1586,773,47.27,22
3,VIAC200320C00025000,2020-02-26 2:03PM EST,25.0,0.9,0.78,0.88,-0.35,-28.00%,489,2281,43.56,22
4,VIAC200320C00026000,2020-02-26 10:39AM EST,26.0,0.82,0.80,0.85,-0.04,-4.65%,694,-,56.06,22
5,VIAC200320C00027000,2020-02-26 10:17AM EST,27.0,0.7,0.48,0.55,0.17,+32.08%,121,-,54.1,22
6,VIAC200320C00027500,2020-02-26 1:27PM EST,27.5,0.25,0.22,0.28,-0.21,-45.65%,835,0,46.68,22
7,VIAC200320C00028000,2020-02-26 10:12AM EST,28.0,0.38,0.29,0.33,0.04,+11.76%,48,-,53.03,22
8,VIAC200320C00029000,2020-02-26 9:55AM EST,29.0,0.2,0.17,0.21,-0.03,-13.04%,23,-,53.13,22
9,VIAC200320C00030000,2020-02-26 1:56PM EST,30.0,0.09,0.08,0.1,-0.06,-40.00%,1757,17851,50.39,22
10,VIAC200320C00031000,2020-02-26 11:05AM EST,31.0,0.07,0.05,0.07,-0.04,-36.36%,342,0,52.34,22
11,VIAC200320C00032000,2020-02-25 3:46PM EST,32.0,0.07,0.01,0.14,0.0,-,-,-,60.35,22
12,VIAC200320C00032500,2020-02-26 12:35PM EST,32.5,0.04,0.03,0.05,-0.02,-33.33%,44,0,56.25,22
13,VIAC200320C00034000,2020-02-25 1:57PM EST,34.0,0.04,0.00,0.08,0.0,-,8,0,63.67,22
14,VIAC200320C00035000,2020-02-26 11:23AM EST,35.0,0.04,0.02,0.04,0.0,-,51,0,65.63,22
15,VIAC200320C00036000,2020-02-25 3:28PM EST,36.0,0.05,0.00,0.03,0.0,-,860,3992,64.06,22
16,VIAC200320C00037500,2020-02-26 12:35PM EST,37.5,0.03,0.01,0.03,0.0,-,5,0,71.88,22
17,VIAC200320C00039000,2020-02-21 12:18PM EST,39.0,0.05,0.00,0.07,0.0,-,49,303,83.59,22
18,VIAC200320C00040000,2020-02-26 12:51PM EST,40.0,0.02,0.02,0.05,0.0,-,103,0,87.11,22
19,VIAC200320C00041000,2020-02-21 10:43AM EST,41.0,0.05,0.00,0.07,0.0,-,1,0,90.63,22
20,VIAC200320C00042500,2020-02-25 2:23PM EST,42.5,0.01,0.01,0.02,-0.01,-50.00%,28,0,85.94,22
21,VIAC200320C00044000,2020-02-21 9:44AM EST,44.0,0.01,0.00,0.06,0.0,-,9,0,99.22,22
22,VIAC200320C00045000,2020-02-25 12:40PM EST,45.0,0.03,0.00,0.03,0.0,-,12,0,93.75,22
23,VIAC200320C00047500,2020-02-21 9:31AM EST,47.5,0.03,0.00,0.04,0.0,-,5,1198,104.69,22
24,VIAC200320C00049000,2020-02-20 11:59AM EST,49.0,0.03,0.00,0.05,0.0,-,2,0,110.94,22
25,VIAC200320C00050000,2020-02-20 10:47AM EST,50.0,0.03,0.00,0.01,0.0,-,24,0,96.88,22
26,VIAC200320C00052500,2020-02-12 2:09PM EST,52.5,0.02,0.00,0.01,0.0,-,15,0,103.13,22
27,VIAC200320C00055000,2020-02-21 10:21AM EST,55.0,0.01,0.00,0.01,0.0,-,2,0,106.25,22
28,VIAC200320C00057500,2019-12-24 11:36AM EST,57.5,0.05,0.00,0.06,0.0,-,50,388,135.94,22
29,VIAC200320C00065000,2019-12-20 11:15AM EST,65.0,0.04,0.00,0.05,0.0,-,1,6,148.44,22
30,VIAC200320C00070000,2020-02-24 12:11AM EST,70.0,0.02,-,0.05,0.0,-,-,0,171.09,22
0,VIAC200417C00021000,2020-02-26 1:05PM EST,21.0,4.3,3.75,3.95,-0.18,-4.02%,10,0,47.27,50
1,VIAC200417C00022000,2020-02-25 1:11PM EST,22.0,3.8,3.65,3.8,0.0,-,-,-,64.26,50
2,VIAC200417C00023000,2020-02-25 6:43PM EST,23.0,3.15,2.85,3.05,0.0,-,-,-,58.94,50
3,VIAC200417C00024000,2020-02-26 2:09PM EST,24.0,1.7,1.6,1.73,-0.4,-19.05%,19,4,39.84,50
4,VIAC200417C00025000,2020-02-26 2:18PM EST,25.0,1.22,1.15,1.26,-0.48,-28.24%,131,126,39.94,50
5,VIAC200417C00026000,2020-02-26 1:16PM EST,26.0,1.05,0.84,0.9,-0.19,-15.32%,401,879,40.19,50
6,VIAC200417C00027000,2020-02-26 11:20AM EST,27.0,0.66,0.57,0.65,-0.27,-29.03%,50,210,41.11,50
7,VIAC200417C00028000,2020-02-26 2:06PM EST,28.0,0.49,0.38,0.46,-0.15,-23.44%,87,35,41.75,50
8,VIAC200417C00029000,2020-02-26 11:20AM EST,29.0,0.41,0.26,0.32,-0.03,-6.82%,536,189,42.29,50
9,VIAC200417C00030000,2020-02-26 12:53PM EST,30.0,0.25,0.18,0.24,-0.09,-26.47%,77,263,43.75,50
