,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,VLO200228C00071000,2020-02-25 1:30PM EST,71.0,5.15,1.76,1.78,0.0,-,2,2,48.78,1
1,VLO200228C00071500,2020-02-25 2:26PM EST,71.5,3.7,3.45,3.6,0.0,-,-,-,127.54,1
2,VLO200228C00072000,2020-02-25 11:18AM EST,72.0,3.1,3.05,3.15,-1.75,-36.08%,1,-,120.51,1
3,VLO200228C00072500,2020-02-26 11:38AM EST,72.5,1.49,0.88,0.95,-1.16,-43.77%,21,20,46.48,1
4,VLO200228C00073000,2020-02-25 2:33PM EST,73.0,2.57,2.3,2.36,0.0,-,-,-,108.11,1
5,VLO200228C00073500,2020-02-26 10:35AM EST,73.5,2.02,1.93,2.0,-0.19,-8.60%,5,-,101.86,1
6,VLO200228C00074000,2020-02-26 9:32AM EST,74.0,1.4,1.66,1.71,-0.87,-38.33%,3,-,98.14,1
7,VLO200228C00074500,2020-02-26 12:29PM EST,74.5,0.58,0.3,0.32,-0.87,-60.00%,38,53,44.92,1
8,VLO200228C00075000,2020-02-26 11:37AM EST,75.0,0.23,0.18,0.23,-0.98,-80.99%,137,0,44.53,1
9,VLO200228C00076000,2020-02-26 1:05PM EST,76.0,0.23,0.1,0.12,-0.72,-75.79%,103,19,44.73,1
10,VLO200228C00077000,2020-02-26 1:44PM EST,77.0,0.06,0.05,0.06,-0.61,-91.04%,146,104,44.92,1
11,VLO200228C00077500,2020-02-26 11:24AM EST,77.5,0.06,0.0,0.04,-0.37,-86.05%,15,0,44.92,1
12,VLO200228C00078000,2020-02-26 1:44PM EST,78.0,0.02,0.0,0.03,-0.33,-94.29%,62,94,45.7,1
13,VLO200228C00078500,2020-02-26 11:46AM EST,78.5,0.07,0.02,0.03,-0.18,-72.00%,23,130,48.83,1
14,VLO200228C00079000,2020-02-25 2:21PM EST,79.0,0.03,0.0,0.03,-0.17,-85.00%,52,0,51.56,1
15,VLO200228C00080000,2020-02-26 10:20AM EST,80.0,0.04,0.01,0.03,-0.07,-63.64%,2,155,53.91,1
16,VLO200228C00080500,2020-02-26 12:50PM EST,80.5,0.01,0.0,0.06,-0.17,-94.44%,2,76,60.16,1
17,VLO200228C00081000,2020-02-24 3:38PM EST,81.0,0.16,0.01,0.03,0.0,-,26,0,59.38,1
18,VLO200228C00081500,2020-02-26 12:35PM EST,81.5,0.01,0.0,0.03,-0.06,-85.71%,14,0,59.38,1
19,VLO200228C00082000,2020-02-26 11:08AM EST,82.0,0.03,0.01,0.03,-0.02,-40.00%,42,248,64.84,1
20,VLO200228C00082500,2020-02-25 1:48PM EST,82.5,0.03,0.0,0.03,0.0,-,16,0,64.84,1
21,VLO200228C00083000,2020-02-26 1:47PM EST,83.0,0.01,0.0,0.03,-0.01,-50.00%,3,486,67.19,1
22,VLO200228C00083500,2020-02-25 12:22PM EST,83.5,0.03,0.01,0.03,0.0,-,2,55,71.88,1
23,VLO200228C00084000,2020-02-26 1:21PM EST,84.0,0.01,0.0,0.06,-0.02,-66.67%,2,0,78.91,1
24,VLO200228C00084500,2020-02-26 11:40AM EST,84.5,0.05,0.0,0.03,0.03,+150.00%,1,223,75.0,1
25,VLO200228C00085000,2020-02-26 1:21PM EST,85.0,0.01,0.0,0.02,0.0,-,25,280,73.44,1
26,VLO200228C00085500,2020-02-26 9:57AM EST,85.5,0.01,0.0,0.03,0.0,-,3,123,79.69,1
27,VLO200228C00086000,2020-02-26 11:25AM EST,86.0,0.02,0.0,0.03,-0.01,-33.33%,33,337,81.25,1
28,VLO200228C00086500,2020-02-24 10:29AM EST,86.5,0.02,0.0,0.04,0.0,-,1,0,86.72,1
29,VLO200228C00087000,2020-02-24 12:32PM EST,87.0,0.02,0.0,0.03,0.0,-,1,0,85.94,1
30,VLO200228C00087500,2020-02-21 3:22PM EST,87.5,0.02,0.0,0.03,-0.07,-77.78%,3,0,88.28,1
31,VLO200228C00088000,2020-02-24 9:50AM EST,88.0,0.03,0.0,0.03,0.0,-,21,138,90.63,1
32,VLO200228C00088500,2020-02-21 2:33PM EST,88.5,0.05,0.0,0.06,0.0,-,5,0,101.56,1
33,VLO200228C00089000,2020-02-21 2:33PM EST,89.0,0.04,0.0,0.03,0.0,-,20,31,95.31,1
34,VLO200228C00089500,2020-02-21 2:53PM EST,89.5,0.03,0.0,0.03,0.0,-,3,0,96.88,1
35,VLO200228C00090000,2020-02-14 3:18PM EST,90.0,0.05,0.0,0.03,0.0,-,1,0,99.22,1
36,VLO200228C00090500,2020-02-10 9:33AM EST,90.5,0.12,0.0,0.05,0.0,-,-,4,107.81,1
37,VLO200228C00091000,2020-02-20 12:20PM EST,91.0,0.04,0.0,0.03,0.0,-,31,60,103.13,1
38,VLO200228C00091500,2020-02-20 9:57AM EST,91.5,0.02,0.0,0.06,0.0,-,19,0,114.84,1
39,VLO200228C00092000,2020-02-19 3:33PM EST,92.0,0.03,0.0,0.03,0.0,-,5,53,107.81,1
40,VLO200228C00092500,2020-02-06 11:02AM EST,92.5,0.11,0.0,0.03,0.0,-,5,0,109.38,1
41,VLO200228C00093000,2020-02-03 11:27AM EST,93.0,0.07,0.0,0.03,0.0,-,11,16,112.5,1
42,VLO200228C00093500,2020-01-22 1:00PM EST,93.5,1.35,0.0,0.05,0.0,-,11,0,121.09,1
43,VLO200228C00094000,2020-01-30 10:05AM EST,94.0,0.11,0.0,0.05,0.0,-,3,0,123.44,1
44,VLO200228C00094500,2020-02-20 9:43AM EST,94.5,0.03,0.0,0.03,0.0,-,2,396,118.75,1
45,VLO200228C00095000,2020-01-17 10:20AM EST,95.0,1.34,0.0,0.05,0.0,-,12,9,127.34,1
46,VLO200228C00095500,2020-01-16 11:29AM EST,95.5,1.66,0.0,0.05,0.0,-,5,5,129.69,1
