,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,VMC200320P00115000,2020-02-26 12:07PM EST,115.0,1.21,2.05,2.25,0.72,+146.94%,11,10,36.15,22
1,VMC200320P00120000,2020-02-25 10:31AM EST,120.0,2.05,3.9,4.1,0.85,+70.83%,1,0,33.96,22
2,VMC200320P00125000,2020-02-26 1:27PM EST,125.0,5.7,6.9,7.2,2.02,+54.89%,5,103,34.67,22
3,VMC200320P00130000,2020-02-26 10:07AM EST,130.0,6.97,10.6,11.1,2.77,+65.95%,2,85,35.82,22
4,VMC200320P00135000,2020-02-26 10:26AM EST,135.0,11.44,13.4,16.9,3.64,+46.67%,1,131,54.83,22
5,VMC200320P00140000,2020-02-25 1:19PM EST,140.0,12.7,18.4,22.2,0.0,-,1,83,67.77,22
6,VMC200320P00145000,2020-02-20 12:49PM EST,145.0,11.0,23.4,27.3,0.0,-,1,0,77.86,22
7,VMC200320P00150000,2020-02-11 1:32PM EST,150.0,8.09,28.3,32.2,0.0,-,1,0,52.98,22
8,VMC200320P00165000,2020-02-26 11:25AM EST,165.0,41.27,43.3,47.1,10.77,+35.31%,1,0,68.31,22
0,VMC200417P00120000,2020-02-24 1:25PM EST,120.0,2.05,5.2,5.6,0.0,-,-,1,31.38,50
1,VMC200417P00125000,2020-02-25 10:04AM EST,125.0,3.4,7.7,8.3,0.0,-,7,7,30.01,50
2,VMC200417P00130000,2020-02-24 11:12AM EST,130.0,4.77,11.1,11.9,0.0,-,-,1,30.07,50
0,VMC200515P00085000,2020-02-21 11:20AM EST,85.0,0.06,0.25,0.4,0.0,-,40,49,44.04,78
1,VMC200515P00095000,2019-11-13 10:06AM EST,95.0,0.82,0.05,0.8,0.0,-,3,0,37.67,78
2,VMC200515P00100000,2020-02-24 11:46AM EST,100.0,0.6,1.25,1.4,0.0,-,7,0,36.94,78
3,VMC200515P00105000,2020-02-04 2:16PM EST,105.0,0.45,1.9,2.15,0.0,-,2,17,35.18,78
4,VMC200515P00110000,2020-02-24 2:38PM EST,110.0,1.27,2.9,3.2,0.0,-,1,233,33.36,78
5,VMC200515P00115000,2020-02-24 2:38PM EST,115.0,4.38,4.4,4.7,1.88,+75.20%,22,0,31.79,78
6,VMC200515P00120000,2020-02-26 1:40PM EST,120.0,6.22,6.4,6.8,3.05,+96.21%,26,56,30.66,78
7,VMC200515P00125000,2020-02-26 11:29AM EST,125.0,7.2,9.0,9.5,1.3,+22.03%,15,0,29.72,78
8,VMC200515P00130000,2020-02-24 12:44PM EST,130.0,6.4,12.3,12.9,0.0,-,1,0,29.48,78
9,VMC200515P00135000,2020-02-25 3:08PM EST,135.0,14.5,16.2,16.9,3.04,+26.53%,10,0,30.04,78
10,VMC200515P00140000,2020-02-26 1:40PM EST,140.0,20.22,20.6,21.3,8.0,+65.47%,5,50,31.23,78
11,VMC200515P00145000,2020-02-20 2:44PM EST,145.0,17.61,24.1,26.9,0.0,-,1,0,40.04,78
0,VMC200821P00095000,2020-02-20 11:55AM EST,95.0,0.72,1.8,2.05,0.0,-,1,0,33.45,176
1,VMC200821P00100000,2020-02-18 2:40PM EST,100.0,1.8,2.6,2.9,0.0,-,5,0,32.35,176
2,VMC200821P00105000,2020-02-18 3:41PM EST,105.0,1.25,3.6,3.9,0.0,-,3,9,30.84,176
3,VMC200821P00110000,2020-02-26 10:10AM EST,110.0,4.0,5.0,5.4,2.2,+122.22%,20,0,30.13,176
4,VMC200821P00115000,2020-02-26 1:26PM EST,115.0,6.3,6.7,7.2,4.0,+173.91%,8,25,29.22,176
5,VMC200821P00120000,2020-02-24 12:00AM EST,120.0,4.0,8.9,9.3,0.0,-,-,0,28.06,176
6,VMC200821P00125000,2020-01-29 2:16PM EST,125.0,4.4,11.4,12.1,0.0,-,2,0,27.8,176
7,VMC200821P00130000,2020-02-24 9:35AM EST,130.0,9.69,14.4,15.2,0.0,-,4,502,27.23,176
8,VMC200821P00135000,2020-02-20 12:17PM EST,135.0,9.1,18.0,18.7,0.0,-,30,0,26.74,176
9,VMC200821P00140000,2020-02-18 11:14AM EST,140.0,8.75,21.8,22.5,0.0,-,14,0,26.11,176
10,VMC200821P00150000,2020-02-11 11:27AM EST,150.0,12.8,29.0,32.5,0.0,-,5,0,32.54,176
0,VMC210115P00045000,2020-02-21 11:20AM EST,45.0,0.06,0.0,0.15,0.0,-,2,3,46.97,323
1,VMC210115P00050000,2020-02-26 10:57AM EST,50.0,0.15,0.05,0.25,0.06,+66.67%,1,9,45.56,323
2,VMC210115P00055000,2019-06-16 11:13PM EST,55.0,2.55,0.3,0.65,0.0,-,0,1,48.44,323
3,VMC210115P00060000,2020-01-03 3:41PM EST,60.0,0.2,0.0,0.25,0.0,-,5,30,36.87,323
4,VMC210115P00065000,2019-06-07 10:09AM EST,65.0,2.15,0.25,0.9,0.0,-,0,35,41.99,323
5,VMC210115P00070000,2019-06-07 10:09AM EST,70.0,2.8,0.85,1.4,0.0,-,15,20,41.82,323
6,VMC210115P00080000,2020-02-26 1:45PM EST,80.0,1.5,1.4,1.75,1.1,+275.00%,1,44,35.36,323
7,VMC210115P00090000,2019-11-14 9:30AM EST,90.0,2.2,1.35,1.85,0.0,-,1,0,27.77,323
8,VMC210115P00095000,2019-10-08 2:38PM EST,95.0,3.0,2.65,3.5,0.0,-,1,0,30.25,323
9,VMC210115P00100000,2020-02-25 11:11AM EST,100.0,3.3,2.8,4.2,0.0,-,2,97,28.14,323
10,VMC210115P00105000,2020-02-18 3:51PM EST,105.0,2.7,5.9,6.4,0.0,-,1,15,29.75,323
