,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,VNO200320C00033050,2019-12-30 12:11AM EST,33.05,26.2,30.7,35.2,0.0,-,-,-,404.69,22
1,VNO200320C00035000,2019-09-05 9:16AM EST,35.0,26.2,25.6,29.7,0.0,-,-,0,281.93,22
2,VNO200320C00053050,2020-01-23 3:53PM EST,53.05,15.6,10.7,11.7,0.0,-,-,0,148.39,22
4,VNO200320C00058050,2020-02-26 11:43AM EST,58.05,1.95,1.55,1.7,-1.13,-36.69%,10,51,27.49,22
5,VNO200320C00060000,2020-02-26 1:36PM EST,60.0,0.8,0.7,0.85,-0.25,-23.81%,10,0,26.44,22
6,VNO200320C00063050,2020-02-26 11:02AM EST,63.05,0.25,0.1,0.2,-0.05,-16.67%,94,77,25.2,22
7,VNO200320C00065000,2020-02-24 12:52PM EST,65.0,0.1,0.0,0.1,-0.16,-61.54%,3,0,27.05,22
8,VNO200320C00068050,2020-02-25 1:39PM EST,68.05,0.05,0.0,0.1,0.0,-,2,6235,35.55,22
9,VNO200320C00070000,2020-02-20 12:13PM EST,70.0,0.05,0.0,0.05,0.0,-,17,349,36.13,22
10,VNO200320C00073050,2020-01-02 2:11PM EST,73.05,0.15,0.05,0.15,0.0,-,1,0,51.56,22
11,VNO200320C00075000,2020-02-11 2:12PM EST,75.0,0.05,0.0,0.05,0.0,-,2,1,46.88,22
0,VNO200619C00045000,2020-02-19 3:05PM EST,45.0,19.3,12.50,14.0,0.0,-,-,0,41.65,113
1,VNO200619C00058050,2020-01-23 12:00PM EST,58.05,9.49,6.40,6.7,0.0,-,-,0,51.15,113
2,VNO200619C00060000,2019-12-18 1:07PM EST,60.0,7.6,0.00,0.0,0.0,-,1,4,1.56,113
3,VNO200619C00063050,2020-02-21 1:55PM EST,63.05,2.74,0.70,0.9,0.0,-,20,2731,19.57,113
4,VNO200619C00065000,2020-02-26 12:13PM EST,65.0,0.5,0.35,0.55,-0.4,-44.44%,300,0,19.53,113
5,VNO200619C00068050,2020-02-21 3:34PM EST,68.05,0.5,0.10,0.25,0.0,-,31,0,19.78,113
6,VNO200619C00070000,2020-02-21 2:45PM EST,70.0,0.22,0.00,0.2,0.0,-,10,0,21.29,113
7,VNO200619C00073050,2020-02-24 3:29PM EST,73.05,0.1,0.00,0.1,0.0,-,10,160,21.88,113
8,VNO200619C00075000,2019-12-26 10:13AM EST,75.0,0.35,0.00,0.0,0.0,-,4,37,12.5,113
9,VNO200619C00083050,2020-02-11 2:12PM EST,83.05,0.05,-,0.05,0.0,-,-,1,28.52,113
0,VNO200918C00060000,2020-02-25 3:22PM EST,60.0,2.6,2.15,2.35,0.0,-,19,0,17.95,204
1,VNO200918C00065000,2020-02-25 12:13PM EST,65.0,1.27,0.7,0.85,0.0,-,52,64,17.12,204
2,VNO200918C00070000,2020-02-20 10:31AM EST,70.0,0.3,0.15,0.3,-0.45,-60.00%,10,0,17.46,204
3,VNO200918C00075000,2020-01-27 1:34PM EST,75.0,0.6,0.0,0.15,0.0,-,8,0,19.19,204
