,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,VNO200320P00033050,2019-12-30 12:12AM EST,33.05,0.05,-,0.05,0.0,-,-,1,99.22,22
1,VNO200320P00035000,2019-10-13 11:09PM EST,35.0,0.05,-,0.0,0.0,-,-,0,50.0,22
2,VNO200320P00038050,2019-12-30 12:12AM EST,38.05,0.1,-,0.05,0.0,-,-,2,76.56,22
3,VNO200320P00040000,2019-10-02 1:13PM EST,40.0,0.1,-,0.2,0.0,-,-,2,86.52,22
4,VNO200320P00048050,2019-12-30 12:12AM EST,48.05,0.45,-,0.1,0.0,-,-,193,43.16,22
5,VNO200320P00050000,2019-10-18 10:05AM EST,50.0,0.45,0.00,0.0,0.0,-,40,0,12.5,22
6,VNO200320P00053050,2020-02-24 10:45AM EST,53.05,0.15,0.15,0.25,0.0,-,1,251,30.37,22
7,VNO200320P00055000,2020-02-24 12:52PM EST,55.0,0.2,0.30,0.45,0.0,-,20,251,26.76,22
8,VNO200320P00058050,2020-02-26 9:50AM EST,58.05,1.15,1.40,1.55,1.07,"+1,337.50%",112,1815,27.15,22
9,VNO200320P00060000,2020-02-24 3:49PM EST,60.0,2.25,2.45,2.65,1.03,+84.43%,10,39,26.07,22
10,VNO200320P00063050,2020-02-26 1:24PM EST,63.05,4.5,4.80,5.2,0.28,+6.64%,2,5882,29.3,22
11,VNO200320P00065000,2020-02-26 1:11PM EST,65.0,6.3,6.60,7.2,0.3,+5.00%,10,824,37.99,22
12,VNO200320P00068050,2020-02-18 12:45PM EST,68.05,1.7,9.10,10.8,0.0,-,10,0,63.87,22
13,VNO200320P00070000,2020-02-12 9:50AM EST,70.0,2.89,11.10,12.8,0.0,-,15,0,72.12,22
15,VNO200320P00075000,2020-02-10 10:26AM EST,75.0,8.7,16.10,17.8,0.0,-,-,5,54.88,22
0,VNO200619P00048050,2020-02-25 6:47PM EST,48.05,0.37,0.4,0.5,0.0,-,-,1,28.88,113
1,VNO200619P00053050,2020-01-06 10:34AM EST,53.05,0.31,0.0,0.3,0.0,-,2,13,14.65,113
2,VNO200619P00055000,2020-02-24 3:54PM EST,55.0,1.35,1.6,1.75,0.65,+92.86%,5,8,24.35,113
3,VNO200619P00058050,2020-02-25 11:56AM EST,58.05,2.37,2.7,2.95,0.0,-,2,1651,23.19,113
4,VNO200619P00060000,2020-02-21 2:02PM EST,60.0,1.7,3.8,4.0,0.0,-,1,0,22.72,113
5,VNO200619P00063050,2020-02-24 3:39PM EST,63.05,3.12,5.9,6.2,0.0,-,1,1369,23.56,113
6,VNO200619P00065000,2020-01-30 12:30PM EST,65.0,2.26,7.4,7.8,0.0,-,222,0,24.27,113
7,VNO200619P00068050,2020-02-24 10:56AM EST,68.05,6.3,9.8,10.9,0.0,-,1,355,30.3,113
0,VNO200918P00045000,2020-02-25 6:47PM EST,45.0,0.5,0.35,0.5,0.0,-,-,-,26.93,204
1,VNO200918P00050000,2020-02-19 1:08PM EST,50.0,0.35,1.0,1.15,0.0,-,10,0,24.57,204
2,VNO200918P00055000,2020-02-25 2:07PM EST,55.0,2.0,2.4,2.45,0.0,-,60,128,22.63,204
3,VNO200918P00060000,2020-02-25 3:22PM EST,60.0,4.3,4.6,4.9,0.0,-,6,463,22.19,204
4,VNO200918P00065000,2020-02-14 3:30PM EST,65.0,2.3,8.2,8.5,0.0,-,50,0,23.08,204
